date,value
2018-02-22,1574938.2255574132
2018-02-27,1406203.0686882988
2018-04-18,3089908.370421456
2018-06-22,3563795.1629954576
2018-07-07,3699547.514976765
2018-07-12,3671869.6078631226
2018-07-17,3582336.344419088
2018-08-01,3610235.1629321645
2018-08-11,3450841.7614777903
2018-08-26,2582109.67572948
2018-08-31,2056571.4662430233
2018-09-20,993488.5305112955
2018-09-25,798240.6487509673
2018-10-05,481293.15439688874
2018-10-25,25274.629524011612
2019-02-12,921575.9363811219
2019-02-17,1129425.9219484632
2019-02-22,1351441.747617518
2019-02-27,1473016.6468993053
2019-03-24,2217827.105038908
2019-03-29,2259604.5633244095
2019-04-08,2338506.392940762
2019-05-13,3598187.568925178
2019-05-23,3685696.0235366314
2019-06-02,3807887.0226277937
2019-06-07,3801141.8316427944
2019-06-12,3783743.46787799
2019-06-17,3788790.637648878
2019-06-27,3757997.53255528
2019-07-02,3842264.29775834
2019-07-12,3723987.0339606665
2019-08-01,3144538.8215164095
2019-08-11,2991036.544596152
2019-08-16,2447708.649268878
2019-08-31,1589292.625383349
2019-09-05,1462367.6549416368
2019-09-30,685686.0852230815
2019-10-10,223679.3934736537
2019-10-15,113574.95933426647
2019-10-25,241923.6249983074
2019-10-30,192183.47333713417
2019-11-04,185192.7481824052
2020-02-22,622966.7291372332
2020-03-08,1225148.7505801478
2020-05-07,3117931.7343099234
2020-05-17,3240603.0706221303
2020-05-22,2303081.493846767
2020-05-27,2879449.955846163
2020-06-21,3533900.3909201906
2020-07-06,3585066.9046458197
2020-07-11,3670764.5779806813
2020-07-16,3591077.6711822366
2020-07-21,3632189.663924156
2020-07-31,3514398.71646709
2020-08-05,3432097.777522151
2020-08-10,3457816.359733986
2020-08-15,3292826.921636475
2020-08-20,2955106.1052851747
2020-08-25,2549574.378656106
2020-09-04,2104035.6651165616
2020-09-14,1446464.0908409392
2020-10-24,115128.74719730459
