date,value
2018-03-19,1083400
2018-04-18,1136900
2018-06-27,979200
2018-07-07,1037800
2018-07-12,1073800
2018-07-17,1072500
2018-08-06,955700
2018-08-11,935600
2018-08-21,858300
2018-09-10,49300
2018-09-20,655800
2019-03-24,1128300
2019-03-29,1192100
2019-04-13,1233800
2019-05-13,1182700
2019-06-02,1125500
2019-06-17,1074400
2019-06-22,1122100
2019-06-27,1107300
2019-07-02,1129100
2019-07-12,1059800
2019-07-22,1006900
2019-08-31,689700
2019-09-05,732700
2020-03-08,999800
2020-03-13,921800
2020-03-18,1013800
2020-05-17,1007400
2020-05-22,1001700
2020-05-27,898300
2020-06-26,1045000
2020-07-11,1018600
2020-07-21,1084200
2020-07-26,1028100
2020-07-31,1007200
2020-08-05,981400
2020-08-10,1019100
2020-08-15,987400
2020-08-25,933400
2020-09-04,896100
2020-09-14,851600
