date,value
2018-01-01,598600
2018-01-02,695500
2018-01-03,698100
2018-01-04,698100
2018-01-07,629200
2018-01-08,724300
2018-01-09,718900
2018-01-10,773900
2018-01-13,827400
2018-01-14,844000
2018-01-15,860700
2018-01-16,860700
2018-01-19,876600
2018-01-20,859200
2018-01-21,828600
2018-01-22,828600
2018-01-25,775400
2018-01-26,792100
2018-01-27,791100
2018-01-28,791100
2018-01-31,817700
2018-02-01,860200
2018-02-02,854400
2018-02-03,854400
2018-02-06,869700
2018-02-07,884500
2018-02-08,855100
2018-02-09,869900
2018-02-12,850700
2018-02-13,874000
2018-02-14,880500
2018-02-15,880500
2018-02-18,867600
2018-02-19,882400
2018-02-20,848200
2018-02-21,848200
2018-02-24,805100
2018-02-25,783900
2018-02-26,805700
2018-02-27,805700
2018-03-02,775800
2018-03-03,851100
2018-03-04,851000
2018-03-05,851000
2018-03-08,867100
2018-03-09,891300
2018-03-10,857400
2018-03-11,874200
2018-03-14,879700
2018-03-15,905200
2018-03-16,883900
2018-03-17,883900
2018-03-20,858800
2018-03-21,870900
2018-03-22,847400
2018-03-23,847400
2018-03-26,802100
2018-03-27,793400
2018-03-28,763500
2018-03-29,763500
2018-04-01,740100
2018-04-02,761100
2018-04-03,781200
2018-04-04,781200
2018-04-07,756500
2018-04-08,831600
2018-04-09,797800
2018-04-10,797800
2018-04-13,801900
2018-04-14,836000
2018-04-15,853200
2018-04-16,853200
2018-04-19,885700
2018-04-20,888700
2018-04-21,888700
2018-04-22,849100
2018-04-25,787600
2018-04-26,850600
2018-04-27,799900
2018-04-28,799900
2018-05-01,833500
2018-05-02,855700
2018-05-03,855700
2018-05-04,800500
2018-05-07,804300
2018-05-08,876200
2018-05-09,876200
2018-05-10,840500
2018-05-13,870800
2018-05-14,889100
2018-05-15,853100
2018-05-16,853100
2018-05-19,833400
2018-05-20,904400
2018-05-21,904400
2018-05-22,870000
2018-05-25,907900
2018-05-26,910000
2018-05-27,910000
2018-05-28,884700
2018-05-31,887200
2018-06-01,915100
2018-06-02,915100
2018-06-03,889200
2018-06-06,917300
2018-06-07,921300
2018-06-08,921300
2018-06-09,888000
2018-06-12,882100
2018-06-13,923000
2018-06-14,923000
2018-06-15,894600
2018-06-18,899100
2018-06-19,903500
2018-06-20,863200
2018-06-24,812400
2018-06-25,992200
2018-06-26,948000
2018-06-27,948000
2018-06-30,890400
2018-07-01,912200
2018-07-02,885000
2018-07-03,885000
2018-07-06,835500
2018-07-07,856000
2018-07-08,901900
2018-07-09,870600
2018-07-12,904000
2018-07-13,898600
2018-07-14,898600
2018-07-15,898600
2018-07-18,873300
2018-07-19,877300
2018-07-20,873900
2018-07-21,873900
2018-07-24,841200
2018-07-25,861800
2018-07-26,833300
2018-07-27,833300
2018-07-30,798200
2018-07-31,833900
2018-08-01,833900
2018-08-02,805100
2018-08-05,836200
2018-08-06,822900
2018-08-07,822900
2018-08-08,782400
2018-08-11,743700
2018-08-12,828200
2018-08-13,798100
2018-08-14,798100
2018-08-17,824900
2018-08-18,832100
2018-08-19,786300
2018-08-20,786300
2018-08-23,716300
2018-08-24,774700
2018-08-25,774700
2018-08-26,741300
2018-08-30,761200
2018-08-31,774500
2018-09-01,774500
2018-09-04,750000
2018-09-05,745000
2018-09-06,734100
2018-09-07,734100
2018-09-10,704100
2018-09-11,711700
2018-09-12,677100
2018-09-13,677100
2018-09-16,616400
2018-09-17,663200
2018-09-18,614400
2018-09-19,614400
2018-09-22,609000
2018-09-23,622500
2018-09-24,622500
2018-09-25,622500
2018-09-28,554300
2018-09-29,617600
2018-09-30,624400
2018-10-01,624400
2018-10-04,570800
2018-10-05,632300
2018-10-06,579000
2018-10-07,579000
2018-10-10,496400
2018-10-11,633600
2018-10-12,633600
2018-10-13,592400
2018-10-16,650300
2018-10-17,685400
2018-10-18,661900
2018-10-19,661900
2018-10-22,703600
2018-10-23,777200
2018-10-24,747600
2018-10-25,747600
2018-10-28,769400
2018-10-29,793600
2018-10-30,793600
2018-10-31,769100
2018-11-03,707600
2018-11-04,821400
2018-11-05,793000
2018-11-06,793000
2018-11-09,833800
2018-11-10,830400
2018-11-11,803900
2018-11-12,803900
2018-11-15,788300
2018-11-16,839000
2018-11-17,816900
2018-11-18,816900
2018-11-21,848000
2018-11-22,844100
2018-11-23,844100
2018-11-24,817800
2018-11-27,792300
2018-11-28,841400
2018-11-29,841400
2018-11-30,811800
2018-12-03,833100
2018-12-04,827300
2018-12-05,796600
2018-12-06,796600
2018-12-09,768200
2018-12-11,810600
2018-12-12,810600
2018-12-15,772200
2018-12-16,803600
2018-12-17,841800
2018-12-18,841800
2018-12-21,867900
2018-12-22,829100
2018-12-23,849400
2018-12-24,849400
2018-12-27,788200
2018-12-28,809000
2018-12-29,820700
2018-12-30,820700
2019-01-02,547600
2019-01-03,912600
2019-01-04,912600
2019-01-05,708800
2019-01-08,746800
2019-01-09,680900
2019-01-10,754300
2019-01-11,754300
2019-01-14,531100
2019-01-15,660600
2019-01-16,764500
2019-01-17,764500
2019-01-20,762800
2019-01-21,834500
2019-01-22,842900
2019-01-23,842900
2019-01-26,773100
2019-01-27,858300
2019-01-28,858300
2019-01-29,792200
2019-02-02,786600
2019-02-03,812600
2019-02-04,812600
2019-02-08,883100
2019-02-09,883100
2019-02-10,814900
2019-02-13,809300
2019-02-14,857600
2019-02-15,867900
2019-02-16,867900
2019-02-19,791500
2019-02-20,848900
2019-02-21,868700
2019-02-25,795000
2019-02-26,864500
2019-02-27,868700
2019-02-28,868700
2019-03-03,749100
2019-03-04,870800
2019-03-05,870800
2019-03-06,803900
2019-03-09,784100
2019-03-10,827300
2019-03-11,729200
2019-03-12,729200
2019-03-15,529500
2019-03-16,780900
2019-03-17,780900
2019-03-18,703700
2019-03-21,771000
2019-03-22,839300
2019-03-23,765800
2019-03-24,765800
2019-03-27,623400
2019-03-28,743500
2019-03-29,751900
2019-03-30,751900
2019-04-02,582400
2019-04-03,688900
2019-04-04,766800
2019-04-05,766800
2019-04-08,647100
2019-04-09,862300
2019-04-10,862300
2019-04-11,787400
2019-04-14,838700
2019-04-15,877900
2019-04-16,877900
2019-04-17,833300
2019-04-20,743600
