date,value
2018-03-19,13264330.167432697
2018-03-21,13264330.167432697
2018-03-26,13264330.167432697
2018-04-18,14155855.069174435
2018-04-20,14155855.069174435
2018-04-21,14155855.069174435
2018-04-23,14155855.069174435
2018-04-25,14155855.069174435
2018-04-26,14155855.069174435
2018-06-27,11701586.86659264
2018-06-29,11701586.86659264
2018-06-30,11701586.86659264
2018-07-02,12242193.988394784
2018-07-04,12192052.51985141
2018-07-05,12192052.51985141
2018-07-07,12407550.88337943
2018-07-09,12715458.70075873
2018-07-10,12715458.70075873
2018-07-12,13033533.362413876
2018-07-14,13236248.92914419
2018-07-15,13236248.92914419
2018-07-17,12875881.189577358
2018-07-19,13496171.869442288
2018-07-20,13496171.869442288
2018-07-22,13461329.3456764
2018-07-24,13084547.849477539
2018-07-25,13084547.849477539
2018-07-27,13096074.390303977
2018-08-06,11616892.727040572
2018-08-08,11940539.706642937
2018-08-11,11613699.843859553
2018-08-13,11802467.915222203
2018-08-16,11336792.618594859
2018-08-18,10948278.566461856
2018-08-19,10948278.566461856
2018-08-21,10735005.499107817
2018-08-23,9876097.045303399
2018-08-26,9631965.385340594
2018-08-28,9949644.18560396
2018-08-31,9365260.50118443
2018-09-10,4081740.311502506
2018-09-12,204957.28090402795
2018-09-13,204957.28090402795
2018-09-17,204957.28090402795
2018-09-20,7397937.202217087
2018-09-22,6736886.379500227
2018-09-23,6736886.379500227
2018-09-25,6736886.379500227
2018-09-27,6736886.379500227
2018-09-28,6736886.379500227
2018-09-30,6774345.165095068
2019-03-24,14327520.624040416
2019-03-26,14327520.624040416
2019-03-27,14327520.624040416
2019-03-29,15132224.134429432
2019-03-31,15286294.715945411
2019-04-01,15286294.715945411
2019-04-05,15091207.005858561
2019-04-08,15091207.005858561
2019-04-13,15807952.038510213
2019-04-20,15807952.038510213
2019-05-13,14930834.772251267
2019-05-15,14930834.772251267
2019-05-16,14930834.772251267
2019-05-20,14930834.772251267
2019-05-23,14934242.322948115
2019-06-02,14038356.208758654
2019-06-04,13964629.814571112
2019-06-07,13964629.814571112
2019-06-12,14003156.06860307
2019-06-17,13343701.482205762
2019-06-19,13343701.482205762
2019-06-22,13907728.363944115
2019-06-24,13907728.363944115
2019-06-25,13907728.363944115
2019-06-27,14351124.341386586
2019-06-29,14351124.341386586
2019-06-30,14351124.341386586
2019-07-02,13952909.89170985
2019-07-04,14260136.933699714
2019-07-05,14260136.933699714
2019-07-07,14260136.933699714
2019-07-10,14024943.932669811
2019-07-12,14276975.141242413
2019-07-14,12875881.189577358
2019-07-15,12875881.189577358
2019-07-17,12875881.189577358
2019-07-19,12875881.189577358
2019-07-20,12875881.189577358
2019-07-22,13300693.461279402
2019-07-24,12016172.977144688
2019-07-25,12016172.977144688
2019-07-29,12016172.977144688
2019-08-01,12016172.977144688
2019-08-31,7533191.911449498
2019-09-02,7533191.911449498
2019-09-03,7533191.911449498
2019-09-05,7957197.347057661
2019-09-07,8150309.575832034
2019-09-12,7824320.976790407
2019-09-13,7824320.976790407
2019-09-15,8073211.390461278
2020-03-08,11901966.21973237
2020-03-11,11901966.21973237
2020-03-13,14251719.760334123
2020-03-15,14251719.760334123
2020-03-18,12508342.068294818
2020-03-20,14160896.399164494
2020-03-21,14160896.399164494
2020-03-25,12127432.70540902
2020-03-28,12127432.70540902
2020-05-17,12093542.940606326
2020-05-19,12024226.344758993
2020-05-20,12024226.344758993
2020-05-22,12526246.416925516
2020-05-24,12526246.416925516
2020-05-25,12526246.416925516
2020-05-27,11735188.954727517
2020-05-29,12242193.988394784
2020-05-30,12242193.988394784
2020-06-01,12234103.050285516
2020-06-03,10302458.880843325
2020-06-06,10302458.880843325
2020-06-26,12633811.600609373
2020-06-28,12633811.600609373
2020-07-01,12633811.600609373
2020-07-03,12633811.600609373
2020-07-04,12633811.600609373
2020-07-06,12633811.600609373
2020-07-11,12204987.149999645
2020-07-13,12204987.149999645
2020-07-14,12204987.149999645
2020-07-16,12204987.149999645
2020-07-18,12204987.149999645
2020-07-19,12204987.149999645
2020-07-21,13375153.148458624
2020-07-23,13277550.199792279
2020-07-24,13277550.199792279
2020-07-26,13724048.731969297
2020-07-29,13724048.731969297
2020-07-31,12692583.783935497
2020-08-02,13140558.515420021
2020-08-05,11836144.718960598
2020-08-07,12555558.743140632
2020-08-08,12555558.743140632
2020-08-10,12016172.977144688
2020-08-15,11773621.877364045
2020-08-22,11703186.399996841
2020-08-23,11703186.399996841
2020-08-25,11792850.537927756
2020-08-27,10847779.415227093
2020-08-30,10847779.415227093
2020-09-01,10847779.415227093
2020-09-02,10847779.415227093
2020-09-04,11006488.969219286
2020-09-06,10266879.817564012
2020-09-11,10266879.817564012
2020-09-12,10266879.817564012
2020-09-14,10401628.964965863
2020-09-16,9584848.421716483
2020-09-17,9584848.421716483
2020-09-21,9584848.421716483
