date,value
2018-01-01,489900
2018-01-02,755900
2018-01-03,662700
2018-01-07,736200
2018-01-08,722300
2018-01-09,783000
2018-01-13,822400
2018-01-14,871000
2018-01-15,932400
2018-01-19,958200
2018-01-20,988800
2018-01-21,1002600
2018-01-25,1031500
2018-01-26,1057900
2018-01-27,1083100
2018-01-31,1098100
2018-02-01,1140100
2018-02-02,1150400
2018-02-06,1139600
2018-02-07,1156700
2018-02-08,1171000
2018-02-12,1141600
2018-02-13,1159400
2018-02-14,1168100
2018-02-18,1132900
2018-02-19,1137400
2018-02-20,1155800
2018-02-24,1132000
2018-02-25,1145700
2018-02-26,1156800
2018-03-02,1149700
2018-03-03,1150500
2018-03-04,1162200
2018-03-08,1147400
2018-03-09,1150900
2018-03-10,1161600
2018-03-14,1138000
2018-03-15,1136900
2018-03-16,1143700
2018-03-20,1115700
2018-03-21,1099500
2018-03-22,1114700
2018-03-26,1082700
2018-03-27,1110600
2018-03-28,1147200
2018-04-01,1161600
2018-04-02,1179200
2018-04-03,1189800
2018-04-07,1172700
2018-04-08,1186000
2018-04-09,1207400
2018-04-13,1204400
2018-04-14,1222000
2018-04-15,1226600
2018-04-19,1228300
2018-04-20,1234300
2018-04-21,1248800
2018-04-25,1252500
2018-04-26,1275900
2018-04-27,1278100
2018-05-01,1267300
2018-05-02,1283500
2018-05-03,1291500
2018-05-07,1269900
2018-05-08,1286400
2018-05-09,1301400
2018-05-13,1283100
2018-05-14,1302600
2018-05-15,1309100
2018-05-19,1306200
2018-05-21,1301300
2018-05-25,1311200
2018-05-26,1316800
2018-05-27,1295400
2018-05-31,1297500
2018-06-01,1294000
2018-06-02,1318900
2018-06-06,1307600
2018-06-07,1312900
2018-06-08,1324200
2018-06-12,1302300
2018-06-14,1299500
2018-06-18,1302300
2018-06-19,1297900
2018-06-20,1273000
2018-06-24,1257200
2018-06-26,1316000
2018-06-30,1291600
2018-07-01,1298500
2018-07-02,1286200
2018-07-06,1285900
2018-07-08,1277700
2018-07-12,1273100
2018-07-13,1273300
2018-07-18,1269700
2018-07-20,1269100
2018-07-24,1249400
2018-07-25,1280500
2018-07-26,1271700
2018-07-30,1266800
2018-08-01,1255500
2018-08-05,1258400
2018-08-06,1247000
2018-08-07,1183300
2018-08-11,1181200
2018-08-13,1201400
2018-08-17,1236600
2018-08-18,1260800
2018-08-19,1239200
2018-08-23,1232400
2018-08-25,1229900
2018-08-30,1217000
2018-08-31,1221300
2018-09-04,1183500
2018-09-06,1188000
2018-09-10,1144500
2018-09-11,1174500
2018-09-12,1148800
2018-09-16,1141700
2018-09-18,1137400
2018-09-22,1142900
2018-09-23,1129000
2018-09-28,1119400
2018-09-30,1110200
2018-10-04,1036200
2018-10-05,1084400
2018-10-06,1064400
2018-10-10,1080700
2018-10-12,1083400
2018-10-16,1158100
2018-10-17,1173500
2018-10-18,1147700
2018-10-22,1151400
2018-10-24,1150100
2018-10-28,1149200
2018-10-29,1160600
2018-10-30,1150500
2018-11-03,1139400
2018-11-05,1133800
2018-11-09,1134800
2018-11-10,1126700
2018-11-11,1102700
2018-11-15,1125700
2018-11-17,1132600
2018-11-21,1178500
2018-11-22,1192600
2018-11-23,1161200
2018-11-27,1154300
2018-11-28,1130700
2018-11-29,1156000
2018-12-03,1111800
2018-12-04,1127000
2018-12-05,1143500
2018-12-09,1138700
2018-12-15,1097700
2018-12-16,1101700
2018-12-17,1143800
2018-12-21,1156900
2018-12-22,1140500
2018-12-23,1151500
2018-12-27,1109900
2018-12-28,1118900
2018-12-29,1135100
2019-01-02,488300
2019-01-03,1215400
2019-01-04,973100
2019-01-08,1046900
2019-01-09,895200
2019-01-10,1045300
2019-01-14,832300
2019-01-15,886500
2019-01-16,1065300
2019-01-20,1095800
2019-01-21,1145300
2019-01-22,1147500
2019-01-26,1132900
2019-01-28,1121800
2019-02-02,1133500
2019-02-03,1169200
2019-02-09,1151500
2019-02-13,1137200
2019-02-14,1162500
2019-02-15,1173300
2019-02-19,1151300
2019-02-20,1152200
2019-02-21,1156900
2019-02-25,1131700
2019-02-26,1131000
2019-02-27,1143900
2019-03-03,1123400
2019-03-05,1127600
2019-03-09,1140400
2019-03-10,1154100
2019-03-11,1121600
2019-03-15,1098500
2019-03-17,1070900
2019-03-21,1089200
2019-03-22,1134000
2019-03-23,1068700
2019-03-27,1077800
2019-03-28,1115800
2019-03-29,1122800
2019-04-02,1075200
2019-04-03,1095600
2019-04-04,1111800
2019-04-08,1096600
2019-04-10,1103600
2019-04-14,1123800
2019-04-15,1140000
2019-04-16,1092900
2019-04-20,1092700
2019-04-22,1102600
2019-04-26,1153600
2019-04-27,1175900
2019-04-28,1145000
2019-05-02,1142100
2019-05-03,1173700
2019-05-04,1182900
2019-05-08,1147900
2019-05-09,1169200
2019-05-10,1178800
2019-05-14,1145600
2019-05-16,1142200
2019-05-20,1085600
2019-05-21,1141800
2019-05-22,1062100
2019-05-26,946400
2019-05-27,816000
2019-05-28,1055500
2019-06-01,1036700
2019-06-02,1112900
2019-06-03,1140400
2019-06-09,1158000
2019-06-13,1114100
2019-06-14,1158800
2019-06-15,1168000
2019-06-19,1144300
2019-06-21,1141400
2019-06-25,1137500
2019-06-26,1130400
2019-06-27,1087000
2019-07-01,1074600
2019-07-03,1076000
2019-07-07,1064000
2019-07-08,1078100
2019-07-09,1038300
2019-07-13,1018200
2019-07-15,1006900
2019-07-19,1033800
2019-07-20,1031100
2019-07-21,986700
2019-07-25,984800
2019-07-26,988000
2019-07-27,1001600
2019-07-31,969700
2019-08-01,966300
2019-08-02,972100
2019-08-06,921400
2019-08-08,901100
2019-08-12,877800
2019-08-13,932300
2019-08-14,841800
2019-08-18,833500
2019-08-20,819300
2019-08-24,862000
2019-08-25,856900
2019-08-26,816300
2019-08-30,803900
2019-09-01,796100
2019-09-05,783400
2019-09-06,828900
2019-09-07,743800
2019-09-11,736300
2019-09-12,780800
2019-09-13,791800
2019-09-17,730900
2019-09-18,725300
2019-09-19,739900
2019-09-23,693100
2019-09-24,684000
2019-09-25,697700
2019-09-29,659300
2019-09-30,670200
2019-10-01,681100
2019-10-05,636800
2019-10-06,660700
2019-10-07,670300
2019-10-11,616300
2019-10-12,621400
2019-10-13,637800
2019-10-17,594500
2019-10-18,598000
2019-10-19,618400
2019-10-23,632400
2019-10-24,649700
2019-10-25,695500
2019-10-29,727100
2019-10-30,764800
2019-10-31,784800
2019-11-04,812100
2019-11-05,828000
2019-11-06,838100
2019-11-10,831400
2019-11-11,864100
2019-11-12,873800
2019-11-16,866800
2019-11-17,912100
2019-11-18,923900
2019-11-22,896300
2019-11-23,924900
2019-11-24,937000
2019-11-28,911700
2019-11-29,940300
2019-11-30,951300
2019-12-04,946900
2019-12-05,961600
2019-12-06,969600
2019-12-10,940900
2019-12-11,969900
2019-12-12,991200
2019-12-16,995500
2019-12-17,1057900
2019-12-18,1124600
2019-12-22,1096900
2019-12-23,1151700
2019-12-24,1104800
2019-12-28,1096700
2019-12-29,1120300
2019-12-30,1087800
2020-01-03,1103300
2020-01-04,1128000
2020-01-05,1124900
2020-01-09,1113100
2020-01-10,1112300
2020-01-11,1121500
2020-01-15,1141400
2020-01-16,1140700
2020-01-17,1124700
2020-01-21,1120500
2020-01-22,1136900
2020-01-23,1162900
2020-01-27,1239100
2020-01-28,1227500
2020-01-29,1180600
2020-02-02,1167600
2020-02-03,1134900
2020-02-04,1135600
2020-02-08,1134300
2020-02-09,1124800
2020-02-10,1122800
2020-02-14,1124500
2020-02-15,1130900
2020-02-16,1121900
2020-02-20,1125000
2020-02-21,1140300
2020-02-22,1122100
2020-02-26,1108300
2020-02-27,1119300
2020-02-28,1109100
2020-03-03,1116500
2020-03-04,1130300
2020-03-05,1110700
2020-03-09,1125200
2020-03-10,1129700
2020-03-11,1116200
2020-03-15,1130000
2020-03-16,1112600
2020-03-17,1119700
2020-03-21,1135200
2020-03-22,1120000
2020-03-23,1127300
2020-03-27,1126300
2020-03-28,1135500
2020-03-29,1119600
2020-04-02,1125700
2020-04-03,1116500
2020-04-04,1133200
2020-04-08,1154300
2020-04-09,1166000
2020-04-10,1151400
2020-04-14,1159400
2020-04-15,1149700
2020-04-16,1163700
2020-04-20,1188900
2020-04-21,1191200
2020-04-22,1198000
2020-04-26,1237400
2020-04-27,1248700
