date,value
2018-03-14,14471824.729747577
2018-03-17,14471824.729747577
2018-03-19,15182100.060183356
2018-04-18,17122188.91524126
2018-04-21,17122188.91524126
2018-04-26,17122188.91524126
2018-06-22,19313437.941246804
2018-06-25,19338258.94342493
2018-06-27,19338258.94342493
2018-06-30,19290694.377132725
2018-07-02,19290694.377132725
2018-07-07,19127608.08525402
2018-07-10,19127608.08525402
2018-07-12,19528893.96253866
2018-07-15,19589110.164138142
2018-07-17,19226645.3355326
2018-07-20,19582878.13350165
2018-07-25,18808927.673693243
2018-07-27,19146165.01992572
2018-08-01,19695152.332564548
2018-08-04,19655624.87851569
2018-08-06,19697233.433241654
2018-08-11,19458371.739305645
2018-08-14,18862263.29715223
2018-08-16,18837640.81153773
2018-08-19,18837640.81153773
2018-08-21,18825333.453769024
2018-08-26,17203813.470224686
2018-08-29,17203813.470224686
2018-08-31,16513024.915665736
2018-09-03,16625223.167526795
2018-09-05,16218938.542583665
2018-09-08,13807856.69657347
2018-09-10,13807856.69657347
2018-09-20,16158373.233084427
2018-09-23,16166184.010420347
2018-09-25,16572046.126241442
2018-09-28,16572046.126241442
2018-09-30,16572046.126241442
2018-10-03,15610790.053078866
2018-10-05,15525901.349084854
2019-03-02,16277619.57018758
2019-03-07,15593414.329206686
2019-03-09,15593414.329206686
2019-03-24,16520890.491313266
2019-03-27,16520890.491313266
2019-03-29,16759393.357867422
2019-04-01,16814740.77285533
2019-04-08,16454071.568182733
2019-04-13,16939487.107584346
2019-05-13,15115166.67972038
2019-05-16,15203155.928705296
2019-05-23,15837240.591961592
2019-05-28,15806211.038240274
2019-05-31,15806211.038240274
2019-06-02,16983119.224913236
2019-06-07,16977167.26235767
2019-06-12,17112243.257297404
2019-06-17,16635076.787381355
2019-06-27,15168705.765450913
2019-06-30,15168705.765450913
2019-07-02,15283637.452069242
2019-07-05,15025434.687585004
2019-07-07,15358492.725109851
2019-07-10,15239547.28491851
2019-07-12,15306657.296949487
2019-07-15,15425770.739136044
2019-07-17,15237631.251880348
2019-07-20,14332592.95347728
2019-07-22,14670125.648940507
2019-07-25,14539715.675931934
2019-08-01,14413445.146413965
2019-08-04,11546504.905380804
2019-08-06,11546504.905380804
2019-08-09,11546504.905380804
2019-08-11,11822660.671384426
2019-08-16,11424057.496394506
2019-08-21,11424057.496394506
2019-08-24,10228078.925588327
2019-08-26,10228078.925588327
2019-08-31,8764354.403346833
2019-09-03,8764354.403346833
2019-09-05,9791317.419054952
2019-09-08,9708349.772702884
2019-09-13,8941295.813728029
2019-09-15,9073936.43816708
2019-09-18,8474111.03828391
2019-09-20,8474111.03828391
2019-09-30,7730086.338937397
2019-10-03,7730086.338937397
2019-10-05,7730086.338937397
2019-10-08,7737786.693145915
2019-10-10,7167173.75827792
2019-10-13,6913173.7049888065
2019-10-15,6435887.383859226
2019-10-25,9587626.161723562
2020-03-08,15930446.753319202
2020-03-11,15845001.04224782
2020-03-13,15905186.027640799
2020-03-18,15905186.027640799
2020-05-07,10361483.97467096
2020-05-17,19041085.730625607
2020-05-20,19041085.730625607
2020-05-22,19076091.46400514
2020-05-25,19047261.708172243
2020-05-27,18579731.176787235
2020-05-30,18598115.29196373
2020-06-06,17881458.853231285
2020-06-21,18667619.212601084
2020-06-24,18667619.212601084
2020-06-26,18667619.212601084
2020-07-01,18667619.212601084
2020-07-26,18882789.94627119
2020-07-29,19049320.510694
2020-07-31,19265893.06198516
2020-08-03,19562109.31112062
2020-08-05,18841743.839762904
2020-08-08,19553803.769763805
2020-08-10,19524743.322349906
2020-08-13,19641068.580535334
2020-08-15,18802776.69391976
2020-08-20,19197742.457256295
2020-08-23,19261760.508617677
2020-08-25,18286383.249200292
2020-08-30,18481781.52555966
2020-09-02,18628768.49315396
2020-09-04,17517528.985929888
2020-09-07,18274193.081470262
2020-09-12,16574014.66767451
2020-09-14,16882027.306354422
2020-09-17,16216983.684093796
2020-09-19,16216983.684093796
2020-09-24,16216983.684093796
