date,value
2018-02-08,5004400
2018-02-11,5173900
2018-02-13,4984300
2018-02-16,5027100
2018-02-18,5027100
2018-02-21,5080700
2018-02-26,5109300
2018-03-28,6368000
2018-04-02,6352000
2018-04-04,6352000
2018-04-14,6543300
2018-04-17,6700500
2018-04-19,6576400
2018-04-22,6638500
2018-04-24,6629900
2018-04-27,6664100
2018-04-29,6652900
2018-05-04,7317400
2018-05-07,7505400
2018-05-12,7512000
2018-05-14,7338900
2018-05-19,7358600
2018-05-22,7316800
2018-05-24,7493100
2018-06-13,7164600
2018-06-16,7544500
2018-06-23,7838400
2018-06-26,7254100
2018-06-28,7392500
2018-07-01,7397700
2018-07-03,7454600
2018-07-06,6897500
2018-07-08,7104300
2018-07-11,7140100
2018-07-13,6717100
2018-07-16,6755100
2018-07-18,6420400
2018-07-21,6501100
2018-07-23,6110900
2018-07-26,6200000
2018-07-28,5921300
2018-07-31,5859500
2018-08-02,5725200
2018-08-05,5736300
2018-08-07,5650000
2018-08-10,5563700
2018-08-12,5463400
2018-08-15,5317700
2018-08-17,5252000
2018-08-20,5254400
2018-08-22,5153300
2018-08-25,5104400
2018-08-27,5313600
2018-08-30,5240500
2018-09-01,5194000
2018-09-04,5300000
2018-09-06,5250500
2018-09-09,5117700
2018-09-11,5239900
2018-09-14,5117900
2018-09-16,4873600
2018-09-19,4945200
2018-09-21,4912400
2018-09-24,4928300
2018-09-26,4815800
2018-09-29,4906500
2018-10-01,5109600
2018-10-04,5236600
2018-10-06,5187800
2018-10-09,5230300
2018-10-14,5296500
2018-10-16,5240600
2018-10-24,5218100
2018-10-29,5248700
2018-11-03,5419000
2019-02-03,5071700
2019-02-06,5013500
2019-02-08,5009800
2019-02-11,5005700
2019-02-13,5086300
2019-02-16,5033300
2019-02-21,5410200
2019-02-26,5252200
2019-02-28,5052200
2019-03-03,5136100
2019-03-10,5049500
2019-03-13,5036800
2019-03-15,5102400
2019-03-18,5120500
2019-03-20,5045500
2019-03-23,5093600
2019-03-25,5066000
2019-03-28,5078300
2019-03-30,5047100
2019-04-04,5164700
2019-04-12,5299400
2019-04-14,5307000
2019-04-22,4901600
2019-04-27,5152800
2019-04-29,5226400
2019-05-02,5323100
2019-05-04,5163000
2019-05-07,5191700
2019-05-12,5402100
2019-05-14,5262500
2019-05-19,5235600
2019-05-22,5284800
2019-05-24,5255000
2019-05-27,5188500
2019-05-29,5154500
2019-06-01,5231900
2019-06-03,5188000
2019-06-06,5084900
2019-06-08,5260600
2019-06-11,5276900
2019-06-13,4882800
2019-06-18,5596700
2019-06-21,3799300
2019-06-23,5537900
2019-06-26,4716100
2019-06-28,5481500
2019-07-01,5014000
2019-07-03,5341900
2019-07-06,5328200
2019-07-08,5333800
2019-07-11,5344800
2019-07-13,5294800
2019-07-16,5383600
2019-07-18,5307000
2019-07-21,5393300
2019-07-23,5430400
2019-07-26,5431000
2019-07-28,5301400
2019-07-31,5329000
2019-08-02,5299800
2019-08-05,5209200
2019-08-10,5347600
2019-08-12,5359400
2019-08-15,5304200
2019-08-17,5368200
2019-08-20,5254100
2019-08-22,5255700
2019-08-25,5225300
2019-08-27,5243400
2019-08-30,5206500
2019-09-01,5238600
2019-09-04,5256300
2019-09-06,5259000
2019-09-09,5249300
2019-09-11,5332300
2019-09-16,5300800
2019-09-19,5290100
2019-09-24,5318300
2019-09-26,5329000
2019-09-29,5114000
2019-10-01,5015100
2019-10-04,4928900
2019-10-06,4759300
2019-10-09,4703900
2019-10-16,4606200
2019-10-21,4788400
2019-10-24,4788400
2019-10-26,4623400
2019-11-18,4339700
2020-02-03,5143100
2020-02-06,4956000
2020-02-11,4973700
2020-02-16,5066000
2020-02-18,4940000
2020-02-21,5039000
2020-02-23,5072900
2020-02-26,5072900
2020-02-28,4891800
2020-03-02,5216400
2020-03-27,5057900
2020-03-29,4902700
2020-04-01,4766800
2020-04-03,4819400
2020-04-08,4866100
2020-04-11,4950800
2020-05-06,5419800
2020-05-08,5342600
2020-05-18,5351600
2020-05-21,5840800
2020-05-23,5670900
2020-05-26,5789600
2020-05-28,5617800
2020-05-31,5660300
2020-06-05,5496900
2020-06-07,5231700
2020-06-10,5196600
2020-06-12,5362600
2020-06-15,4912000
2020-06-22,5096600
2020-06-25,5547000
2020-06-27,5547000
2020-06-30,4974800
2020-07-02,5508200
2020-07-05,5381100
2020-07-07,5630300
2020-07-10,5279300
2020-07-12,5510000
2020-07-15,5546700
2020-07-17,5587600
2020-07-20,5620900
2020-07-22,5508300
2020-07-25,5549500
2020-07-27,5458300
2020-07-30,5517600
2020-08-01,5558400
2020-08-04,5594700
2020-08-06,5598100
2020-08-09,5641300
2020-08-11,5725600
2020-08-14,5722600
2020-08-16,5726500
2020-08-19,5683100
2020-08-21,5696000
2020-08-24,5565600
2020-08-26,5560200
2020-08-29,5496400
2020-08-31,5475800
2020-09-03,5403100
2020-09-05,5490100
2020-09-08,5462500
2020-09-10,5482900
2020-09-15,5466100
2020-09-23,5419200
2020-09-25,5268100
2020-09-28,5264200
2020-10-03,5294800
2020-10-08,5282700
2020-10-10,5271400
2020-10-13,5184500
2020-10-15,5282000
2020-10-18,5271200
2020-10-30,5173900
2020-11-02,5230400
2020-11-12,5123300
