date,value
2018-02-08,57590243.44386982
2018-02-11,61302112.52339758
2018-02-13,57774266.2317613
2018-02-21,59229030.76913486
2018-03-28,81963223.85120793
2018-04-14,86875432.91774794
2018-04-17,88389759.16948715
2018-04-19,85303836.41135432
2018-05-04,102223389.02741735
2018-05-14,99470173.80545846
2018-05-22,107018892.49404666
2018-06-13,94554639.59356491
2018-07-03,92196611.58677757
2018-07-06,80749798.99658553
2018-07-08,86010225.71065658
2018-07-11,94709984.1835058
2018-07-13,79640158.53164117
2018-07-18,75587813.55793479
2018-07-21,84810842.34103797
2018-07-23,69520300.99822363
2018-07-26,82464300.00496061
2018-07-28,71507982.35283926
2018-07-31,70150087.09610873
2018-08-02,68197844.96841785
2018-08-05,71861974.79710548
2018-08-10,63764742.436240055
2018-08-12,63253635.96306481
2018-08-15,58904574.77127451
2018-08-20,64044553.853119604
2018-08-22,58781120.31115502
2018-08-27,69126692.7630903
2018-08-30,58621779.16304483
2018-09-01,62497275.21334029
2018-09-04,64847401.51434537
2018-09-11,62861090.97123323
2018-09-16,51453307.363046035
2018-09-19,56872968.35355468
2018-09-21,55046894.23264885
2018-09-24,65187129.88979177
2018-09-26,54336456.15658943
2018-09-29,60426952.635914974
2018-10-04,62132381.359283194
2018-10-06,62761325.27480553
2018-10-24,58454018.85597307
2019-02-03,58477975.33683586
2019-02-06,59662511.3682559
2019-02-08,56735616.7450854
2019-02-13,59672844.470325924
2019-02-21,60963709.59121369
2019-02-26,57384289.66282266
2019-02-28,59454247.55531776
2019-03-03,58616641.39577388
2019-03-10,60217850.56305961
2019-03-13,59074457.866633095
2019-03-15,61959772.08789496
2019-03-18,58390720.192920074
2019-03-20,57881698.261442155
2019-03-25,58748555.66546471
2019-03-28,61813434.46210863
2019-04-04,63854451.20409801
2019-04-14,56978172.37222684
2019-04-27,61291691.32577165
2019-05-07,63243111.33121361
2019-05-12,62862841.692295544
2019-05-14,62287684.45872132
2019-05-29,54905916.16773023
2019-06-03,61053892.642949015
2019-06-18,62602153.7600463
2019-06-21,39279527.96141432
2019-06-23,63422105.10635286
2019-06-26,54450198.42316536
2019-06-28,66951272.710102044
2019-07-01,50803723.36852027
2019-07-03,63430883.40917533
2019-07-08,62610896.14012607
2019-07-11,65056126.66196054
2019-07-13,62200420.48698339
2019-07-16,66088687.248233795
2019-07-18,63178221.63202796
2019-07-21,65541607.89057564
2019-07-31,64226021.27862909
2019-08-02,65142862.75366365
2019-08-05,62050416.67622632
2019-08-10,61373338.981482625
2019-08-12,64711313.53313505
2019-08-15,62589915.07427747
2019-08-17,63343117.612843975
2019-08-20,63668042.24200985
2019-08-25,61196189.70309316
2019-08-27,61799503.233631626
2019-08-30,61695050.56946992
2019-09-01,64501173.05041901
2019-09-04,62679099.90629171
2019-09-06,63557333.411539346
2019-09-09,61130234.1838683
2019-09-16,65234949.039412394
2019-09-19,64032226.98863278
2019-09-24,61267377.36941737
2019-09-26,57632824.853046484
2019-09-29,56423997.38543687
2019-10-01,55093912.23139861
2019-10-04,54971356.100924306
2019-10-06,51399076.09115226
2019-10-09,54034066.5858012
2019-10-16,52682401.26988006
2019-10-21,53098552.92048445
2019-10-26,51338292.76798339
2020-02-03,56143327.05680797
2020-02-11,58702289.37400566
2020-02-16,59767590.84459265
2020-02-18,56283607.08693588
2020-02-21,58342832.87075983
2020-02-23,58014796.45404041
2020-05-06,65683568.61636335
2020-05-08,63169454.36396628
2020-05-18,62446603.78547567
2020-05-21,72163484.00529741
2020-05-26,67840686.15009134
2020-05-28,59789992.36265401
2020-06-10,43598965.33815879
2020-06-15,33854598.590347305
2020-06-22,60318052.80447222
2020-06-25,51515777.81491494
2020-06-30,56366474.77968081
2020-07-02,65488397.57896888
2020-07-05,53337766.60423918
2020-07-07,66067345.65090646
2020-07-10,60676098.84644197
2020-07-12,65896691.097373776
2020-07-15,67330207.8879073
2020-07-17,66763842.29354322
2020-07-20,67824547.21249934
2020-07-22,64252462.06855598
2020-07-25,72214688.67356756
2020-07-27,65275692.58561379
2020-07-30,70043187.06128186
2020-08-01,71989839.20610374
2020-08-04,66085130.16450181
2020-08-06,70688990.43494733
2020-08-09,68836452.97267298
2020-08-14,71238296.98361968
2020-08-16,71944165.12281671
2020-08-19,68258926.16637802
2020-08-21,68126006.80204795
2020-08-24,62840083.517042965
2020-08-26,67813788.59305625
2020-08-29,66738864.08518639
2020-08-31,66131376.9587909
2020-09-03,67410728.91255142
2020-09-05,67803030.51147786
2020-09-08,64488818.55500299
2020-09-10,67460846.1873663
2020-09-15,63578416.12626909
2020-09-25,64187247.65785394
2020-09-28,63167700.956366606
2020-10-08,60535914.35020097
2020-10-10,60629359.32775807
2020-10-13,62871595.528084695
2020-10-15,62540967.872906946
2020-10-30,61578477.58958174
2020-11-02,58791405.064899385
