date,value
2018-01-05,41009217.40745703
2018-01-10,42754458.949609436
2018-01-11,43834732.993023045
2018-01-17,43516307.51053314
2018-01-22,39066857.59292683
2018-01-23,43553731.34620487
2018-01-29,43653577.788869984
2018-02-03,39707473.18165144
2018-02-04,44384321.06333481
2018-02-10,42726553.5172835
2018-02-15,36730991.68460644
2018-02-16,41455275.46039291
2018-02-22,40859341.22798519
2018-02-27,39896959.62517477
2018-02-28,45919049.37030629
2018-03-06,49063227.34271435
2018-03-11,51607883.06085885
2018-03-12,54229473.107607394
2018-03-17,61844783.34400471
2018-03-18,69918233.5722866
2018-03-23,77731033.28777015
2018-03-24,86780456.0561331
2018-03-29,75662042.83221702
2018-03-30,83927260.0780697
2018-04-04,76323693.7596304
2018-04-05,81402326.84722015
2018-04-10,61595872.13030164
2018-04-11,88253346.7088712
2018-04-16,86642894.62614173
2018-04-17,88270881.73402025
2018-04-22,79084332.76021066
2018-04-23,92251925.17857248
2018-04-28,93374271.40188663
2018-04-29,100970839.33806342
2018-05-04,80662667.89772226
2018-05-05,92807615.07632986
2018-05-10,89221356.18942562
2018-05-11,96093683.19531552
2018-05-16,77581329.51285747
2018-05-17,93142326.07527612
2018-05-22,87331388.89830321
2018-05-23,98276767.70091239
2018-05-28,92518762.37419242
2018-05-29,97451526.52893959
2018-06-03,88748645.51823536
2018-06-04,101644371.11951904
2018-06-09,83988632.241838
2018-06-10,98002786.1383103
2018-06-15,93023450.29488544
2018-06-16,97395248.63961212
2018-06-22,96676599.3749028
2018-06-27,85649081.59082147
2018-06-28,93400054.32469876
2018-07-04,86511210.14450409
2018-07-09,71393144.59824215
2018-07-10,80208552.03336014
2018-07-16,69337853.66042346
2018-07-21,62256264.98755797
2018-07-22,65319988.14055257
2018-07-28,58743414.39918067
2018-08-02,48041661.78115239
2018-08-03,56407077.05266285
2018-08-09,54408372.70087552
2018-08-14,34813889.973647855
2018-08-15,52985708.75496996
2018-08-21,52781785.87836061
2018-08-26,42853724.7497472
2018-08-27,48641192.60489478
2018-09-02,46006291.53002448
2018-09-07,38311154.78691728
2018-09-08,47728329.13273763
2018-09-14,43057135.48936082
2018-09-19,36598046.52755684
2018-09-20,43192392.68935816
2018-09-26,43425908.44222697
2018-10-01,37256864.941189125
2018-10-02,42926669.25572811
2018-10-08,39127152.63793114
2018-10-13,34718016.847616255
2018-10-14,48395939.94906966
2018-10-20,45188279.80887694
2018-10-25,37185623.30921756
2018-10-26,43997348.85860224
2018-11-01,46422596.96966147
2018-11-06,46285816.822685555
2018-11-07,48006279.10547229
2018-11-13,48400776.681592755
2018-11-18,46871999.72456446
2018-11-19,49037322.43788896
2018-11-25,48681567.609716244
2018-11-30,50266025.86954755
2018-12-01,49961209.255341716
2018-12-06,47047668.192680515
2018-12-07,48552404.76518731
2018-12-12,46114226.67953718
2018-12-13,49414987.98849219
2018-12-19,49855393.886420086
2018-12-24,43072675.4928316
2018-12-25,49153928.45335062
2019-01-05,43574006.82307836
2019-01-06,46441692.681220025
2019-01-11,44285518.22494503
2019-01-12,41335564.37554109
2019-01-17,45431459.0386861
2019-01-18,49460434.11161172
2019-01-23,51676996.011848144
2019-01-24,54267912.49186905
2019-01-29,49588728.04924765
2019-01-30,48660571.289693005
2019-02-04,48810838.54135422
2019-02-05,47202747.55810422
2019-02-10,47754014.13756067
2019-02-11,49653726.932743184
2019-02-16,40756974.44376675
2019-02-17,47002932.93687032
2019-02-22,44888820.900498
2019-02-23,47643278.66646313
2019-02-28,46022159.346662536
2019-03-01,48370146.61507659
2019-03-06,47365994.07027624
2019-03-07,52687369.09822654
2019-03-12,45561111.77758635
2019-03-13,51774132.47010764
2019-03-18,46331926.146218926
2019-03-19,48007887.230680645
2019-03-24,44619844.98416564
2019-03-25,48059356.19944706
2019-03-30,34095433.519029185
2019-03-31,46042790.08609601
2019-04-05,41001566.47797538
2019-04-06,50089910.76673734
2019-04-11,43449281.83188783
2019-04-12,48218698.327448964
2019-04-17,37567563.19963047
2019-04-23,51139673.22333137
2019-04-24,50571426.10981824
2019-04-29,45765313.16902572
2019-04-30,49562736.0097451
2019-05-05,37311809.685205676
2019-05-06,49748022.95816773
2019-05-11,44589990.232346505
2019-05-12,48460442.238623135
2019-05-17,37024005.125411265
2019-05-18,53081953.44590823
2019-05-23,43850360.88660385
2019-05-24,45923806.687821604
2019-05-29,37805967.14334756
2019-05-30,45933321.78877717
2019-06-04,36023710.111985266
2019-06-05,49787058.49120453
2019-06-10,43876932.334211186
2019-06-11,50669538.94897662
2019-06-16,39284056.814622335
2019-06-17,46096761.17830466
2019-06-22,40694372.00859032
2019-06-23,45976147.4296615
2019-06-28,41200636.76665085
2019-07-04,41655036.187985234
2019-07-05,45076303.32317534
2019-07-10,43394750.088851415
2019-07-11,47723513.67916455
2019-07-16,39780202.35108156
2019-07-17,50638463.39971909
2019-07-22,40935787.05895802
2019-07-23,46174578.087021545
2019-07-28,38707206.073315926
2019-07-29,46508547.15733754
2019-08-03,39268961.27718556
2019-08-04,45876240.50261374
2019-08-09,34357064.90435794
2019-08-10,48052921.62793932
2019-08-15,38146512.70889158
2019-08-16,46750749.81794628
2019-08-21,35414249.82312001
2019-08-22,47122789.65680097
2019-08-27,42839761.11347154
2019-08-28,45303501.805294305
2019-09-02,33667495.12182785
2019-09-03,47518197.03915769
2019-09-08,37974626.01816751
2019-09-09,43781611.28835884
2019-09-14,39978905.65256689
2019-09-15,43374500.93894236
2019-09-20,36130996.191346265
2019-09-21,42186634.9036724
2019-09-26,31079900.63755742
2019-09-27,38219825.67061536
2019-10-02,29967311.24597736
2019-10-03,36029586.19717388
2019-10-08,23598113.19398497
2019-10-09,38213839.276411936
2019-10-14,34367195.897543296
2019-10-15,39238775.68807016
2019-10-20,32381171.485045984
2019-10-21,35602890.42154273
2019-10-26,29838482.445681754
2019-10-27,33195442.413475268
2019-11-01,28985482.538976602
2019-11-02,42870793.36371257
2019-11-07,33222646.6210508
2019-11-08,38668144.067297034
2019-11-13,20121964.765276592
2019-11-14,34179202.56625628
2019-11-19,31493011.34361551
2019-11-20,35081612.06346423
2019-11-25,39122629.49317274
2019-11-26,37630098.22186564
2019-12-01,38133051.885757335
2019-12-02,39910613.616438
2019-12-07,33126747.28588714
2019-12-08,41284950.23125269
2019-12-13,40313306.88489058
2019-12-14,40640954.9052819
2019-12-19,42052379.33839844
2019-12-20,45021135.87452447
2019-12-25,45464651.69673618
2019-12-26,46174578.087021545
2020-01-01,45407754.67501585
2020-01-06,43680111.60875761
2020-01-07,43847235.167448245
2020-01-12,39219158.97826153
2020-01-13,43681672.57991675
2020-01-18,46133282.331383035
2020-01-19,49304673.66171866
2020-01-24,42223694.647140495
2020-01-25,47237942.56546716
2020-01-30,46709292.3138553
2020-01-31,47896966.428151764
2020-02-05,45606992.438014954
2020-02-06,49523756.00369484
2020-02-11,46220652.471903935
2020-02-12,48017536.338416114
2020-02-17,45816012.30631182
2020-02-18,50897063.767631836
2020-02-23,42630478.76841257
2020-02-24,47442877.390139185
2020-02-29,42895624.26195486
2020-03-01,47353184.00455686
2020-03-06,47481333.78301374
2020-03-07,45928564.16064721
2020-03-12,43148847.04815417
2020-03-13,49582229.636770375
2020-03-18,43794108.6866472
2020-03-19,47718698.37871006
2020-03-24,43737879.24748008
2020-03-25,50350891.47527248
2020-03-30,47084425.04114795
2020-03-31,50816820.5178979
2020-04-05,46664658.73561517
2020-04-06,52793384.59386158
2020-04-11,50680989.349905565
2020-04-12,52331715.517783105
2020-04-17,49123148.945249535
2020-04-18,51548666.593371384
2020-04-23,49673231.82924751
2020-04-24,51408934.981834054
2020-04-29,49210643.44904396
