date,value
2018-01-20,25148900
2018-01-22,25732400
2018-01-27,25698000
2018-01-30,25956000
2018-02-01,26873000
2018-02-06,26048300
2018-02-11,25853800
2018-02-16,26004900
2018-02-19,26206200
2018-02-21,25690900
2018-02-24,25695900
2018-02-26,25741900
2018-03-01,25992000
2018-03-21,26572500
2018-03-26,26853800
2018-03-28,26818800
2018-03-31,26817900
2018-04-02,26893900
2018-04-05,26893900
2018-04-25,27336700
2018-04-27,27622100
2018-05-02,27467300
2018-05-05,28065800
2018-05-07,27557200
2018-05-10,28193100
2018-05-12,27865500
2018-05-15,28130000
2018-05-17,27556900
2018-05-20,28304700
2018-05-22,27675400
2018-05-25,29033400
2018-06-01,28257200
2018-06-16,28227400
2018-06-19,27054600
2018-06-26,28592400
2018-06-29,27640800
2018-07-01,27727500
2018-07-04,27648100
2018-07-06,26905500
2018-07-09,26922700
2018-07-11,27013400
2018-07-14,26956400
2018-07-16,27120200
2018-07-19,27640100
2018-07-21,27144400
2018-07-24,27596900
2018-07-26,27131300
2018-07-29,27473200
2018-07-31,27066000
2018-08-03,27691800
2018-08-05,27650700
2018-08-08,27630600
2018-08-10,27428500
2018-08-13,27512300
2018-08-15,27108300
2018-08-18,27009300
2018-08-20,26821000
2018-08-23,27002600
2018-08-25,27012700
2018-08-28,27079100
2018-08-30,26903100
2018-09-02,27171700
2018-09-07,26972500
2018-09-09,26333500
2018-09-19,24544400
2018-09-22,24757500
2018-09-24,24769000
2018-09-27,24713700
2018-09-29,25116200
2018-10-02,25568100
2018-10-04,25300900
2018-10-07,25229100
2018-10-09,25662700
2018-10-12,24849700
2018-10-14,24747500
2018-10-17,25071900
2018-10-19,25280200
2018-10-22,25234800
2018-10-24,25505900
2018-10-27,25548900
2018-10-29,25962900
2018-11-01,26022800
2018-11-03,26503800
2018-11-06,25692900
2019-01-20,25838500
2019-01-22,25492100
2019-01-25,25686400
2019-01-27,25693800
2019-02-01,26079100
2019-02-04,26460300
2019-02-06,26938500
2019-02-09,26343700
2019-02-11,26505700
2019-02-14,26312100
2019-02-16,26521800
2019-02-19,26253100
2019-02-21,26567900
2019-02-24,26277400
2019-02-26,25517400
2019-03-01,25514400
2019-03-03,25497800
2019-03-06,25497000
2019-03-08,25671100
2019-03-11,25706100
2019-03-13,25976700
2019-03-16,26385100
2019-03-18,26062800
2019-03-21,25898500
2019-03-23,25996200
2019-03-26,25814500
2019-03-28,25281800
2019-04-02,25642700
2019-04-05,25234000
2019-04-12,24704600
2019-04-15,24704600
2019-04-22,24786100
2019-04-27,25056700
2019-04-30,25709700
2019-05-02,25504700
2019-05-05,26049000
2019-05-07,25999700
2019-05-10,25761700
2019-05-12,25366900
2019-05-15,25721700
2019-05-22,24735900
2019-05-27,23077700
2019-05-30,22958800
2019-06-01,22958800
2019-06-04,22973700
2019-06-06,22357800
2019-06-09,22750900
2019-06-11,22267900
2019-06-14,22250800
2019-06-16,22408100
2019-06-19,21976000
2019-06-21,22011700
2019-06-24,22177400
2019-06-26,21890900
2019-06-29,23200700
2019-07-01,22111800
2019-07-04,22998100
2019-07-06,22306000
2019-07-09,22935100
2019-07-11,22228800
2019-07-14,22490900
2019-07-16,22157400
2019-07-19,22352600
2019-07-21,22126900
2019-07-24,22435900
2019-07-26,22360900
2019-07-29,22496600
2019-07-31,22217000
2019-08-03,22242600
2019-08-05,22093400
2019-08-08,22163000
2019-08-10,22003300
2019-08-13,22098300
2019-08-15,22143600
2019-08-18,22372600
2019-08-20,22327000
2019-08-23,22487400
2019-08-25,22326600
2019-08-28,22332300
2019-08-30,22245000
2019-09-02,22360000
2019-09-04,22148300
2019-09-07,22272500
2019-09-09,22105100
2019-09-12,21991900
2019-09-14,21921000
2019-09-17,22060600
2019-09-19,21841200
2019-09-24,21637500
2019-09-27,21360400
2019-09-29,21249900
2019-10-02,21312300
2019-10-04,21309200
2019-10-07,21259200
2019-10-09,20951500
2019-10-12,20942300
2019-10-14,20432000
2019-10-17,20432600
2019-11-16,19192300
2019-11-18,19212500
2019-11-23,19085700
2019-12-03,19140900
2020-01-20,18913400
2020-01-25,19018700
2020-02-04,18955600
2020-02-06,18958800
2020-02-11,18419800
2020-02-14,18961500
2020-02-16,19074500
2020-02-19,18996900
2020-02-21,19124200
2020-02-24,19170000
2020-02-26,19250200
2020-03-02,19496900
2020-03-07,19563400
2020-03-10,20055700
2020-03-15,19967400
2020-04-29,20247800
2020-05-01,20201600
2020-05-04,20372200
2020-05-06,19660300
2020-05-09,19657700
2020-05-11,20187400
2020-05-24,20552500
2020-05-26,19979500
2020-05-29,20399500
2020-05-31,20340900
2020-06-03,20344200
2020-06-05,19865300
2020-06-08,19675500
2020-06-10,19094300
2020-06-13,19029300
2020-06-15,18790400
2020-06-18,18501500
2020-06-20,18149700
2020-06-23,17555300
2020-06-25,18698500
2020-06-28,17309300
2020-06-30,17861200
2020-07-03,16937300
2020-07-05,16831700
2020-07-08,16118600
2020-07-10,16427600
2020-07-13,16198200
2020-07-15,15928500
2020-07-18,15780700
2020-07-20,15548600
2020-07-23,15613000
