date,value
2018-01-20,384997875.57194704
2018-01-27,386736540.97152984
2018-02-06,386792529.48448145
2018-02-16,382930490.36462724
2018-02-19,394373728.67125666
2018-02-21,354265911.5336678
2018-03-21,400495730.0161863
2018-03-26,389607297.7019665
2018-04-25,414062374.2722352
2018-04-27,404695914.6838337
2018-05-05,449820039.72750586
2018-05-07,407512625.4993422
2018-05-12,407462129.1113572
2018-05-15,456173634.4823606
2018-05-17,421547782.78048605
2018-06-01,436893779.6759697
2018-06-16,423696660.4377969
2018-06-26,407409530.5607222
2018-07-06,399551692.3825318
2018-07-16,411296377.4123723
2018-07-21,392998342.1844076
2018-07-24,432739659.7459063
2018-07-26,399746310.1025575
2018-07-29,428044056.5972229
2018-07-31,406149835.1180139
2018-08-03,444734818.7142741
2018-08-05,434205942.87423736
2018-08-08,406311705.0458413
2018-08-10,409721440.1158892
2018-08-13,410083927.1076913
2018-08-15,406873133.4027982
2018-08-18,420501017.38227737
2018-08-20,398898974.2137885
2018-08-23,423590314.0662126
2018-08-25,408950398.7682982
2018-08-28,404099639.5499682
2018-08-30,405078163.38857794
2018-09-19,350475372.24064726
2018-09-22,373744855.94853145
2018-09-24,360113206.09602505
2018-09-29,389673791.5339991
2018-10-02,382297857.9590178
2018-10-04,363194549.02560794
2018-10-07,355733844.037002
2018-10-17,373769503.7425977
2018-10-29,384784578.425947
2019-01-20,387101543.7304749
2019-01-25,373418315.4255163
2019-02-04,399373839.06405854
2019-02-09,391682560.8281011
2019-02-11,394665649.32239336
2019-02-14,398290457.0073405
2019-02-24,376668767.9367135
2019-03-03,374030387.3116485
2019-03-11,378922560.7378084
2019-03-13,401656217.0880291
2019-03-16,401237160.81528586
2019-03-18,380308829.5619338
2019-03-23,367380448.4760932
2019-03-28,372630017.2409974
2019-04-12,361087291.75476795
2019-04-27,365719593.2687494
2019-04-30,384519556.01668304
2019-05-02,370792460.93692684
2019-05-05,398085585.0713427
2019-05-12,367413155.45849776
2019-05-27,306575156.35750324
2019-06-06,314539752.3057672
2019-06-11,302917406.6453649
2019-06-16,308750346.56376773
2019-06-21,309478959.4632269
2019-06-29,300075382.2668054
2019-07-01,298685151.54902864
2019-07-06,313711979.80652857
2019-07-11,304877681.94061774
2019-07-14,306788983.20291954
2019-07-16,302723703.4851256
2019-07-19,326342313.00485677
2019-07-21,312765581.6767278
2019-07-24,324397759.1180129
2019-07-31,307728368.68726176
2019-08-03,312548648.13687366
2019-08-05,306635412.44774866
2019-08-08,316528490.2776277
2019-08-10,306435219.4567813
2019-08-15,317829420.97642183
2019-08-18,326411538.6376977
2019-08-20,316950197.85929835
2019-08-23,322486015.4416542
2019-08-25,298540439.3059388
2019-08-28,319088595.39763474
2019-08-30,316361811.8199868
2019-09-02,325788655.2162998
2019-09-04,302032464.8490349
2019-09-07,311925441.9643181
2019-09-09,305036829.9194254
2019-09-12,307562994.4060017
2019-09-24,297678359.67998666
2019-09-27,293307364.0344318
2019-09-29,289392356.72572786
2019-10-09,276974121.10140175
2019-11-16,252876655.52947828
2020-01-20,252727450.81668702
2020-02-04,251565968.11436588
2020-02-14,246894726.32223898
2020-02-16,253713392.52695683
2020-02-19,247399934.0376057
2020-02-21,256781218.35127872
2020-02-24,263610769.85185063
2020-03-07,261691308.96072814
2020-03-10,270294773.3722535
2020-04-29,269866983.7349931
2020-05-24,279333100.9965068
2020-05-26,270904887.34991693
2020-05-29,269964533.1774472
2020-06-05,250606249.26524302
2020-06-10,236932762.97600687
2020-06-15,237144450.30640182
2020-06-20,225940962.56549537
2020-06-23,226180226.58884498
2020-06-28,86895773.45892373
2020-06-30,217042737.4803025
2020-07-03,114359295.74100383
2020-07-05,206280759.5834015
2020-07-08,186668837.2142325
2020-07-10,190415274.69442824
2020-07-13,194004381.67404085
2020-07-15,191396453.65040928
2020-07-18,191030050.69151875
2020-07-20,178089778.79572287
2020-07-23,193007529.498559
2020-07-28,193799080.8075229
2020-08-02,190224653.10202023
2020-08-04,180049251.29917008
2020-08-07,194430574.05880222
2020-08-09,196361100.9951019
2020-08-14,180000652.585321
2020-08-17,192507079.11391515
2020-08-19,189073547.0320884
2020-08-22,185861848.78174227
2020-08-24,183505704.47766164
2020-08-27,180795448.16695672
2020-08-29,169571596.08197373
2020-09-03,174963097.79683053
2020-09-06,184775564.63456708
2020-09-08,165010389.18620455
2020-09-21,186024183.25745112
2020-09-26,178509282.1641016
2020-09-28,174168898.39121127
2020-10-08,175693384.29227805
2020-10-11,174449577.71571165
2020-10-13,167937210.3043467
2020-10-31,180501897.41081432
2020-11-10,209027249.8526078
2020-11-20,203331151.2569448
2020-11-22,203242742.0248316
