date,value
2018-02-11,3422400
2018-02-13,3456800
2018-02-16,3410800
2018-02-18,3450500
2018-02-21,3316000
2018-02-26,3323100
2018-04-17,7714300
2018-04-19,7711900
2018-04-22,7718600
2018-04-24,7717700
2018-04-27,7721900
2018-05-07,7636900
2018-05-09,7480900
2018-05-12,7436000
2018-05-22,7546500
2018-06-03,7425800
2018-06-06,7425800
2018-06-08,7425800
2018-06-11,7425800
2018-06-16,7137800
2018-07-06,6941400
2018-07-08,6805100
2018-07-11,7404600
2018-07-13,7410400
2018-07-16,7145900
2018-07-18,7372600
2018-07-21,7243300
2018-07-23,7381900
2018-07-26,7297900
2018-07-28,7365100
2018-07-31,7249600
2018-08-02,7378600
2018-08-05,7126500
2018-08-07,7251800
2018-08-10,7127900
2018-08-12,7168500
2018-08-15,7081700
2018-08-17,7138000
2018-08-25,7080200
2018-08-27,6947500
2018-08-30,7030100
2018-09-01,7016900
2018-09-04,6807100
2018-09-06,6868800
2018-09-09,6865300
2018-09-11,6620100
2018-09-24,6463900
2018-09-26,6447700
2018-09-29,6527500
2018-10-01,6493900
2018-10-06,6292900
2018-10-09,6296900
2018-10-24,5946100
2018-10-29,6157000
2018-11-03,6129100
2019-02-21,6665200
2019-02-26,6726900
2019-02-28,6831900
2019-03-03,6678800
2019-03-10,6730700
2019-03-13,6799100
2019-03-28,6734900
2019-03-30,6756000
2019-04-02,6756000
2019-04-04,6596300
2019-04-12,6750200
2019-04-14,6737100
2019-04-19,6771700
2019-04-22,6782500
2019-04-27,6963800
2019-04-29,6926300
2019-05-02,6926300
2019-05-07,6800200
2019-05-12,6925900
2019-05-14,6888700
2019-05-22,6823900
2019-05-27,6833700
2019-05-29,6861000
2019-06-01,6568200
2019-06-06,6440900
2019-06-08,6597500
2019-06-11,6000300
2019-06-16,5982400
2019-06-18,5896300
2019-06-26,6130400
2019-06-28,6290400
2019-07-01,5900200
2019-07-03,6286100
2019-07-06,6139200
2019-07-08,5735700
2019-07-11,6072000
2019-07-13,6033100
2019-07-16,6136100
2019-07-18,6159500
2019-07-21,6006100
2019-07-23,6109800
2019-07-26,6107100
2019-07-28,5997100
2019-07-31,5946800
2019-08-02,5841600
2019-08-05,5844500
2019-08-07,5844500
2019-08-10,5713400
2019-08-12,5799100
2019-08-15,5688700
2019-08-17,5753700
2019-08-20,5619300
2019-08-22,5714900
2019-08-25,5560400
2019-08-27,5620100
2019-08-30,5457500
2019-09-01,5503100
2019-09-04,5392100
2019-09-06,5444400
2019-09-09,5312300
2019-09-11,5293200
2019-09-14,5278600
2019-09-16,5247200
2019-09-19,5223500
2019-09-24,5117500
2019-09-26,5109400
2019-09-29,4992100
2019-10-01,4998800
2019-10-04,4903500
2019-10-06,4999400
2019-10-09,4853500
2019-10-16,4785300
2019-10-24,4711300
2019-10-26,4686200
2019-10-29,4665800
2019-11-03,4644600
2020-02-16,7163100
2020-02-21,7164800
2020-02-23,7169900
2020-02-26,7162600
2020-05-01,7080600
2020-05-03,7218000
2020-05-06,7216800
2020-05-08,7198400
2020-05-11,7198400
2020-05-13,7257000
2020-05-23,7130000
2020-05-26,7206200
2020-05-28,7203200
2020-07-05,6260200
2020-07-07,6634300
2020-07-10,6468700
2020-07-12,6714300
2020-07-15,6265000
2020-07-17,6670100
2020-07-20,6456900
2020-07-22,6557800
2020-07-25,6429500
2020-07-27,6697700
2020-07-30,6475200
2020-08-01,6610600
2020-08-04,6454500
2020-08-06,6441000
2020-08-09,6348300
2020-08-11,6392600
2020-08-14,6249200
2020-08-16,6301500
2020-08-19,6189800
2020-08-21,6253400
2020-08-24,6149100
2020-08-26,6231300
2020-08-29,6082400
2020-08-31,6137600
2020-09-03,5950400
2020-09-05,5988100
2020-09-08,5881300
2020-09-10,5941200
2020-09-13,5934200
2020-09-15,5795500
2020-09-18,5803800
2020-09-28,5569000
2020-10-03,5512300
2020-10-08,5384600
2020-10-10,5535000
2020-10-13,5356600
2020-10-15,5441500
2020-10-18,5292000
2020-10-23,5391000
2020-10-25,5208100
2020-10-28,5210600
2020-11-02,5118600
2020-11-07,5118600
2020-11-12,5085700
