date,value
2018-02-11,36247167.12995396
2018-02-16,32489472.27132105
2018-02-21,33322681.11726482
2018-04-17,118813637.09478888
2018-06-16,93396867.22513698
2018-07-06,88233162.1441577
2018-07-11,106402975.82767488
2018-07-16,99028490.6029402
2018-07-21,108465899.14898044
2018-07-31,109167473.5192032
2018-08-10,103871260.18913181
2018-08-25,101680548.74043283
2018-08-30,101680548.74043283
2018-09-04,95031218.20422125
2018-09-24,91269714.46337187
2018-09-29,87491096.57844609
2018-10-24,81512285.23880611
2019-02-21,95769746.89210847
2019-02-26,98404467.43963255
2019-03-03,97128116.9785558
2019-03-28,93443376.10384569
2019-04-12,97185919.4353801
2019-04-22,99149137.45839813
2019-04-27,97406526.47967936
2019-05-27,87913702.95908374
2019-06-06,79898673.82126534
2019-06-11,55829871.62702478
2019-06-26,75714580.90905732
2019-07-01,68282421.35529537
2019-07-11,79864497.12515467
2019-07-16,74427721.32601392
2019-07-21,80474349.76619785
2019-07-31,75918207.6882774
2019-08-05,76960821.42700778
2019-08-10,75077163.25449044
2019-08-15,75128408.35270181
2019-08-20,73952616.81295606
2019-08-25,70225756.54584904
2019-08-30,69988627.06608929
2019-09-09,66783307.50696637
2019-09-19,65170592.048061475
2019-09-24,61748211.97206659
2019-09-29,61635341.959547676
2019-10-04,61212209.077407405
2019-10-09,58587587.338476196
2019-10-24,57267517.48220903
2020-02-16,107347732.2889606
2020-05-01,105751163.39382578
2020-07-05,70929012.24981487
2020-07-10,84657726.23873168
2020-07-15,83164729.48507632
2020-07-20,88476116.72405055
2020-07-25,90578122.48399468
2020-07-30,89345858.12953356
2020-08-09,86464253.03417344
2020-08-14,86017135.31004891
2020-08-19,85741406.94487877
2020-08-24,83297139.88798444
2020-08-29,81488004.62657315
2020-09-03,77233125.32565336
2020-09-08,76232888.71454532
2020-09-28,71213656.49154365
2020-10-03,71564639.23415524
2020-10-08,69811430.36429872
2020-10-13,68826015.41947974
2020-10-18,66718783.87598368
2020-11-02,64952257.41685299
