date,value
2018-01-04,39984589.45550497
2018-01-10,44306133.4289529
2018-01-10,51301853.72270085
2018-01-16,43323066.495041996
2018-01-22,41985220.93948528
2018-01-22,46925823.97991827
2018-01-28,41586828.692510635
2018-02-03,47283847.39971598
2018-02-09,39691947.656066924
2018-02-15,38491728.52422081
2018-02-21,38174097.08949577
2018-02-27,41342521.53068228
2018-03-05,68983225.93927377
2018-03-11,95180053.08731583
2018-03-17,95543949.76832928
2018-03-23,102328568.19326016
2018-03-23,93278514.5422714
2018-03-29,100680683.87836374
2018-04-04,103571744.04607031
2018-04-10,99504888.88557015
2018-04-16,102295918.1816746
2018-04-16,103705070.94976458
2018-04-22,103899695.85251506
2018-04-28,102768580.72675438
2018-04-28,97367962.21210456
2018-05-04,103429735.01776817
2018-05-10,94055023.3912804
2018-05-16,97663746.86240458
2018-05-22,100557276.884873
2018-05-28,101085886.48297666
2018-06-03,88229010.93948579
2018-06-03,97008265.608644
2018-06-09,101463388.94841297
2018-06-15,100462048.58902371
2018-06-15,99576088.25081357
2018-06-21,100559441.5009914
2018-06-27,99224565.69082782
2018-07-03,100234916.33977191
2018-07-09,96755877.25661734
2018-07-15,84776550.41142723
2018-07-21,96584886.63651937
2018-07-27,96687469.35529019
2018-08-02,89077153.73155972
2018-08-08,83523412.42270875
2018-08-14,93610446.52586037
2018-08-20,86097437.99786155
2018-08-26,88646520.38629007
2018-09-01,73453048.46059658
2018-09-07,86122151.35725014
2018-09-13,84608573.27112392
2018-09-19,84434563.58343725
2018-09-25,84735570.51400217
2018-10-01,83737635.32453507
2018-10-07,80504579.16815099
2018-10-13,78899446.2747474
2018-10-19,83753964.29173945
2018-10-25,81059430.37256797
2018-10-31,83649884.64312854
2018-11-06,83233981.87462795
2018-11-12,82912318.85454695
2018-11-18,86019194.05275658
2018-11-24,87213858.23758934
2018-11-30,91083027.89668113
2018-12-06,86468377.3954083
2018-12-12,89154197.40447676
2018-12-18,84854429.74152015
2018-12-24,88218633.20217636
2018-12-30,72525384.45413922
2019-01-05,85620094.31977831
2019-01-11,82849254.70032874
2019-01-17,84152298.83982658
2019-01-17,81818014.68279171
