date,value
2018-02-06,382700
2018-02-11,387000
2018-02-13,396600
2018-02-16,383200
2018-02-21,377200
2018-02-26,370600
2018-03-20,593900
2018-03-28,588500
2018-04-14,603600
2018-04-17,601800
2018-04-19,608900
2018-04-27,609800
2018-05-14,623400
2018-05-22,430400
2018-06-01,311700
2018-06-16,109200
2018-06-21,72000
2018-06-26,83700
2018-07-01,111200
2018-07-03,604300
2018-07-06,213800
2018-07-08,604500
2018-07-11,491700
2018-07-16,498800
2018-07-18,589500
2018-07-21,380900
2018-07-23,591900
2018-07-26,478300
2018-07-28,577800
2018-07-31,570500
2018-08-02,549800
2018-08-05,539000
2018-08-07,558800
2018-08-10,541200
2018-08-15,550000
2018-08-17,554700
2018-08-22,547000
2018-08-25,533500
2018-08-27,496300
2018-09-04,498100
2018-09-21,487600
2018-09-24,459600
2018-09-29,457000
2018-10-24,423500
2019-02-06,527100
2019-02-08,532500
2019-02-26,517500
2019-02-28,516900
2019-03-03,519200
2019-03-10,525000
2019-03-13,527400
2019-03-15,518600
2019-04-04,518100
2019-04-12,522600
2019-04-14,519700
2019-04-27,515100
2019-04-29,517800
2019-05-12,445500
2019-05-14,509100
2019-05-19,507000
2019-05-22,35500
2019-05-27,462300
2019-05-29,481400
2019-06-01,464100
2019-06-06,163300
2019-06-08,481800
2019-06-11,18000
2019-06-16,138800
2019-06-18,473600
2019-06-21,20400
2019-06-23,466300
2019-06-28,462100
2019-07-11,396100
2019-07-13,432400
2019-07-16,134000
2019-07-18,437700
2019-07-21,53400
2019-07-23,435300
2019-08-02,430700
2019-08-05,367200
2019-08-07,409600
2019-08-10,363300
2019-08-15,354600
2019-08-17,401600
2019-08-20,380600
2019-08-27,392100
2019-08-30,357400
2019-09-01,379000
2019-09-04,329900
2019-09-11,371100
2019-09-16,370600
2019-09-19,346300
2019-09-24,335100
2019-09-26,346000
2019-09-29,336200
2019-10-01,346300
2019-10-04,340500
2019-10-06,346100
2019-10-09,315000
2019-10-16,334200
2019-10-24,310300
2019-10-26,310600
2019-10-29,292900
2019-11-08,297900
2020-02-11,327600
2020-02-16,323700
2020-03-04,315900
2020-03-07,302800
2020-03-09,310700
2020-05-01,376000
2020-05-03,405500
2020-05-18,410100
2020-05-21,98700
2020-05-26,403100
2020-05-28,422200
2020-06-07,414500
2020-06-15,19100
2020-06-17,427600
2020-06-20,14500
2020-06-22,420800
2020-06-30,92200
2020-07-02,419500
2020-07-05,343700
2020-07-07,411100
2020-07-10,38200
2020-07-17,396500
2020-07-20,363300
2020-07-25,240000
2020-07-27,391300
2020-07-30,342800
2020-08-01,382700
2020-08-04,310100
2020-08-06,385800
2020-08-09,342100
2020-08-14,325300
2020-08-16,355900
2020-08-19,329200
2020-08-21,360400
2020-08-24,315100
2020-08-29,319400
2020-09-10,322000
2020-09-23,280400
2020-09-25,312200
2020-09-28,280500
2020-10-03,286000
2020-10-08,274600
2020-10-13,281400
2020-10-28,267200
2020-11-02,269100
