date,value
2018-01-03,344600
2018-01-04,368600
2018-01-05,368600
2018-01-09,353200
2018-01-10,369600
2018-01-11,365300
2018-01-15,384500
2018-01-16,375500
2018-01-17,375500
2018-01-21,369400
2018-01-22,377800
2018-01-23,370500
2018-01-27,376300
2018-01-28,366000
2018-01-29,366000
2018-02-02,362500
2018-02-03,372100
2018-02-04,358500
2018-02-08,355400
2018-02-09,348800
2018-02-10,348800
2018-02-14,343100
2018-02-15,352900
2018-02-16,348800
2018-02-20,353600
2018-02-21,346900
2018-02-22,346900
2018-02-26,341600
2018-02-27,359600
2018-02-28,348700
2018-03-04,389700
2018-03-05,385700
2018-03-06,385700
2018-03-10,477700
2018-03-11,513100
2018-03-12,510800
2018-03-16,551000
2018-03-17,540600
2018-03-18,540600
2018-03-22,548100
2018-03-23,561300
2018-03-24,547100
2018-03-28,550900
2018-03-29,546100
2018-03-30,546100
2018-04-03,546900
2018-04-04,560100
2018-04-05,552000
2018-04-09,563300
2018-04-10,551500
2018-04-11,551500
2018-04-15,554100
2018-04-16,563200
2018-04-17,558000
2018-04-21,568600
2018-04-22,557500
2018-04-23,557500
2018-04-27,555200
2018-04-28,574300
2018-04-29,562900
2018-05-03,581100
2018-05-04,574200
2018-05-05,574200
2018-05-09,574100
2018-05-10,580900
2018-05-11,574100
2018-05-15,578300
2018-05-16,559900
2018-05-17,559900
2018-05-21,548400
2018-05-22,568700
2018-05-23,568700
2018-05-27,568700
2018-05-28,580900
2018-05-29,580900
2018-06-02,566300
2018-06-03,571600
2018-06-04,565800
2018-06-08,571700
2018-06-09,566200
2018-06-10,566200
2018-06-14,563300
2018-06-15,573900
2018-06-16,562500
2018-06-20,562200
2018-06-21,387700
2018-06-22,387700
2018-06-26,554600
2018-06-27,554500
2018-06-28,554500
2018-07-02,554600
2018-07-03,548500
2018-07-04,548500
2018-07-08,538100
2018-07-09,546500
2018-07-10,527500
2018-07-14,526600
2018-07-15,516400
2018-07-16,516400
2018-07-20,520800
2018-07-21,529900
2018-07-22,523100
2018-07-26,529600
2018-07-27,522700
2018-07-28,522700
2018-08-01,513200
2018-08-02,517000
2018-08-03,497600
2018-08-07,490100
2018-08-08,454600
2018-08-09,454600
2018-08-13,474900
2018-08-14,491300
2018-08-15,482200
2018-08-19,496300
2018-08-20,479600
2018-08-21,479600
2018-08-25,456200
2018-08-26,473100
2018-08-27,460800
2018-08-31,471700
2018-09-01,452200
2018-09-02,452200
2018-09-06,423300
2018-09-07,454400
2018-09-08,444600
2018-09-12,456700
2018-09-13,451000
2018-09-14,451000
2018-09-18,443100
2018-09-19,444600
2018-09-20,435200
2018-09-24,427900
2018-09-25,396300
2018-09-26,396300
2018-09-30,392400
2018-10-01,423800
2018-10-02,411500
2018-10-06,424000
2018-10-07,418700
2018-10-08,418700
2018-10-12,408100
2018-10-13,414500
2018-10-14,401100
2018-10-18,406800
2018-10-19,400200
2018-10-20,400200
2018-10-24,413400
2018-10-25,419700
2018-10-26,408900
2018-10-30,421100
2018-10-31,413800
2018-11-01,413800
2018-11-05,434300
2018-11-06,438500
2018-11-07,429000
2018-11-11,430200
2018-11-12,423000
2018-11-13,423000
2018-11-17,417100
2018-11-18,433800
2018-11-19,424500
2018-11-23,444000
2018-11-24,439500
2018-11-25,439500
2018-11-29,454500
2018-11-30,477400
2018-12-01,468100
2018-12-05,483400
2018-12-06,474100
2018-12-07,474100
2018-12-11,463400
2018-12-12,482900
2018-12-13,472800
2018-12-17,484800
2018-12-18,474100
2018-12-19,474100
2018-12-23,464000
2018-12-24,471800
2018-12-25,466900
2018-12-29,478900
2018-12-30,468200
2019-01-04,458300
2019-01-05,492900
2019-01-06,468900
2019-01-10,477900
2019-01-11,476800
2019-01-12,476800
2019-01-16,479600
2019-01-17,478600
2019-01-18,478600
2019-01-22,488100
2019-01-23,487900
2019-01-24,487900
2019-01-28,494900
2019-01-29,491300
2019-01-30,491300
2019-02-03,496400
2019-02-04,499400
2019-02-05,499400
2019-02-09,507500
2019-02-10,507200
2019-02-11,507200
2019-02-15,506100
2019-02-16,501400
2019-02-17,501400
2019-02-21,496800
2019-02-22,490900
2019-02-23,490900
2019-02-27,493400
2019-02-28,492500
2019-03-01,492500
2019-03-05,494800
2019-03-06,495200
2019-03-07,495200
2019-03-11,496900
2019-03-12,489400
2019-03-13,489400
2019-03-17,482900
2019-03-18,478800
2019-03-19,478800
2019-03-23,473000
2019-03-24,474600
2019-03-25,474600
2019-03-29,476100
2019-03-30,471900
2019-03-31,471900
2019-04-04,479700
2019-04-05,486100
2019-04-06,486100
2019-04-10,494300
2019-04-11,495700
2019-04-12,495700
2019-04-16,491200
2019-04-17,483700
2019-04-22,471100
2019-04-23,474300
2019-04-24,474300
2019-04-28,481400
2019-04-29,469300
2019-04-30,469300
2019-05-04,464400
2019-05-05,467300
2019-05-06,467300
2019-05-10,472000
2019-05-11,467400
2019-05-12,467400
2019-05-16,463000
2019-05-17,462300
2019-05-18,462300
2019-05-22,457700
2019-05-23,444100
2019-05-24,444100
2019-05-28,433400
2019-05-29,429600
2019-05-30,429600
2019-06-03,435300
2019-06-04,433400
2019-06-05,433400
2019-06-09,435100
2019-06-10,432600
2019-06-11,432600
2019-06-15,431700
2019-06-16,422000
2019-06-17,422000
2019-06-21,399300
2019-06-22,419600
2019-06-23,382200
2019-06-27,404700
2019-06-28,398500
2019-07-03,402200
2019-07-04,400000
2019-07-05,400000
2019-07-09,397100
2019-07-10,392000
2019-07-11,392000
2019-07-15,384600
2019-07-16,379400
2019-07-17,379400
2019-07-21,372600
2019-07-22,364700
2019-07-23,364700
2019-07-27,364300
2019-07-28,365700
2019-07-29,365700
2019-08-02,365000
2019-08-03,358000
2019-08-04,358000
