date,value
2018-01-27,4240500
2018-02-01,4214400
2018-02-11,4410500
2018-02-13,4284200
2018-02-16,4290600
2018-02-18,4293000
2018-02-21,4218000
2018-02-26,4218100
2018-03-28,5602200
2018-04-02,5602400
2018-04-04,5610700
2018-04-07,5604500
2018-04-17,5938100
2018-04-19,5927900
2018-04-22,5929700
2018-04-24,5951800
2018-04-27,5891600
2018-04-29,5876900
2018-05-02,5854100
2018-05-04,5893400
2018-05-07,5916800
2018-05-14,6019000
2018-05-19,6044400
2018-05-22,6016100
2018-06-03,6099200
2018-06-06,6099200
2018-06-08,6099200
2018-06-11,6099200
2018-06-13,6126900
2018-06-16,6085400
2018-06-23,6169400
2018-06-26,5665800
2018-06-28,5646600
2018-07-01,5647500
2018-07-03,6082300
2018-07-06,5388500
2018-07-08,6062500
2018-07-11,6065200
2018-07-13,6042000
2018-07-16,5957100
2018-07-18,6025600
2018-07-21,5968400
2018-07-23,6019400
2018-07-26,5940700
2018-07-28,5987300
2018-07-31,5950300
2018-08-02,5967900
2018-08-05,5918300
2018-08-07,5918500
2018-08-10,5882200
2018-08-12,5834000
2018-08-15,5838000
2018-08-17,5872400
2018-08-22,5894600
2018-08-25,5911400
2018-08-27,5896900
2018-08-30,5887100
2018-09-01,5901000
2018-09-04,5826500
2018-09-06,5811400
2018-09-09,5811400
2018-09-11,5736100
2018-09-16,5761300
2018-09-21,5740000
2018-09-24,5688900
2018-09-26,5700600
2018-09-29,5716100
2018-10-01,5685200
2018-10-06,5664200
2018-10-09,5591800
2018-10-24,5502100
2018-10-29,5643600
2018-11-03,5568300
2018-11-05,5581200
2019-01-27,5662500
2019-01-29,5603800
2019-02-03,5714200
2019-02-06,5771800
2019-02-08,5799900
2019-02-11,5805500
2019-02-13,5772800
2019-02-16,5735300
2019-02-21,5659500
2019-02-26,5658500
2019-02-28,5756000
2019-03-03,5797800
2019-03-10,5819000
2019-03-13,5817100
2019-03-15,5878200
2019-03-18,5880400
2019-03-20,5874600
2019-03-23,5827500
2019-03-25,5889700
2019-03-28,5836300
2019-03-30,5803800
2019-04-02,5814200
2019-04-04,5898400
2019-04-12,5973400
2019-04-14,5912600
2019-04-19,5960700
2019-04-22,5885800
2019-04-27,6007800
2019-04-29,5932000
2019-05-02,5932000
2019-05-07,5881800
2019-05-09,5986300
2019-05-14,5899500
2019-05-19,5938400
2019-05-22,5958100
2019-05-24,5981900
2019-05-27,5450100
2019-05-29,5913200
2019-06-01,5338100
2019-06-06,4752200
2019-06-08,5832000
2019-06-11,3388200
2019-06-16,3809300
2019-06-18,5863100
2019-06-23,5837200
2019-06-26,1265900
2019-06-28,5806200
2019-07-01,1739700
2019-07-03,5764900
2019-07-06,3512700
2019-07-08,5782700
2019-07-11,4898800
2019-07-13,5733000
2019-07-16,4882900
2019-07-18,5677300
2019-07-21,5149900
2019-07-23,5654300
2019-07-26,5676400
2019-07-28,5678600
2019-07-31,5620200
2019-08-02,5669700
2019-08-05,5614900
2019-08-07,5616400
2019-08-10,5545800
2019-08-12,5605200
2019-08-15,5513400
2019-08-17,5554300
2019-08-20,5515700
2019-08-22,5530700
2019-08-25,5496700
2019-08-27,5515500
2019-08-30,5462500
2019-09-01,5468800
2019-09-04,5476000
2019-09-06,5460800
2019-09-09,5394800
2019-09-11,5375400
2019-09-14,5313800
2019-09-16,5319100
2019-09-19,5281600
2019-09-24,5232100
2019-09-26,5192900
2019-09-29,5163600
2019-10-01,5156700
2019-10-04,5124100
2019-10-06,5146200
2019-10-09,5135600
2019-10-16,5126900
2019-10-21,5123600
2019-10-24,5093500
2019-10-26,5077700
2019-10-29,5036700
2019-11-03,5049400
2019-11-05,5028100
2020-01-29,5123200
2020-02-01,5123200
2020-02-03,5146100
2020-02-06,5150100
2020-02-11,5211100
2020-02-16,5152700
2020-02-21,5118800
2020-02-23,5163500
2020-02-26,5092700
2020-02-28,5128400
2020-03-04,5145200
2020-03-07,5111200
2020-03-09,5196200
2020-03-12,5196200
2020-03-14,5233500
2020-03-22,5253800
2020-05-01,5234700
2020-05-03,5398600
2020-05-06,5291800
2020-05-08,5324500
2020-05-11,5324500
2020-05-13,5327600
2020-05-16,5347700
2020-05-18,5327000
2020-05-28,5260000
2020-06-05,5240100
2020-06-07,5240100
2020-06-15,997400
2020-06-17,4946200
2020-06-20,655400
2020-06-22,5053900
2020-06-25,5055400
2020-06-27,4981200
2020-06-30,4986400
2020-07-02,4949900
2020-07-05,1009800
2020-07-07,4917000
2020-07-10,1738600
2020-07-12,4883000
2020-07-15,1733100
2020-07-17,4806000
2020-07-20,2221000
2020-07-22,4748500
2020-07-25,4752000
2020-07-27,4761700
2020-07-30,4716100
2020-08-01,4710900
2020-08-04,4647600
2020-08-06,4597200
2020-08-09,4500900
2020-08-11,4588900
2020-08-14,4477900
2020-08-16,4462000
2020-08-19,4396500
2020-08-21,4391300
2020-08-24,4345400
2020-08-26,4338900
2020-08-29,4271900
2020-08-31,4270000
2020-09-03,4199600
2020-09-05,4217100
2020-09-08,4161100
2020-09-10,4185600
2020-09-13,4193600
2020-09-15,4237000
2020-09-18,4156700
2020-09-20,4180100
2020-09-23,4145500
2020-09-25,4157400
2020-09-28,4080200
2020-10-03,4066600
2020-10-08,3995400
2020-10-10,4085800
2020-10-13,4023800
2020-10-15,4001100
2020-10-18,4016300
2020-10-23,3979600
2020-10-25,4018100
2020-10-28,3960800
2020-11-02,3980600
2020-11-07,3981000
2020-11-12,3961700
2020-11-17,3940700
2020-11-19,4011300
2020-11-22,3935600
2020-11-24,3960500
2020-12-02,3930600
