date,value
2018-01-02,6794700
2018-01-17,7369800
2018-01-22,7328800
2018-01-27,7326900
2018-02-11,7297900
2018-02-21,7294100
2018-03-28,17814900
2018-04-02,17905100
2018-04-17,17855300
2018-04-27,17480600
2018-06-16,17011600
2018-06-21,16621200
2018-07-06,15814600
2018-07-11,15511700
2018-07-16,15542200
2018-07-21,15261900
2018-07-26,15069600
2018-07-31,14999800
2018-08-05,14697500
2018-08-10,14515600
2018-08-15,14401800
2018-08-25,13933500
2018-08-30,13779100
2018-09-24,13119300
2018-09-29,13033100
2018-10-24,13082000
2018-10-29,13213500
2018-11-28,14569300
2018-12-08,14252300
2018-12-28,14162900
2019-01-02,14243900
2019-01-07,14317800
2019-01-12,14132800
2019-02-06,14303200
2019-02-26,14037000
2019-03-03,13981000
2019-03-13,14159300
2019-03-18,13956000
2019-03-28,13787300
2019-04-22,13875100
2019-04-27,13878800
2019-05-07,13716800
2019-05-12,12055800
2019-05-22,13070400
2019-05-27,12740200
2019-06-01,11949000
2019-06-06,12248600
2019-06-11,11696100
2019-06-21,11232100
2019-06-26,11138000
2019-07-01,10965500
2019-07-11,10532100
2019-07-16,10375600
2019-07-21,10142900
2019-07-31,9581000
2019-08-05,9425700
2019-08-10,9036400
2019-08-15,8919100
2019-08-20,8681900
2019-08-25,8334200
2019-08-30,8014000
2019-09-09,8051600
2019-09-19,8050100
2019-09-24,7774300
2019-09-29,7747200
2019-10-04,7714300
2019-10-09,7496300
2019-12-08,6806800
2019-12-28,8588100
2020-01-07,8591200
2020-01-12,8567500
2020-02-16,9303900
2020-05-01,9575400
2020-05-21,9819200
2020-06-15,9452600
2020-06-20,9953400
2020-06-25,9973200
2020-06-30,9610900
2020-07-05,9741000
2020-07-10,9609000
2020-07-15,7998900
2020-07-20,9198700
2020-07-30,8779800
2020-08-04,8611500
2020-08-09,8511300
2020-08-14,8365000
2020-08-19,8240900
2020-08-24,8141900
2020-08-29,7951900
2020-09-03,7715400
2020-09-08,7692500
2020-09-28,7186000
2020-10-08,7097300
2020-10-13,7016500
2020-10-18,6948200
2020-11-17,7052600
2020-11-22,6978100
2020-12-02,7033400
2020-12-22,7196000
2020-12-27,7180400
