date,value
2018-01-03,6795400
2018-01-04,7105600
2018-01-09,7411600
2018-01-10,8189200
2018-01-15,7485800
2018-01-16,7448400
2018-01-21,7134200
2018-01-22,7760100
2018-01-27,7421200
2018-01-28,7443100
2018-02-02,7145000
2018-02-03,7961400
2018-02-08,7163600
2018-02-09,7964200
2018-02-14,7071800
2018-02-15,7754200
2018-02-20,7023900
2018-02-21,7429800
2018-02-26,6977500
2018-02-27,7598700
2018-03-04,10757100
2018-03-05,11593600
2018-03-10,12520000
2018-03-11,14969100
2018-03-16,14951000
2018-03-17,15422400
2018-03-22,15685300
2018-03-23,16586400
2018-03-28,16090900
2018-03-29,16721100
2018-04-03,15754400
2018-04-04,16624800
2018-04-09,15507000
2018-04-10,16167800
2018-04-15,16352100
2018-04-16,16812400
2018-04-21,16167000
2018-04-22,16629300
2018-04-27,16182800
2018-04-28,16732600
2018-05-03,16210300
2018-05-04,16822300
2018-05-09,16328000
2018-05-10,16787700
2018-05-15,16434100
2018-05-16,16713600
2018-05-21,16183400
2018-05-22,16806300
2018-05-27,16244400
2018-05-28,16536500
2018-06-02,15802400
2018-06-03,16246900
2018-06-08,15921200
2018-06-09,16404500
2018-06-14,15620500
2018-06-15,16231800
2018-06-20,15500300
2018-06-21,15784100
2018-06-26,12719800
2018-06-27,15522100
2018-07-02,14538000
2018-07-03,15192300
2018-07-08,14055300
2018-07-09,14593300
2018-07-14,13657700
2018-07-15,14533500
2018-07-20,12527000
2018-07-21,14604500
2018-07-26,13806400
2018-07-27,14137200
2018-08-01,13157200
2018-08-02,14604100
2018-08-07,13461900
2018-08-08,13518700
2018-08-13,12178400
2018-08-14,13830400
2018-08-19,12620800
2018-08-20,14024900
2018-08-25,12735700
2018-08-26,13552000
2018-08-31,12392700
2018-09-01,13383800
2018-09-06,11901000
2018-09-07,13027900
2018-09-12,10525800
2018-09-13,12735300
2018-09-18,12305500
2018-09-19,12810400
2018-09-24,12358500
2018-09-25,13008900
2018-09-30,8710900
2018-10-01,12860700
2018-10-06,12376200
2018-10-07,12636100
2018-10-12,12084100
2018-10-13,12954300
2018-10-18,12549500
2018-10-19,12827500
2018-10-24,12771500
2018-10-25,13023800
2018-10-30,13358100
2018-10-31,13419300
2018-11-05,13275600
2018-11-06,13544500
2018-11-11,13200500
2018-11-12,13581700
2018-11-17,13188400
2018-11-18,13891000
2018-11-23,13855700
2018-11-24,14213200
2018-11-29,13801700
2018-11-30,14327100
2018-12-05,13597700
2018-12-06,13680600
2018-12-11,13432900
2018-12-12,13799700
2018-12-17,13619700
2018-12-18,13888400
2018-12-23,13620900
2018-12-24,13987200
2018-12-29,13203900
2018-12-30,13884600
2019-01-04,13246900
2019-01-05,14076900
2019-01-10,13373200
2019-01-11,13926700
2019-01-16,13512400
2019-01-17,13981800
2019-01-22,13733900
2019-01-23,13947400
2019-01-28,13446100
2019-01-29,13829300
2019-02-03,13730100
2019-02-04,14005700
2019-02-09,13475500
2019-02-10,14048000
2019-02-15,13548700
2019-02-16,13949000
2019-02-21,13120700
2019-02-22,13903200
2019-02-27,13324900
2019-02-28,13713600
2019-03-05,13267600
2019-03-06,13781900
2019-03-11,13356200
2019-03-12,13665900
2019-03-17,13008600
2019-03-18,13523500
2019-03-23,8010100
2019-03-24,13609500
2019-03-29,11924600
2019-03-30,13432400
2019-04-04,12383600
2019-04-05,13520000
2019-04-10,12869200
2019-04-11,13598200
2019-04-16,12899000
2019-04-17,13206200
2019-04-22,12296100
2019-04-23,13418200
2019-04-28,12792000
2019-04-29,13506400
2019-05-04,11703500
2019-05-05,13339900
2019-05-10,12785600
2019-05-11,13103800
2019-05-16,12091200
2019-05-17,13032200
2019-05-22,10652600
2019-05-23,12761300
2019-05-28,10668400
2019-05-29,12767600
2019-06-03,11509200
2019-06-04,12537000
2019-06-09,10702600
2019-06-10,12388500
2019-06-15,11434200
2019-06-16,8779200
2019-06-21,10011500
2019-06-22,11602800
2019-06-27,10895000
2019-06-28,11262400
2019-07-03,9380600
2019-07-04,11074300
2019-07-09,9930700
2019-07-10,10937800
2019-07-15,9642600
2019-07-16,2130300
2019-07-21,9580800
2019-07-22,10452900
2019-07-27,8795700
2019-07-28,9785600
2019-08-02,8358400
2019-08-03,9109500
2019-08-08,7953500
2019-08-09,9613500
2019-08-14,7760800
2019-08-15,8875900
2019-08-20,8116300
2019-08-21,9377700
2019-08-26,3263400
2019-08-27,8571200
2019-09-01,7186400
2019-09-02,9008300
2019-09-07,8143600
2019-09-08,8696800
2019-09-13,8091000
2019-09-14,9124100
2019-09-19,7771300
2019-09-20,8174400
2019-09-25,7620600
2019-09-26,7945200
2019-10-01,6147600
2019-10-02,8756300
2019-10-07,6989900
2019-10-08,8248600
2019-10-13,7604300
2019-10-14,8637000
2019-10-19,8588800
2019-10-20,8490800
2019-10-25,8388400
2019-10-26,8455000
2019-10-31,7999100
2019-11-01,8822600
2019-11-06,8321700
2019-11-07,8312700
2019-11-12,7995500
2019-11-13,9484300
2019-11-18,7722600
2019-11-19,8736800
2019-11-24,7429800
2019-11-25,7788500
2019-11-30,7624200
2019-12-01,8911200
2019-12-06,8167400
2019-12-07,8257100
2019-12-12,8711000
2019-12-13,8851500
2019-12-18,7726700
2019-12-19,8613900
2019-12-24,8842600
2019-12-25,8648700
2019-12-30,9092500
2020-01-05,9329400
2020-01-06,9610800
2020-01-11,9053700
2020-01-12,9592900
2020-01-17,8475600
2020-01-18,9141300
2020-01-23,8763700
2020-01-24,9400300
2020-01-29,9233000
2020-01-30,9749000
2020-02-04,9181000
2020-02-05,9791000
2020-02-10,9259400
2020-02-11,9770200
