date,value
2018-01-02,43470656.83123902
2018-01-17,48656115.05310311
2018-01-22,48281075.65538193
2018-01-27,48263715.424466334
2018-02-11,47998959.86893242
2018-02-21,47964297.888893954
2018-03-28,165507163.72472087
2018-04-02,166670604.863609
2018-04-17,166027980.35057503
2018-04-27,161215127.04536363
2018-06-16,155247127.81829607
2018-06-21,150327573.28465325
2018-07-06,140305098.84070176
2018-07-11,136591669.42940474
2018-07-16,136964326.54387042
2018-07-21,133550245.83572185
2018-07-26,131221982.65823337
2018-07-31,130379715.01703717
2018-08-05,126749450.40555428
2018-08-10,124578894.58870156
2018-08-15,123226289.69381668
2018-08-25,117703855.18308453
2018-08-30,115898664.7918421
2018-09-24,108273203.37555498
2018-09-29,107287732.16612823
2018-10-24,107846467.02789278
2018-10-29,109353002.47163098
2018-11-28,125218591.03157131
2018-12-08,121455641.43040544
2018-12-28,120400230.1505416
2019-01-02,121356365.92610912
2019-01-07,122230530.15217985
2019-01-12,120045463.71543239
2019-02-06,122057687.80433357
2019-02-26,118918287.42744833
2019-03-03,118260771.43333368
2019-03-13,120357784.23705806
2019-03-18,117967566.18096744
2019-03-28,115994340.36088209
2019-04-22,117020147.82560064
2019-04-27,117063431.91358273
2019-05-07,115172483.99167113
2019-05-12,96293600.56886183
2019-05-22,107713851.35676925
2019-05-27,103958072.97890718
2019-06-01,95112448.56570058
2019-06-06,98436123.98770146
2019-06-11,92331812.5583332
2019-06-21,87290618.24077298
2019-06-26,86277943.41396888
2019-07-01,84430149.0666215
2019-07-11,79837366.53623438
2019-07-16,78196660.35644153
2019-07-21,75774776.26510037
2019-07-31,70015525.87752046
2019-08-05,68446371.38688514
2019-08-10,64556941.74275646
2019-08-15,63397550.65400152
2019-08-20,61071106.26704854
2019-08-25,57705228.33803752
2019-08-30,54653221.92710575
2019-09-09,55009203.590752974
2019-09-19,54994989.850114755
2019-09-24,52399099.26256101
2019-09-29,52145925.79883705
2019-10-04,51839027.98901738
2019-10-09,49818331.34366491
2019-12-08,43578065.783305556
2019-12-28,60157850.25274776
2020-01-07,60187971.07749305
2020-01-12,59957799.43599089
2020-02-16,67222675.43780637
2020-05-01,69958771.15142085
2020-05-21,72441458.61021934
2020-06-15,68717458.17088312
2020-06-20,73818310.02457713
2020-06-25,74022063.26482123
2020-06-30,70318772.75553223
2020-07-05,71642495.80435435
2020-07-10,70299492.00974283
2020-07-15,54510442.85268001
2020-07-20,66170731.39322328
2020-07-30,62028361.52198439
2020-08-04,60385317.81979654
2020-08-09,59412976.79020241
2020-08-14,58001228.40424821
2020-08-19,56811164.504647546
2020-08-24,55866754.41725036
2020-08-29,54066699.10069471
2020-09-03,51849280.839208454
2020-09-08,51635951.91911298
2020-09-28,46981191.23839294
2020-10-08,46178776.58210464
2020-10-13,45451197.5063197
2020-10-18,44838699.51280261
2020-11-17,45775868.38037076
2020-11-22,45106550.14467562
2020-12-02,45603109.96467859
2020-12-22,47071896.67704846
2020-12-27,46930417.52220487
