date,value
2018-01-22,15230500
2018-01-27,15111100
2018-02-11,15158800
2018-02-21,15088200
2018-03-28,21491200
2018-04-17,22296500
2018-06-21,16040800
2018-06-26,20562200
2018-07-06,21097100
2018-07-21,21587500
2018-07-26,21502000
2018-07-31,21405800
2018-08-05,21118600
2018-08-10,21040400
2018-08-25,20766500
2018-08-30,20643500
2018-09-24,19897300
2018-09-29,19752900
2018-10-29,19395600
2018-11-03,19314200
2019-02-06,20868400
2019-02-26,20838500
2019-03-03,20700300
2019-03-13,20894600
2019-04-27,20839900
2019-05-12,20767300
2019-05-22,19940700
2019-05-27,19698400
2019-06-01,19754600
2019-06-06,18052000
2019-06-11,19042300
2019-06-21,17240200
2019-07-11,18451500
2019-07-16,18454200
2019-07-21,17953700
2019-08-05,17679700
2019-08-10,17377700
2019-08-15,17259100
2019-08-20,17134000
2019-08-25,16772800
2019-08-30,16667600
2019-09-04,16236000
2019-09-19,16126900
2019-09-24,15888800
2019-09-29,15886600
2019-10-04,15847600
2019-10-09,15615600
2019-10-24,15438200
2020-01-27,16434300
2020-02-16,16259100
2020-03-07,16123200
2020-05-01,16330700
2020-05-06,16258700
2020-05-21,16452300
2020-05-26,16290700
2020-06-20,8801800
2020-06-30,12188300
2020-07-05,13813200
2020-07-10,14236000
2020-07-15,14265300
2020-07-20,14155100
2020-07-25,13952300
2020-07-30,13712700
2020-08-09,13499100
2020-08-14,13327600
2020-08-19,13119300
2020-08-24,12837300
2020-08-29,12691400
2020-09-03,12343900
2020-09-28,11670400
2020-10-03,11589900
2020-10-13,11375200
2020-11-02,11242300
2020-11-17,11241500
2020-11-22,11052000
