date,value
2018-01-03,14946700
2018-01-04,15219400
2018-01-05,15219400
2018-01-09,15080000
2018-01-10,15489800
2018-01-11,15409400
2018-01-15,15785100
2018-01-16,15572800
2018-01-17,15572800
2018-01-21,15396600
2018-01-22,15521200
2018-01-23,15371600
2018-01-27,15554800
2018-01-28,15359600
2018-01-29,15359600
2018-02-02,15371600
2018-02-03,15586800
2018-02-04,15337000
2018-02-08,15387600
2018-02-09,15203800
2018-02-10,15203800
2018-02-14,15117800
2018-02-15,15239600
2018-02-16,15120800
2018-02-20,15219000
2018-02-21,15090800
2018-02-22,15090800
2018-02-26,15065100
2018-02-27,15234000
2018-02-28,15138900
2018-03-04,15603800
2018-03-05,15546000
2018-03-06,15546000
2018-03-10,17477200
2018-03-11,18094400
2018-03-12,18033600
2018-03-16,18581400
2018-03-17,18449200
2018-03-18,18449200
2018-03-22,19319800
2018-03-23,20432400
2018-03-24,20185500
2018-03-28,20837600
2018-03-29,20722000
2018-03-30,20722000
2018-04-03,20941300
2018-04-04,21124200
2018-04-05,20984200
2018-04-09,21206100
2018-04-10,21080300
2018-04-11,21080300
2018-04-15,21336100
2018-04-16,21670600
2018-04-17,21531400
2018-04-21,21875700
2018-04-22,21683300
2018-04-23,21683300
2018-04-27,21729200
2018-04-28,21929500
2018-04-29,21732000
2018-05-03,22007200
2018-05-04,21820200
2018-05-05,21820200
2018-05-09,21830800
2018-05-10,21926000
2018-05-11,21793400
2018-05-15,21946800
2018-05-16,21688000
2018-05-17,21688000
2018-05-21,21573900
2018-05-22,21767300
2018-05-23,21767300
2018-05-27,21593600
2018-05-28,21733800
2018-05-29,21733800
2018-06-02,21494600
2018-06-03,21590700
2018-06-04,21373500
2018-06-08,21557200
2018-06-09,21365200
2018-06-10,21365200
2018-06-14,21282400
2018-06-15,21474100
2018-06-16,21261000
2018-06-20,21350300
2018-06-21,15761300
2018-06-22,15761300
2018-06-26,21330900
2018-06-27,21186800
2018-06-28,21186800
2018-07-02,21177500
2018-07-03,21016900
2018-07-04,21016900
2018-07-08,20868500
2018-07-09,21050000
2018-07-10,20830200
2018-07-14,20931800
2018-07-15,20693900
2018-07-16,20693900
2018-07-20,20656000
2018-07-21,20854400
2018-07-22,20711100
2018-07-26,20873200
2018-07-27,20685600
2018-07-28,20685600
2018-08-01,20565100
2018-08-02,20681100
2018-08-03,20320000
2018-08-07,20533300
2018-08-08,19880700
2018-08-09,19880700
2018-08-13,20215800
2018-08-14,20394900
2018-08-15,20129400
2018-08-19,20451400
2018-08-20,20076500
2018-08-21,20076500
2018-08-25,19888400
2018-08-26,20195300
2018-08-27,19832700
2018-08-31,20123000
2018-09-01,19720600
2018-09-02,19720600
2018-09-06,19637300
2018-09-07,19904600
2018-09-08,19601900
2018-09-12,19787800
2018-09-13,19577200
2018-09-14,19577200
2018-09-18,19497700
2018-09-19,19566400
2018-09-20,19347400
2018-09-24,19644400
2018-09-25,18620200
2018-09-26,18620200
2018-09-30,19387300
2018-10-01,19689600
2018-10-02,19378800
2018-10-06,19564500
2018-10-07,19359000
2018-10-08,19359000
2018-10-12,19242800
2018-10-13,19442900
2018-10-14,19148100
2018-10-18,19437500
2018-10-19,19267400
2018-10-20,19267400
2018-10-24,19509000
2018-10-25,19607100
2018-10-26,19441000
2018-10-30,19686600
2018-10-31,19512800
2018-11-01,19512800
2018-11-05,19828500
2018-11-06,19905900
2018-11-07,19716400
2018-11-11,19739100
2018-11-12,19596000
2018-11-13,19596000
2018-11-17,19505400
2018-11-18,19753100
2018-11-19,19546500
2018-11-23,19902700
2018-11-24,19804000
2018-11-25,19804000
2018-11-29,20130300
2018-11-30,20402200
2018-12-01,20269800
2018-12-05,20463800
2018-12-06,20317800
2018-12-07,20317800
2018-12-11,20237000
2018-12-12,20398200
2018-12-13,20278600
2018-12-17,20485400
2018-12-18,20310900
2018-12-19,20310900
2018-12-23,20305100
2018-12-24,20442800
2018-12-25,20312700
2018-12-29,20482900
2018-12-30,20258400
2019-01-04,20208800
2019-01-05,20606200
2019-01-06,20231600
2019-01-10,20391100
2019-01-11,20350400
2019-01-12,20350400
2019-01-16,20368000
2019-01-17,20370200
2019-01-18,20370200
2019-01-22,20536900
2019-01-23,20483800
2019-01-24,20483800
2019-01-28,20586100
2019-01-29,20496800
2019-01-30,20496800
2019-02-03,20568100
2019-02-04,20657300
2019-02-05,20657300
2019-02-09,20768700
2019-02-10,20733500
2019-02-11,20733500
2019-02-15,20789000
2019-02-16,20687800
2019-02-17,20687800
2019-02-21,20748900
2019-02-22,20619100
2019-02-23,20619100
2019-02-27,20648600
2019-02-28,20641000
2019-03-01,20641000
2019-03-05,20676400
2019-03-06,20646800
2019-03-07,20646800
2019-03-11,20603000
2019-03-12,20527900
2019-03-13,20527900
