date,value
2018-01-22,70956929.82077561
2018-01-24,71339262.97899981
2018-01-27,69532182.19086893
2018-02-01,69881969.01269701
2018-02-06,69832487.45079874
2018-02-11,70549834.42480135
2018-02-13,70563225.30024326
2018-02-16,68951539.45923892
2018-02-18,70009562.86959983
2018-02-21,68759810.73218411
2018-02-26,68993132.89313951
2018-03-28,142702533.07697874
2018-04-02,146044082.13012046
2018-04-04,146044082.13012046
2018-04-07,146044082.13012046
2018-04-17,154020369.1880119
2018-04-19,154020369.1880119
2018-04-22,154178064.15022373
2018-04-24,154178064.15022373
2018-04-27,154678940.63553995
2018-06-21,77779451.78885658
2018-06-23,77779451.78885658
2018-06-26,141617709.81855062
2018-06-28,141617709.81855062
2018-07-01,138922369.9047848
2018-07-03,137066162.09327042
2018-07-06,145500841.27922878
2018-07-08,142912015.78660432
2018-07-11,148791506.18617392
2018-07-13,150966277.04991037
2018-07-16,147375952.76872525
2018-07-18,148694384.68462133
2018-07-21,145328338.26415962
2018-07-23,147726378.84701192
2018-07-26,145260200.97099888
2018-07-28,146806381.29813924
2018-07-31,143132695.87474924
2018-08-02,146355175.74490994
2018-08-05,139685641.9373258
2018-08-07,142812767.29220033
2018-08-10,139116723.71621478
2018-08-12,140516673.30260706
2018-08-15,137591518.02602848
2018-08-17,138550364.89989716
2018-08-25,136395117.87894565
2018-08-27,132899451.55374697
2018-08-30,135826474.39614588
2018-09-01,135826474.39614588
2018-09-04,132883518.6040195
2018-09-06,131680795.34901987
2018-09-09,131680795.34901987
2018-09-24,121617642.78622228
2018-09-26,121617642.78622228
2018-09-29,124740037.89789787
2018-10-01,124740037.89789787
2018-10-06,119793572.986703
2018-10-09,120265902.76303945
2018-10-29,119206710.97809716
2018-11-03,115907288.08797556
2018-11-05,118231091.73971699
2018-11-10,114339420.19427937
2018-11-13,114418042.37885106
2019-02-06,134262708.79081494
2019-02-08,134256034.75084314
2019-02-11,134987193.83615676
2019-02-13,134987193.83615676
2019-02-16,134955070.58059007
2019-02-26,133897224.73583342
2019-02-28,133857239.57876714
2019-03-03,136568778.8647526
2019-03-10,132021962.20043907
2019-03-13,135368960.2631196
2019-03-15,134605985.89426547
2019-03-18,135192072.693298
2019-03-20,135192072.693298
2019-03-23,134913583.9036955
2019-03-28,134297416.56907666
2019-04-27,136673838.71287763
2019-04-29,136673838.71287763
2019-05-02,136673838.71287763
2019-05-07,134332128.9945064
2019-05-12,136366858.31944633
2019-05-14,136366858.31944633
2019-05-19,132910074.06998503
2019-05-22,133372579.21897121
2019-05-24,122168665.48431583
2019-05-27,129414104.48004076
2019-05-29,129414104.48004076
2019-06-01,123953673.84749755
2019-06-06,118173611.21940702
2019-06-08,127669259.97364123
2019-06-11,114138078.62751874
2019-06-16,116341878.39657907
2019-06-18,111497350.27758878
2019-06-21,90331398.77084212
2019-06-23,90331398.77084212
2019-06-26,112073983.0967779
2019-06-28,112073983.0967779
2019-07-01,108932943.51525296
2019-07-11,107101143.80820572
2019-07-13,106197187.90934823
2019-07-16,105847573.59503469
2019-07-18,106614907.43895519
2019-07-21,102986034.78604387
2019-07-23,105081934.87395754
2019-07-26,105081934.87395754
2019-07-28,98260454.5713876
2019-07-31,99947319.22523892
2019-08-05,96279212.9204153
2019-08-07,96279212.9204153
2019-08-10,94480134.7845413
2019-08-12,95526807.85873292
2019-08-15,92850736.47944662
2019-08-17,93274669.7100053
2019-08-20,90536979.57752888
2019-08-22,92034407.54510446
2019-08-25,88460874.18154843
2019-08-27,89930724.39723203
2019-08-30,86055249.2774987
2019-09-01,86767047.93306687
2019-09-04,83362460.10101587
2019-09-06,84822695.69719324
2019-09-09,81605643.4648376
2019-09-11,82173913.51078057
2019-09-14,80798105.07152995
2019-09-16,81411866.87070906
2019-09-19,80084579.4311844
2019-09-24,77948558.5783759
2019-09-26,78905356.83439858
2019-09-29,77103925.43989594
2019-10-01,77393636.34879461
2019-10-04,75986486.54772691
2019-10-06,77914319.22960679
2019-10-09,74945573.50107056
2019-10-16,73562739.27496468
2019-10-24,71839432.1329505
2019-10-26,71839432.1329505
2019-10-29,71866467.67797208
2019-11-03,71866467.67797208
2019-11-28,72799505.00414681
2020-01-27,81790365.30591768
2020-01-29,81790365.30591768
2020-02-01,81867827.04435311
2020-02-03,81867827.04435311
2020-02-06,81886423.51377855
2020-02-16,80141786.05231981
2020-02-21,80649397.0775681
2020-02-23,81041471.27061296
2020-02-26,81037360.6785889
2020-03-07,78612725.55305876
2020-03-09,78610702.38541926
2020-03-12,79276764.00175071
2020-03-14,79276764.00175071
2020-05-01,80724246.12288272
2020-05-03,80724246.12288272
2020-05-06,81555114.86936617
2020-05-08,81555114.86936617
2020-05-11,81538619.24723741
2020-05-13,80021268.21201968
2020-05-16,80125439.14415073
2020-05-21,82086991.00195293
2020-05-23,82028035.01056466
2020-05-26,82988528.93096933
2020-05-28,83276972.90018025
2020-06-05,80314555.75736158
2020-06-20,55541654.109752744
2020-06-30,69648993.47231711
2020-07-02,69648993.47231711
2020-07-05,60984063.2137438
2020-07-07,62953244.759875424
2020-07-10,57875882.50561048
2020-07-12,65789686.74850936
2020-07-15,62433218.91076576
2020-07-17,65586909.39241261
2020-07-20,61936882.75434288
2020-07-22,62260074.64416275
2020-07-25,59869223.7088897
2020-07-27,61111847.556408636
2020-07-30,58310915.365061216
2020-08-01,59330224.82595289
2020-08-04,57593972.96452143
2020-08-06,56430856.847403824
2020-08-09,55920028.099221736
2020-08-11,55261485.809166886
2020-08-14,54207376.26259185
2020-08-16,54693290.91389039
2020-08-19,52998702.68253105
2020-08-21,53309266.924295545
2020-08-24,51254694.554187566
2020-08-26,51633944.1966196
2020-08-29,49369030.126291856
2020-08-31,49728231.67258216
2020-09-03,47332312.46142743
2020-09-05,48055393.480184145
2020-09-08,48019339.63278261
2020-09-10,45179655.84898298
2020-09-13,45152326.44347787
2020-09-28,41039218.942652844
2020-10-03,40189239.66263119
2020-10-08,39973730.453125365
2020-10-10,39839164.14749052
2020-10-13,39138132.46721309
2020-10-15,38857417.86987799
2020-10-18,38146645.16545651
2020-10-23,38467293.36319463
2020-10-28,36639137.255567536
2020-11-02,37577812.23859742
2020-11-07,37577812.23859742
2020-11-12,37206770.83664797
2020-11-17,37200591.52833406
2020-11-19,37197845.339741014
2020-11-22,37382760.48446301
2020-11-24,37382760.48446301
2020-12-02,36946329.34912477
