date,value
2018-01-03,67175309.56249571
2018-01-04,69743086.08590853
2018-01-05,69743086.08590853
2018-01-09,68424244.8097059
2018-01-10,72338504.91368376
2018-01-11,71561658.07282455
2018-01-15,75229080.86407693
2018-01-16,73145032.57868199
2018-01-17,73145032.57868199
2018-01-21,71438381.86155331
2018-01-22,72643080.27932858
2018-01-23,71197925.52077399
2018-01-27,72969729.57908708
2018-01-28,71082655.64416675
2018-01-29,71082655.64416675
2018-02-02,71197925.52077399
2018-02-03,73281530.00922193
2018-02-04,70865826.72639257
2018-02-08,71351769.19820191
2018-02-09,69594848.78683595
2018-02-10,69594848.78683595
2018-02-14,68780575.85349953
2018-02-15,69935277.15347774
2018-02-16,68808897.16239923
2018-02-20,69739283.08849084
2018-02-21,68525955.84733295
2018-02-22,68525955.84733295
2018-02-26,68284049.7106677
2018-02-27,69881969.01269701
2018-02-28,68979897.20931943
2018-03-04,73447454.12218758
2018-03-05,72884105.19329987
2018-03-06,72884105.19329987
2018-03-10,92926838.2553036
2018-03-11,99864855.60657743
2018-03-12,99169902.06537578
2018-03-16,105522119.88213427
2018-03-17,103970441.32275948
2018-03-18,103970441.32275948
2018-03-22,114408213.0747675
2018-03-23,128501652.74701627
2018-03-24,125300912.00477387
2018-03-28,133845245.23798388
2018-03-29,132309266.68938203
2018-03-30,132309266.68938203
2018-04-03,135230924.08663225
2018-04-04,137692927.44679978
2018-04-05,135806332.3267058
2018-04-09,138802837.51755157
2018-04-10,137099894.0244668
2018-04-11,137099894.0244668
2018-04-15,140574079.9391625
2018-04-16,145185130.06495512
2018-04-17,143256905.9396966
2018-04-21,148050555.77315718
2018-04-22,145361717.67144516
2018-04-23,145361717.67144516
2018-04-27,146000863.07999
2018-04-28,148806992.36005813
2018-04-29,146039899.35179615
2018-05-03,149902991.89673552
2018-05-04,147272309.33926013
2018-05-05,147272309.33926013
2018-05-09,147420783.24725395
2018-05-10,148757721.06839892
2018-05-11,146897268.14090306
2018-05-15,149050657.4621871
2018-05-16,145427097.1802964
2018-05-17,145427097.1802964
2018-05-21,143844207.57977617
2018-05-22,146532498.90946612
2018-05-23,146532498.90946612
2018-05-27,144116861.37650114
2018-05-28,146064996.95261025
2018-05-29,146064996.95261025
2018-06-02,142749377.2307382
2018-06-03,144076707.73467243
2018-06-04,141085808.05296767
2018-06-08,143613284.12805086
2018-06-09,140972159.55967438
2018-06-10,140972159.55967438
2018-06-14,139841010.20305207
2018-06-15,142467055.2938558
2018-06-16,139549427.6466429
2018-06-20,140768259.00128692
2018-06-21,74993937.94359756
2018-06-22,74993937.94359756
2018-06-26,140503006.84610522
2018-06-27,138540867.89129207
2018-06-28,138540867.89129207
2018-07-02,138414725.35039255
2018-07-03,136245780.2784098
2018-07-04,136245780.2784098
2018-07-08,134257369.54508862
2018-07-09,136691352.7563768
2018-07-10,133746646.21154204
2018-07-14,135103673.83752957
2018-07-15,131937289.01462692
2018-07-16,131937289.01462692
2018-07-20,131436441.70662643
2018-07-21,134069231.40599775
2018-07-22,132164912.01296812
2018-07-26,134320112.62903193
2018-07-27,131827520.38783704
2018-07-28,131827520.38783704
2018-08-01,130239221.99664162
2018-08-02,131768027.06236444
2018-08-03,127039345.566963
2018-08-07,129821732.44146547
2018-08-08,121407224.09309418
2018-08-09,121407224.09309418
2018-08-13,125691461.50730132
2018-08-14,128012819.62979138
2018-08-15,124579477.24149232
2018-08-19,128749696.58792002
2018-08-20,123901170.44306178
2018-08-21,123901170.44306178
2018-08-25,121504804.47400151
2018-08-26,125427159.45999783
2018-08-27,120799846.41211268
2018-08-31,124497311.65037276
2018-09-01,119387511.36896673
2018-09-02,119387511.36896673
2018-09-06,118343595.50678307
2018-09-07,121710236.06304851
2018-09-08,117901400.44312687
2018-09-12,120233123.50091459
2018-09-13,117593371.07797502
2018-09-14,117593371.07797502
2018-09-18,116604774.12375998
2018-09-19,117458817.33078226
2018-09-20,114747576.85750777
2018-09-24,118432387.5910941
2018-09-25,105979789.85860986
2018-09-26,105979789.85860986
2018-09-30,115239099.36769761
2018-10-01,118998464.42779477
2018-10-02,115134297.82842329
2018-10-06,117435154.09246573
2018-10-07,114890363.4246457
2018-10-08,114890363.4246457
2018-10-12,113464189.618236
2018-10-13,115925843.09050351
2018-10-14,112308718.36507486
2018-10-18,115859052.28192611
2018-10-19,113765346.27202582
2018-10-20,113765346.27202582
2018-10-24,116745028.097269
2018-10-25,117966301.92147599
2018-10-26,115902340.34715055
2018-10-30,118960849.63257484
2018-10-31,116792212.77379113
2018-11-01,116792212.77379113
2018-11-05,120746775.94043963
2018-11-06,121726729.10594784
2018-11-07,119334763.2590883
2018-11-11,119619997.97317675
2018-11-12,117827784.63249493
2018-11-13,117827784.63249493
2018-11-17,116700335.93552285
2018-11-18,119796089.52506855
2018-11-19,117211098.57136431
2018-11-23,121686132.92895438
2018-11-24,120437438.94886528
2018-11-25,120437438.94886528
2018-11-29,124591034.02990022
2018-11-30,128107903.49218264
2018-12-01,126389051.34657483
2018-12-05,128911711.46002606
2018-12-06,127010810.39458545
2018-12-07,127010810.39458545
2018-12-11,125965091.6455652
2018-12-12,128055798.21626134
2018-12-13,126502922.1846233
2018-12-17,129194182.97742447
2018-12-18,126921335.25663856
2018-12-19,126921335.25663856
2018-12-23,126846149.53848258
2018-12-24,128637393.41749139
2018-12-25,126944673.44795583
2018-12-29,129161473.12524946
2018-12-30,126241615.83175373
2019-01-04,125601179.62420286
2019-01-05,130779836.29404438
2019-01-06,125895364.14471398
2019-01-10,127963338.39398542
2019-01-11,127433989.74319048
2019-01-12,127433989.74319048
2019-01-16,127662757.77680098
2019-01-17,127691368.72609061
2019-01-18,127691368.72609061
2019-01-22,129868960.55606584
2019-01-23,129173248.17776076
2019-01-24,129173248.17776076
2019-01-28,130515303.34290609
2019-01-29,129343394.29468343
2019-01-30,129343394.29468343
2019-02-03,130278643.64776337
2019-02-04,131453604.82319593
2019-02-05,131453604.82319593
2019-02-09,132928664.53168075
2019-02-10,132461655.99093667
2019-02-11,132461655.99093667
2019-02-15,133198377.58831272
2019-02-16,131856611.07673487
2019-02-17,131856611.07673487
2019-02-21,132665867.46434961
2019-02-22,130949757.35590237
2019-02-23,130949757.35590237
2019-02-27,131338766.07787085
2019-02-28,131238489.7205059
2019-03-01,131238489.7205059
2019-03-05,131705904.44159797
2019-03-06,131315012.82871088
2019-03-07,131315012.82871088
2019-03-11,130737703.02497703
2019-03-12,129750906.95419434
2019-03-13,129750906.95419434
2019-03-17,129644706.26292466
2019-03-18,128458596.70339367
2019-03-19,128458596.70339367
2019-03-23,127021186.43670373
2019-03-24,126153714.28544037
2019-03-25,126153714.28544037
2019-03-29,125306063.67293121
2019-03-30,124639835.4811189
2019-03-31,124639835.4811189
2019-04-04,127261254.89442293
2019-04-05,127619847.58009566
2019-04-06,127619847.58009566
2019-04-10,129406246.80417717
2019-04-11,127735592.1803775
2019-04-12,127735592.1803775
2019-04-16,126682894.5722133
2019-04-17,125957343.15783085
2019-04-22,126645335.43466383
2019-04-23,126493862.33234526
2019-04-24,126493862.33234526
2019-04-28,127915168.8177548
2019-04-29,126434334.52216117
2019-04-30,126434334.52216117
2019-05-04,125967674.52967924
2019-05-05,125374333.63412683
2019-05-06,125374333.63412683
2019-05-10,125434891.03557965
2019-05-11,124517850.41551314
2019-05-12,124517850.41551314
2019-05-16,124700208.86575276
2019-05-17,123764203.63729985
2019-05-18,123764203.63729985
2019-05-22,123386991.29028472
2019-05-23,122199174.43731417
2019-05-24,122199174.43731417
2019-05-28,120736668.64881672
2019-05-29,119287049.18359761
2019-05-30,119287049.18359761
2019-06-03,118246089.03941868
2019-06-04,118229842.00922151
2019-06-05,118229842.00922151
2019-06-09,119386255.32125835
2019-06-10,117971295.1092389
2019-06-11,117971295.1092389
2019-06-15,118487430.98534933
2019-06-16,115907288.08797556
2019-06-17,115907288.08797556
2019-06-21,108862284.1980608
2019-06-22,117781630.93688679
2019-06-23,106830607.48722154
2019-06-27,112827739.28765894
2019-06-28,110802590.84331986
2019-07-03,110265518.6271684
2019-07-04,108770103.52457035
2019-07-05,108770103.52457035
2019-07-09,107235356.77600944
2019-07-10,106045930.05307402
2019-07-11,106045930.05307402
2019-07-15,103714542.73300259
2019-07-16,99411935.93137205
2019-07-17,101278453.79411662
2019-07-21,98212768.88483524
2019-07-22,95347848.28981163
2019-07-23,95347848.28981163
2019-07-27,95504428.40596414
2019-07-28,98287708.91877519
2019-07-29,98287708.91877519
2019-08-02,98938429.6470712
2019-08-03,94925746.7261129
2019-08-04,94925746.7261129
2019-08-08,92480615.46340998
2019-08-09,91946616.64170456
2019-08-10,91946616.64170456
2019-08-14,94258847.41993095
2019-08-15,90625159.74860515
2019-08-16,90625159.74860515
2019-08-20,88577053.52231985
2019-08-21,84477929.0614522
2019-08-22,84477929.0614522
2019-08-26,84126555.3850045
2019-08-27,86394833.91142084
2019-08-28,86394833.91142084
2019-09-01,85670871.58976264
2019-09-02,83915048.93088907
2019-09-03,83915048.93088907
2019-09-07,88154669.04139203
2019-09-08,84444332.23504882
2019-09-09,84444332.23504882
2019-09-13,91985019.8215817
2019-09-14,86861828.83589348
2019-09-15,86861828.83589348
2019-09-19,85052241.78029153
