date,value
2018-01-02,2433100
2018-01-04,2433100
2018-01-07,2433100
2018-01-12,2452500
2018-01-17,2471800
2018-01-19,2471800
2018-01-22,2454800
2018-01-24,2476100
2018-01-27,2445200
2018-02-01,2456600
2018-02-06,2472200
2018-02-11,2490000
2018-02-13,2490000
2018-02-16,2487800
2018-02-18,2486100
2018-02-21,2449800
2018-02-26,2440500
2018-03-28,2434000
2018-04-02,2459600
2018-04-04,2459600
2018-04-07,2461000
2018-04-17,2458100
2018-04-19,2457200
2018-04-22,2457200
2018-04-24,2457200
2018-04-27,2496500
2018-04-29,2374600
2018-05-02,2418600
2018-05-04,2418600
2018-05-07,2507000
2018-06-16,2460500
2018-06-21,2442600
2018-06-23,2442600
2018-06-26,2521500
2018-06-28,2521500
2018-07-01,2521500
2018-07-03,2449500
2018-07-06,2556300
2018-07-08,2480600
2018-07-11,2558000
2018-07-13,2558000
2018-07-16,2528700
2018-07-18,2541800
2018-07-21,2500100
2018-07-23,2537300
2018-07-26,2509500
2018-07-28,2533900
2018-07-31,2510100
2018-08-02,2571500
2018-08-05,2497600
2018-08-07,2561900
2018-08-10,2508400
2018-08-12,2524800
2018-08-15,2508000
2018-08-17,2556100
2018-08-22,2543200
2018-08-25,2547200
2018-08-27,2476700
2018-08-30,2540600
2018-09-01,2540600
2018-09-04,2493200
2018-09-06,2535200
2018-09-09,2535200
2018-09-24,2453600
2018-09-26,2453600
2018-09-29,2527400
2018-10-01,2527400
2018-10-06,2482900
2018-10-09,2484900
2018-10-24,2513700
2018-10-29,2474600
2018-11-03,2434800
2018-11-05,2487400
2018-11-10,2428300
2018-11-13,2428600
2018-11-28,2474400
2018-11-30,2474400
2018-12-03,2474400
2018-12-05,2474400
2018-12-08,2478300
2018-12-10,2460800
2018-12-13,2505000
2018-12-15,2505000
2018-12-18,2505000
2018-12-20,2447800
2018-12-28,2429200
2018-12-30,2429200
2019-01-02,2424900
2019-01-04,2424900
2019-01-07,2490300
2019-01-09,2490300
2019-01-12,2426300
2019-01-14,2468800
2019-01-17,2468800
2019-01-22,2438900
2019-01-24,2422300
2019-01-27,2422300
2019-01-29,2422300
2019-02-06,2446000
2019-02-08,2446000
2019-02-11,2474300
2019-02-13,2474300
2019-02-16,2462600
2019-02-21,2435200
2019-02-26,2459000
2019-02-28,2473500
2019-03-03,2478300
2019-03-10,2469000
2019-03-13,2505600
2019-03-15,2498400
2019-03-18,2506700
2019-03-20,2506700
2019-03-23,2492800
2019-03-25,2535700
2019-03-28,2484000
2019-03-30,2549400
2019-04-02,2549400
2019-04-04,2495800
2019-04-22,2507600
2019-04-27,2550000
2019-04-29,2550000
2019-05-02,2529000
2019-05-07,2522800
2019-05-12,2492700
2019-05-14,2478800
2019-05-19,2466900
2019-05-22,2536300
2019-05-24,2507500
2019-05-27,2585500
2019-05-29,2585500
2019-06-01,2492800
2019-06-06,2472900
2019-06-08,2519500
2019-06-11,2346600
2019-06-16,2509700
2019-06-18,2321500
2019-06-21,2376800
2019-06-23,2376800
2019-06-26,2507300
2019-06-28,2507300
2019-07-01,2492100
2019-07-03,2491000
2019-07-06,2491000
2019-07-08,2470000
2019-07-11,2498300
2019-07-13,2454100
2019-07-16,2517700
2019-07-18,2517700
2019-07-21,2493700
2019-07-23,2554000
2019-07-26,2554000
2019-07-28,2529400
2019-07-31,2536100
2019-08-02,2512500
2019-08-05,2573800
2019-08-07,2573800
2019-08-10,2523900
2019-08-12,2571300
2019-08-15,2530600
2019-08-17,2549100
2019-08-20,2522600
2019-08-22,2560900
2019-08-25,2494000
2019-08-27,2552300
2019-08-30,2491700
2019-09-01,2508300
2019-09-04,2493900
2019-09-06,2573400
2019-09-09,2481700
2019-09-11,2569000
2019-09-14,2569000
2019-09-16,2471100
2019-09-19,2507300
2019-09-24,2508500
2019-09-26,2508500
2019-09-29,2455800
2019-10-01,2469700
2019-10-04,2447200
2019-10-06,2495300
2019-10-09,2441100
2019-10-16,2439200
2019-10-29,2439300
2019-11-03,2439300
2019-11-05,2427000
2019-11-08,2443200
2019-12-03,2438300
2019-12-05,2438300
2019-12-08,2412900
2019-12-10,2424000
2019-12-15,2384600
2019-12-18,2384600
2019-12-28,2386300
2019-12-30,2386300
2020-01-07,2376200
2020-01-09,2376200
2020-01-12,2418000
2020-01-14,2418000
2020-01-19,2393200
2020-02-01,2437700
2020-02-03,2437700
2020-02-06,2437700
2020-02-11,2428000
2020-02-16,2427600
2020-02-21,2450100
2020-02-23,2450100
2020-02-26,2444200
2020-05-01,2456600
2020-05-03,2456600
2020-05-06,2464000
2020-05-08,2464000
2020-05-11,2464000
2020-05-21,2452800
2020-05-23,2452800
2020-05-26,2481300
2020-05-28,2492300
2020-06-15,2455400
2020-06-17,2455400
2020-06-20,2521300
2020-06-25,2473800
2020-06-27,2473800
2020-06-30,2534900
2020-07-02,2534900
2020-07-05,2456300
2020-07-07,2484900
2020-07-10,2465700
2020-07-12,2537800
2020-07-15,2452600
2020-07-17,2530600
2020-07-20,2481100
2020-07-22,2494600
2020-07-25,2474400
2020-07-27,2574300
2020-07-30,2465800
2020-08-01,2568300
2020-08-04,2512300
2020-08-06,2515700
2020-08-09,2450300
2020-08-11,2511800
2020-08-14,2487100
2020-08-16,2500200
2020-08-19,2453100
2020-08-21,2508600
2020-08-24,2489500
2020-08-26,2542500
2020-08-29,2474700
2020-08-31,2540800
2020-09-03,2497600
2020-09-05,2523700
2020-09-08,2476100
2020-09-10,2545600
2020-09-13,2521600
2020-09-15,2488200
2020-09-18,2488200
2020-09-28,2421900
2020-10-03,2475400
2020-10-08,2470400
2020-10-10,2453300
2020-10-13,2464500
2020-10-15,2436300
2020-10-18,2466400
2020-10-23,2472900
2020-10-25,2418900
2020-10-28,2418900
2020-11-02,2436400
2020-11-07,2436400
2020-11-12,2437900
2020-11-17,2419800
2020-11-19,2419800
2020-11-22,2435900
2020-11-24,2444800
2020-12-02,2430000
2020-12-09,2414500
2020-12-17,2385400
2020-12-22,2420800
2020-12-24,2420800
2020-12-27,2394900
