date,value
2018-01-03,2225200
2018-01-04,2241500
2018-01-09,2291400
2018-01-10,2341800
2018-01-15,2281400
2018-01-16,2319200
2018-01-21,2243200
2018-01-22,2317800
2018-01-27,2274400
2018-01-28,2260000
2018-02-02,2246200
2018-02-03,2296200
2018-02-08,2243600
2018-02-09,2275100
2018-02-14,2236200
2018-02-15,2319400
2018-02-20,2229800
2018-02-21,2282400
2018-02-26,2241000
2018-02-27,2307800
2018-03-04,2347800
2018-03-05,2340600
2018-03-10,416600
2018-03-11,2369000
2018-03-16,2368800
2018-03-17,2388200
2018-03-22,2253200
2018-03-23,2340600
2018-03-28,2228700
2018-03-29,2305800
2018-04-03,2227400
2018-04-04,2310000
2018-04-09,2246100
2018-04-10,2335300
2018-04-15,2258800
2018-04-16,2314400
2018-04-21,2312200
2018-04-22,2327500
2018-04-27,2250300
2018-04-28,2319100
2018-05-03,2283800
2018-05-04,2320200
2018-05-09,2243300
2018-05-10,2304800
2018-05-15,2292800
2018-05-16,2304300
2018-05-21,2204600
2018-05-22,2276100
2018-05-27,2252400
2018-05-28,2107600
2018-06-02,2250500
2018-06-03,2250600
2018-06-08,2252200
2018-06-09,2294200
2018-06-14,2188900
2018-06-15,2280500
2018-06-20,2254000
2018-06-21,2263600
2018-06-26,2179500
2018-06-27,2270600
2018-07-02,2204200
2018-07-03,2272000
2018-07-08,2158100
2018-07-09,2241100
2018-07-14,2199400
2018-07-15,2236700
2018-07-20,2199600
2018-07-21,2268500
2018-07-26,2208600
2018-07-27,2246700
2018-08-01,2138200
2018-08-02,2228500
2018-08-07,2176000
2018-08-08,2224900
2018-08-13,2181700
2018-08-14,2221300
2018-08-19,2189100
2018-08-20,2230300
2018-08-25,2188000
2018-08-26,2225500
2018-08-31,2206300
2018-09-01,2218300
2018-09-06,2183100
2018-09-07,2242100
2018-09-12,2129800
2018-09-13,2224300
2018-09-18,2148500
2018-09-19,2227800
2018-09-24,2218100
2018-09-25,2253100
2018-09-30,2199300
2018-10-01,2258200
2018-10-06,2230700
2018-10-07,2257000
2018-10-12,2181900
2018-10-13,2247600
2018-10-18,2265600
2018-10-19,2315200
2018-10-24,2238200
2018-10-25,2258500
2018-10-30,2315200
2018-10-31,2311000
2018-11-05,2253000
2018-11-06,2299400
2018-11-11,2240300
2018-11-12,2287900
2018-11-17,2234800
2018-11-18,2324200
2018-11-23,2254800
2018-11-24,2302100
2018-11-29,2240200
2018-11-30,2299900
2018-12-05,2218900
2018-12-06,2244200
2018-12-11,2225400
2018-12-12,2283700
2018-12-17,2276700
2018-12-18,2318800
2018-12-23,2253100
2018-12-24,2303100
2018-12-29,2288400
2018-12-30,2267700
2019-01-04,2253100
2019-01-05,2321600
2019-01-10,2187000
2019-01-11,2311900
2019-01-16,2238600
2019-01-17,2313300
2019-01-22,2304900
2019-01-23,2338000
2019-01-28,2269500
2019-01-29,2335100
2019-02-03,2285500
2019-02-04,2322600
2019-02-09,2245400
2019-02-10,2315400
2019-02-15,2302900
2019-02-16,2332200
2019-02-21,2276000
2019-02-22,2326400
2019-02-27,2245000
2019-02-28,2306200
2019-03-05,2233200
2019-03-06,2313200
2019-03-11,2226400
2019-03-12,2305100
2019-03-17,2196700
2019-03-18,2272600
2019-03-23,1972800
2019-03-24,2291700
2019-03-29,2217500
2019-03-30,2221500
2019-04-04,2241800
2019-04-05,2309900
2019-04-10,2238900
2019-04-11,2307000
2019-04-16,2229500
2019-04-17,2246700
2019-04-22,2172000
2019-04-23,2291800
2019-04-28,2241500
2019-04-29,2274700
2019-05-04,2167500
2019-05-05,2252600
2019-05-10,2215700
2019-05-11,2245200
2019-05-16,2189900
2019-05-17,2256000
2019-05-22,2190400
2019-05-23,2272400
2019-05-28,2179300
2019-05-29,2239500
2019-06-03,2212600
2019-06-04,2246700
2019-06-09,2147200
2019-06-10,2253100
2019-06-15,2212000
2019-06-16,2264600
2019-06-21,2172600
2019-06-22,2247500
2019-06-27,2193000
2019-06-28,2213000
2019-07-03,2141000
2019-07-04,2255800
2019-07-09,2191300
2019-07-10,2259700
2019-07-15,2169800
2019-07-16,2251900
2019-07-21,2180000
2019-07-22,2254900
2019-07-27,2173500
2019-07-28,2216700
2019-08-02,2196500
2019-08-03,2225800
2019-08-08,2173100
2019-08-09,2247800
2019-08-14,2178000
2019-08-15,2233700
2019-08-20,2182500
2019-08-21,2238200
2019-08-26,2081500
2019-08-27,2247500
2019-09-01,2154000
2019-09-02,2229700
2019-09-07,2208700
2019-09-08,2256100
2019-09-13,2217900
2019-09-14,2252000
2019-09-19,2200300
2019-09-20,2253000
2019-09-25,2205000
2019-09-26,2263000
2019-10-01,2189400
2019-10-02,2251500
2019-10-07,2158000
2019-10-08,2232900
2019-10-13,2237600
2019-10-14,2264500
2019-10-19,2215600
2019-10-20,2283700
2019-10-25,2261300
2019-10-26,2254900
2019-10-31,2241300
2019-11-01,2244600
2019-11-06,2263100
2019-11-07,2280400
2019-11-12,2220700
2019-11-13,2242200
2019-11-18,2227400
2019-11-19,2270800
2019-11-24,2205900
2019-11-25,2258400
2019-11-30,2204800
2019-12-01,2292600
2019-12-06,2251400
2019-12-07,2260400
2019-12-12,2257800
2019-12-13,2268400
2019-12-18,2237100
2019-12-19,2292900
2019-12-24,2287800
2019-12-25,2300900
2019-12-30,2258400
2020-01-05,2283500
2020-01-06,2290000
2020-01-11,2278200
2020-01-12,2296400
2020-01-17,2223100
2020-01-18,2298500
2020-01-23,2280200
2020-01-24,2344800
2020-01-29,2275700
2020-01-30,2346700
2020-02-04,2249200
2020-02-05,2337100
2020-02-10,2268000
2020-02-11,2310000
2020-02-16,2253500
2020-02-17,2310400
2020-02-22,2289800
2020-02-23,2348600
2020-02-28,2186100
2020-02-29,2313300
2020-03-05,2264800
2020-03-06,2313600
2020-03-11,2244500
2020-03-12,2277300
2020-03-17,2315200
2020-03-18,2321900
2020-03-23,2289600
2020-03-24,2310400
2020-03-29,2200600
2020-03-30,2291800
2020-04-04,2239000
2020-04-05,2245500
2020-04-10,2264400
2020-04-11,2278100
