date,value
2018-01-03,7103501.730159197
2018-01-04,7218299.208024101
2018-01-09,7575977.275773674
2018-01-10,7946824.780100437
2018-01-15,7503543.03062452
2018-01-16,7779338.068981415
2018-01-21,7230329.698937037
2018-01-22,7769026.686964531
2018-01-27,7453064.529782696
2018-01-28,7349806.389561281
2018-02-02,7251586.602664143
2018-02-03,7610880.397934017
2018-02-08,7233161.988769493
2018-02-09,7458104.028097787
2018-02-14,7180862.420491235
2018-02-15,7780811.731751781
2018-02-20,7135797.03606619
2018-02-21,7510769.398812859
2018-02-26,7214762.9052063525
2018-02-27,7695590.557202894
2018-03-04,7991616.905254934
2018-03-05,7937882.810471835
2018-03-10,179123.56107180694
2018-03-11,8150981.529984259
2018-03-16,8149470.078626278
2018-03-17,8296792.160603699
2018-03-22,7301318.273872215
2018-03-23,7937882.810471835
2018-03-28,7128066.9854489295
2018-03-29,7680948.913718154
2018-04-03,7118937.354952503
2018-04-04,7711713.910404403
2018-04-09,7250877.491513371
2018-04-10,7898454.700440565
2018-04-15,7341236.958401562
2018-04-16,7744015.772848423
2018-04-21,7727855.647806228
2018-04-22,7840622.887234614
2018-04-27,7280692.688225354
2018-04-28,7778601.29461675
2018-05-03,7520892.680584078
2018-05-04,7786707.903427663
2018-05-09,7231037.714746163
2018-05-10,7673633.78768278
2018-05-15,7586148.325660015
2018-05-16,7669977.648450232
2018-05-21,6959853.152216365
2018-05-22,7465306.530416871
2018-05-27,7295625.2824121695
2018-05-28,6304866.98806995
2018-06-02,7282114.12201542
2018-06-03,7282824.895594635
2018-06-08,7294202.412512081
2018-06-09,7596326.809459633
2018-06-14,6851446.04590966
2018-06-15,7497042.538943863
2018-06-20,7307013.684434399
2018-06-21,7375547.362540518
2018-06-26,6786983.342011541
2018-06-27,7425739.627556471
2018-07-02,6957079.67637626
2018-07-03,7435800.336091993
2018-07-08,6641464.9475700725
2018-07-09,7215470.0902522635
2018-07-14,6923844.929224083
2018-07-15,7184389.663061052
2018-07-20,6925227.97960753
2018-07-21,7410662.476429205
2018-07-26,6987621.034560002
2018-07-27,7255132.725055036
2018-08-01,6507686.670582982
2018-08-02,7126662.0120386435
2018-08-07,6763066.060539367
2018-08-08,7101398.286275078
2018-08-13,6802040.606107515
2018-08-14,7076183.425781509
2018-08-19,6852821.1998693505
2018-08-20,7139312.204250742
2018-08-25,6845259.71345938
2018-08-26,7105605.513394477
2018-08-31,6971647.142968456
2018-09-01,7055208.358455215
2018-09-06,6811631.966246884
2018-09-07,7222544.017482857
2018-09-12,6451662.274768506
2018-09-13,7097192.416524337
2018-09-18,6576743.561257747
2018-09-19,7121745.793160235
2018-09-24,7053811.22657875
2018-09-25,7300606.517648523
2018-09-30,6923153.460461561
2018-10-01,7336954.2849707585
2018-10-06,7142125.017804165
2018-10-07,7328393.022051837
2018-10-12,6803410.349675627
2018-10-13,7261518.125338286
2018-10-18,7389869.0884142015
2018-10-19,7749896.741545328
2018-10-24,7194977.0525222
2018-10-25,7339095.451514475
2018-10-30,7749896.741545328
2018-10-31,7719048.784528946
2018-11-05,7299894.799222973
2018-11-06,7634197.7059687115
2018-11-11,7209813.667094825
2018-11-12,7550582.168570919
2018-11-17,7170991.160882267
2018-11-18,7816225.261224768
2018-11-23,7312711.514267521
2018-11-24,7653901.911019091
2018-11-29,7209106.784104896
2018-11-30,7637844.545413632
2018-12-05,7059400.6584794875
2018-12-06,7237411.556527688
2018-12-11,7104904.214609811
2018-12-12,7520169.342697261
2018-12-17,7469629.849723604
2018-12-18,7776391.199600964
2018-12-23,7300606.517648523
2018-12-24,7661206.786690432
2018-12-29,7554207.197289089
2018-12-30,7404923.190432764
2019-01-04,7300606.517648523
2019-01-05,7797032.058545715
2019-01-10,6838389.580916214
2019-01-11,7725653.419130305
2019-01-16,7197801.79078974
2019-01-17,7735933.411657379
2019-01-22,7674365.129429188
2019-01-23,7918527.354842386
2019-01-28,7417839.99033477
2019-01-29,7896968.941122529
2019-02-03,7533195.223445587
2019-02-04,7804411.017563143
2019-02-09,7245914.771140323
2019-02-10,7751367.363719864
2019-02-15,7659745.507874067
2019-02-16,7875442.539776991
2019-02-21,7464586.109758837
2019-02-22,7832485.74292858
2019-02-27,7243079.761934197
2019-02-28,7683876.027282614
2019-03-05,7159718.778300469
2019-03-06,7735198.879522828
2019-03-11,7111918.899297168
