date,value
2018-02-11,18730100
2018-02-16,18565200
2018-02-21,18578700
2018-03-28,23883100
2018-04-17,25228400
2018-04-27,25472600
2018-06-16,25105100
2018-07-06,26289200
2018-07-11,26085700
2018-07-16,26170100
2018-07-21,26072200
2018-07-26,25993100
2018-07-31,25813600
2018-08-05,25423500
2018-08-10,25454900
2018-08-15,25463800
2018-08-25,25245100
2018-09-24,24305500
2018-09-29,23958300
2018-10-24,23682500
2018-10-29,23905000
2018-11-03,23932000
2019-02-06,24393500
2019-02-26,24266500
2019-03-03,24173600
2019-03-18,24165500
2019-03-28,24115900
2019-04-22,24301400
2019-04-27,24136500
2019-05-07,24121000
2019-05-27,23497300
2019-06-06,23054600
2019-06-11,22694600
2019-06-21,21986100
2019-07-01,22715300
2019-07-11,22438400
2019-07-16,22699200
2019-07-21,22626900
2019-07-31,21801600
2019-08-05,22168300
2019-08-10,22034700
2019-08-15,22018100
2019-08-20,21905600
2019-08-25,21560500
2019-08-30,21549300
2019-09-04,21042800
2019-09-09,21237400
2019-09-19,21289500
2019-09-24,20954100
2019-09-29,21018800
2019-10-04,21052900
2019-10-09,20824300
2020-02-16,20648600
2020-05-01,20860800
2020-05-06,20879800
2020-05-21,21111200
2020-05-26,20082800
2020-06-15,17861000
2020-06-20,19136300
2020-06-25,20230800
2020-06-30,19484500
2020-07-05,19166900
2020-07-10,20095900
2020-07-15,18994900
2020-07-20,19573200
2020-07-25,19722900
2020-07-30,19396800
2020-08-09,19080200
2020-08-14,19059800
2020-08-19,18902100
2020-08-24,18624600
2020-08-29,18603600
2020-09-03,18118600
2020-09-28,17849000
2020-10-13,17756900
2020-10-18,17648400
2020-11-02,17654400
2020-11-17,17563300
