date,value
2018-01-03,18148800
2018-01-04,18652700
2018-01-05,18652700
2018-01-09,18318300
2018-01-10,18627100
2018-01-11,18477500
2018-01-15,18861500
2018-01-16,18625700
2018-01-17,18625700
2018-01-21,18474600
2018-01-22,18732000
2018-01-23,18554900
2018-01-27,18747700
2018-01-28,18516800
2018-01-29,18516800
2018-02-02,18388900
2018-02-03,18717100
2018-02-04,18475800
2018-02-08,18597100
2018-02-09,18369700
2018-02-10,18369700
2018-02-14,18139000
2018-02-15,18379900
2018-02-16,18234100
2018-02-20,18366000
2018-02-21,18188200
2018-02-22,18188200
2018-02-26,18046400
2018-02-27,18362200
2018-02-28,18213900
2018-03-04,18795600
2018-03-05,18596000
2018-03-06,18596000
2018-03-10,19256000
2018-03-11,19660900
2018-03-12,19559600
2018-03-16,20278700
2018-03-17,20116100
2018-03-18,20116100
2018-03-22,21083900
2018-03-23,22331400
2018-03-24,22042400
2018-03-28,23024900
2018-03-29,22949700
2018-03-30,22949700
2018-04-03,23508000
2018-04-04,23875900
2018-04-05,23674800
2018-04-09,23967300
2018-04-10,23771100
2018-04-11,23771100
2018-04-15,24029300
2018-04-16,24502700
2018-04-17,24389300
2018-04-21,24896800
2018-04-22,24721800
2018-04-23,24721800
2018-04-27,24859100
2018-04-28,25188400
2018-04-29,24982800
2018-05-03,25371000
2018-05-04,25150100
2018-05-05,25150100
2018-05-09,25213700
2018-05-10,25394800
2018-05-11,25268300
2018-05-15,25577400
2018-05-16,25298500
2018-05-17,25298500
2018-05-21,25212900
2018-05-22,25467300
2018-05-23,25467300
2018-05-27,25262100
2018-05-28,25461500
2018-05-29,25461500
2018-06-02,25292600
2018-06-03,25456600
2018-06-04,25279500
2018-06-08,25500800
2018-06-09,25295800
2018-06-10,25295800
2018-06-14,25186900
2018-06-15,25445300
2018-06-16,25256300
2018-06-20,25460300
2018-06-21,24043300
2018-06-22,24043300
2018-06-26,25283900
2018-06-27,25419700
2018-06-28,25419700
2018-07-02,25387600
2018-07-03,25155800
2018-07-04,25155800
2018-07-08,24883400
2018-07-09,25178700
2018-07-10,24939100
2018-07-14,25136300
2018-07-15,24857600
2018-07-16,24857600
2018-07-20,24854700
2018-07-21,25219000
2018-07-22,25036400
2018-07-26,25363400
2018-07-27,24956700
2018-07-28,24956700
2018-08-01,24709000
2018-08-02,25136700
2018-08-03,24754600
2018-08-07,25202900
2018-08-08,24460300
2018-08-09,24460300
2018-08-13,24211700
2018-08-14,24667300
2018-08-15,24380000
2018-08-19,25170900
2018-08-20,24634700
2018-08-21,24634700
2018-08-25,24290500
2018-08-26,25053800
2018-08-27,24267600
2018-08-31,24713600
2018-09-01,24102400
2018-09-02,24102400
2018-09-06,24028700
2018-09-07,24447800
2018-09-08,23982000
2018-09-12,24052800
2018-09-13,23690200
2018-09-14,23690200
2018-09-18,23462900
2018-09-19,23714400
2018-09-20,23583000
2018-09-24,24182900
2018-09-25,23739000
2018-09-26,23739000
2018-09-30,23759300
2018-10-01,24445500
2018-10-02,23953300
2018-10-06,24246800
2018-10-07,23819300
2018-10-08,23819300
2018-10-12,23523200
2018-10-13,24057700
2018-10-14,23670900
2018-10-18,24073200
2018-10-19,23595600
2018-10-20,23595600
2018-10-24,23726700
2018-10-25,24088800
2018-10-26,23800600
2018-10-30,24367800
2018-10-31,23993000
2018-11-01,23993000
2018-11-05,24194300
2018-11-06,24401300
2018-11-07,24039400
2018-11-11,24089000
2018-11-12,23847800
2018-11-13,23847800
2018-11-17,23634600
2018-11-18,24047500
2018-11-19,23710100
2018-11-23,24036200
2018-11-24,23838700
2018-11-25,23838700
2018-11-29,23895000
2018-11-30,24237800
2018-12-01,24062900
2018-12-05,24280400
2018-12-06,24047800
2018-12-07,24047800
2018-12-11,23817400
2018-12-12,24146700
2018-12-13,23946100
2018-12-17,24234000
2018-12-18,24028900
2018-12-19,24028900
2018-12-23,24019400
2018-12-24,24229400
2018-12-25,24097700
2018-12-29,24333800
2018-12-30,24038800
2019-01-04,23758400
2019-01-05,24528100
2019-01-06,24075500
2019-01-10,24189000
2019-01-11,24148800
2019-01-12,24148800
2019-01-16,24027900
2019-01-17,24063100
2019-01-18,24063100
2019-01-22,24253800
2019-01-23,24216900
2019-01-24,24216900
2019-01-28,24299300
2019-01-29,24206700
2019-01-30,24206700
2019-02-03,24150700
2019-02-04,24131300
2019-02-05,24131300
2019-02-09,24124300
2019-02-10,24131400
2019-02-11,24131400
2019-02-15,24218400
2019-02-16,24194800
2019-02-17,24194800
