date,value
2018-01-03,3100700
2018-01-04,3094800
2018-01-09,3219600
2018-01-10,3342200
2018-01-15,3279900
2018-01-16,3208900
2018-01-21,3193500
2018-01-22,3347000
2018-01-27,3378800
2018-01-28,3212200
2018-02-02,3246900
2018-02-03,3485000
2018-02-08,3247300
2018-02-09,3143900
2018-02-14,3229200
2018-02-15,3343700
2018-02-20,3216500
2018-02-21,3247500
2018-02-26,3195400
2018-02-27,3356300
2018-03-04,3748400
2018-03-05,3722100
2018-03-10,3963700
2018-03-11,4089100
2018-03-16,4239500
2018-03-17,4029200
2018-03-22,4355000
2018-03-23,4469100
2018-03-28,4424900
2018-03-29,4477000
2018-04-03,4359500
2018-04-04,4496900
2018-04-09,4446400
2018-04-10,4243300
2018-04-15,4432400
2018-04-16,4505600
2018-04-21,4469200
2018-04-22,3961000
2018-04-27,4457900
2018-04-28,4510000
2018-05-03,4510800
2018-05-04,4175700
2018-05-09,4432700
2018-05-10,4522900
2018-05-15,4443800
2018-05-16,3542500
2018-05-21,4376700
2018-05-22,4320900
2018-05-27,4376800
2018-05-28,4169300
2018-06-02,4320500
2018-06-03,4317500
2018-06-08,4327200
2018-06-09,4191600
2018-06-14,4214200
2018-06-15,4310800
2018-06-20,4251400
2018-06-21,2414700
2018-06-26,4130000
2018-06-27,4192000
2018-07-02,4066800
2018-07-03,3993900
2018-07-08,3880900
2018-07-09,4069800
2018-07-14,3957700
2018-07-15,3219800
2018-07-20,3906600
2018-07-21,3963700
2018-07-26,3846000
2018-07-27,3741100
2018-08-01,3781300
2018-08-02,3505600
2018-08-07,3732200
2018-08-08,2997600
2018-08-13,3672900
2018-08-14,3763000
2018-08-19,3764800
2018-08-20,2368600
2018-08-25,3564100
2018-08-26,3418300
2018-08-31,3738700
2018-09-01,1520800
2018-09-06,3560800
2018-09-07,3500100
2018-09-12,3510700
2018-09-13,3260100
2018-09-18,3485600
2018-09-19,3261500
2018-09-24,3480600
2018-09-25,2282300
2018-09-30,3434400
2018-10-01,3620800
2018-10-06,3500900
2018-10-07,3391500
2018-10-12,3389900
2018-10-13,3216200
2018-10-18,3544400
2018-10-19,3513700
2018-10-24,3509900
2018-10-25,3514400
2018-10-30,3665100
2018-10-31,3432000
2018-11-05,3670600
2018-11-06,3635300
2018-11-11,3591500
2018-11-12,3497700
2018-11-17,3673900
2018-11-18,3452300
2018-11-23,3813600
2018-11-24,3787400
2018-11-29,3859400
2018-11-30,3992500
2018-12-05,3821300
2018-12-06,3852800
2018-12-11,3848000
2018-12-12,3988800
2018-12-17,3874500
2018-12-18,3453200
2018-12-23,3864900
2018-12-24,3998800
2018-12-29,4011400
2018-12-30,3249500
2019-01-04,3929600
2019-01-05,3850200
2019-01-10,3841400
2019-01-11,3966500
2019-01-16,3873800
2019-01-17,4015400
2019-01-22,4027300
2019-01-23,4034700
2019-01-28,3955000
2019-01-29,3971600
2019-02-03,3982600
2019-02-04,3983000
2019-02-09,3901100
2019-02-10,4071200
2019-02-15,4033800
2019-02-16,4008100
2019-02-21,3985300
2019-02-22,3888000
2019-02-27,3963600
2019-02-28,4009200
2019-03-05,3879700
2019-03-06,4081200
2019-03-11,3902600
2019-03-12,3951400
2019-03-17,3895900
2019-03-18,3826600
2019-03-23,3693100
2019-03-24,3834200
2019-03-29,3877200
2019-03-30,3907900
2019-04-04,3943600
2019-04-05,3974900
2019-04-10,3929200
2019-04-11,3962900
2019-04-16,3846300
2019-04-17,3916200
2019-04-22,3859400
2019-04-23,3920400
2019-04-28,3889700
2019-04-29,3850700
2019-05-04,3808000
2019-05-05,3904800
2019-05-10,3859700
2019-05-11,3754000
2019-05-16,3841100
2019-05-17,3888600
2019-05-22,3725400
2019-05-23,3794800
2019-05-28,3741800
2019-05-29,3662200
2019-06-03,3692400
2019-06-04,3832800
2019-06-09,3735100
2019-06-10,3770800
2019-06-15,3825100
2019-06-16,3653500
2019-06-21,3659800
2019-06-22,3474300
2019-06-27,3714900
2019-06-28,3639100
2019-07-03,3624200
2019-07-04,3699500
2019-07-09,3606900
2019-07-10,3459500
2019-07-15,3533100
2019-07-16,3472200
2019-07-21,3269300
2019-07-22,3371900
2019-07-27,3565200
2019-07-28,3713500
2019-08-02,3527200
2019-08-03,3261200
2019-08-08,3489700
2019-08-09,3607600
2019-08-14,2887200
2019-08-15,3189500
2019-08-20,3417000
2019-08-21,3351100
2019-08-26,3443200
2019-08-27,3539200
2019-09-01,3271500
2019-09-02,3413900
2019-09-07,3741400
2019-09-08,3460500
2019-09-13,3482200
2019-09-14,3394800
2019-09-19,3321600
2019-09-20,3295200
2019-09-25,3361300
2019-09-26,3249200
2019-10-01,3556300
2019-10-02,3620900
2019-10-07,3128700
2019-10-08,2905100
2019-10-13,3100800
2019-10-14,3586600
2019-10-19,3737000
2019-10-20,3484500
2019-10-25,3618200
2019-10-26,2350500
2019-10-31,3381800
2019-11-01,3544000
2019-11-06,3599300
2019-11-07,3324100
2019-11-12,3430300
2019-11-13,3598100
2019-11-18,3185900
2019-11-19,3276200
2019-11-24,3138900
2019-11-25,3478100
2019-11-30,3227100
2019-12-01,3367900
2019-12-06,3324000
2019-12-07,3279100
2019-12-12,3625000
2019-12-13,3487400
2019-12-18,3245400
2019-12-19,3937900
2019-12-24,3380300
2019-12-25,3188400
2019-12-30,3465300
2020-01-05,3518200
2020-01-06,3413600
2020-01-11,3414900
2020-01-12,3406600
2020-01-17,3157800
2020-01-18,3379600
2020-01-23,3326900
2020-01-24,3469400
2020-01-29,3265800
2020-01-30,3352900
2020-02-04,3246300
2020-02-05,3405900
2020-02-10,3307000
2020-02-11,3440200
