date,value
2018-01-03,15007229.960760938
2018-01-04,14942821.995707983
2018-01-09,16338222.472494313
2018-01-10,17776937.081601933
2018-01-15,17037391.915275652
2018-01-16,16215860.958145186
2018-01-21,16040651.005397476
2018-01-22,17834643.60194382
2018-01-27,18219583.547694273
2018-01-28,16253543.966326397
2018-02-02,16652739.858321797
2018-02-03,19538428.848738287
2018-02-08,16657373.0185524
2018-02-09,15483535.835657142
2018-02-14,16448441.130847089
2018-02-15,17794959.17580116
2018-02-20,16302719.203896211
2018-02-21,16659689.867967015
2018-02-26,16062210.475805713
2018-02-27,17946746.604746614
2018-03-04,23032810.224306956
2018-03-05,22669478.30212916
2018-03-10,26128819.647237618
2018-03-11,28032812.73210126
2018-03-16,30415237.875296835
2018-03-17,27114021.39900521
2018-03-22,32318606.871637635
2018-03-23,34262322.594192095
2018-03-28,33501860.484321423
2018-03-29,34399244.671121515
2018-04-03,32394068.49121478
2018-04-04,34745498.821616285
2018-04-09,33870580.6390951
2018-04-10,30476836.626196966
2018-04-15,33630228.411937974
2018-04-16,34897483.50206616
2018-04-21,34264053.8838176
2018-04-22,26088643.94069182
2018-04-27,34068726.528065026
2018-04-28,34974490.075028114
2018-05-03,34988501.43157907
2018-05-04,29391383.29252681
2018-05-09,33635368.818903565
2018-05-10,35200804.60010982
2018-05-15,33825871.67972928
2018-05-16,20273979.520990975
2018-05-21,32683403.602330394
2018-05-22,31749960.111161772
2018-05-27,32685089.975276362
2018-05-28,29289754.049154397
2018-06-02,31743323.13049928
2018-06-03,31693570.41643587
2018-06-08,31854594.546163056
2018-06-09,29644717.708611682
2018-06-14,30006889.089330927
2018-06-15,31582612.991304167
2018-06-20,30608371.03397229
2018-06-21,8532282.734578837
2018-06-26,28669983.302166775
2018-06-27,29651106.525443457
2018-07-02,27688764.901427492
2018-07-03,26580541.319383234
2018-07-08,24912405.68018626
2018-07-09,27734911.57749405
2018-07-14,26039587.072437186
2018-07-15,16340514.483718837
2018-07-20,25286507.482414003
2018-07-21,26128819.647237618
2018-07-26,24409352.999102805
2018-07-27,22931638.67182308
2018-08-01,23491857.122251377
2018-08-02,19800207.2423652
2018-08-07,22808628.131040733
2018-08-08,13903883.29253335
2018-08-13,21998415.727908984
2018-08-14,23235898.09447147
2018-08-19,23261005.12286793
2018-08-20,8168844.302950341
2018-08-25,20554208.723767906
2018-08-26,18704118.960446667
2018-08-31,22898430.987024352
2018-09-01,3003545.0145004266
2018-09-06,20511257.18972437
2018-09-07,19730124.976015523
2018-09-12,19865316.356981486
2018-09-13,16806013.44591153
2018-09-18,19546026.02196037
2018-09-19,7941657.9978345325
2018-09-24,19482766.521095783
2018-09-25,7512082.157400206
2018-09-30,18903647.631122537
2018-10-01,21300024.645368412
2018-10-06,19740310.155850265
2018-10-07,18374598.162495524
2018-10-12,18355028.470650624
2018-10-13,8604265.565361213
2018-10-18,20298543.354954828
2018-10-19,19903671.476096228
2018-10-24,19855095.286666907
2018-10-25,19912626.935515445
2018-10-30,21893058.75570698
2018-10-31,18873829.39801221
2018-11-05,21967319.629232
2018-11-06,21493134.12957309
2018-11-11,20912771.416093446
2018-11-12,19699587.007964343
2018-11-17,22011943.41565412
2018-11-18,19126869.62086789
2018-11-23,23947447.90840197
2018-11-24,23577524.11723048
2018-11-29,24601826.014706343
2018-11-30,26559505.19280957
2018-12-05,24056776.338015005
2018-12-06,24506920.608341828
2018-12-11,24438026.844058655
2018-12-12,26503954.38123528
2018-12-17,24819727.107268605
2018-12-18,19138131.632910397
2018-12-23,24681070.009733945
2018-12-24,26654240.848264735
2018-12-29,26844276.17690292
2018-12-30,16682868.237101749
2019-01-04,25623943.19078367
2019-01-05,24469589.738801718
2019-01-10,24343474.327645756
2019-01-11,26170519.728931453
2019-01-16,24809602.063752566
2019-01-17,26904762.19378584
2019-01-22,27085156.719272126
2019-01-23,27197673.628973186
2019-01-28,25999487.89641994
2019-01-29,26246568.665389273
2019-02-03,26411014.490215205
2019-02-04,26417005.12317855
2019-02-09,25206185.448618263
2019-02-10,27756461.346488785
2019-02-15,27183975.256971896
2019-02-16,26794432.307923794
2019-02-21,26451465.95424741
2019-02-22,25015446.211342067
2019-02-27,26127331.043835603
2019-02-28,26811041.19611423
2019-03-05,24895013.786995742
2019-03-06,27910659.535283197
2019-03-11,25228077.33747167
2019-03-12,25946075.883514073
2019-03-17,25130375.540151894
2019-03-18,24132189.626127075
2019-03-23,22272573.971122317
2019-03-24,24240558.992717165
2019-03-29,24858802.41019417
2019-03-30,25305513.496835332
2019-04-04,25830559.761142902
2019-04-05,26295842.326557796
2019-04-10,25618053.44320015
