date,value
2018-01-02,4371300
2018-01-15,4741800
2018-01-17,4571600
2018-01-20,4790300
2018-01-27,4953000
2018-02-06,5132900
2018-02-16,5434200
2018-02-21,5313900
2018-03-21,6471300
2018-03-26,6214400
2018-03-28,6178700
2018-04-25,6162600
2018-04-27,6054500
2018-05-02,6311600
2018-05-12,6061100
2018-05-15,6347000
2018-05-17,6231700
2018-06-01,6368300
2018-06-16,6362200
2018-06-24,4410100
2018-06-26,6090400
2018-06-29,4574400
2018-07-06,5839000
2018-07-09,5691500
2018-07-11,5841700
2018-07-16,5945200
2018-07-21,5577900
2018-07-24,5918300
2018-07-26,5688000
2018-07-29,5861000
2018-07-31,5706300
2018-08-03,6043100
2018-08-05,5806000
2018-08-08,5584400
2018-08-10,5552300
2018-08-13,5643200
2018-08-15,5611400
2018-08-18,5694900
2018-08-20,5430100
2018-08-23,5664600
2018-08-25,5515000
2018-08-28,5417300
2018-08-30,5486100
2018-09-02,5221800
2018-09-19,4831400
2018-09-22,4969900
2018-09-24,4844400
2018-09-29,5019900
2018-10-02,4852300
2018-10-04,4658600
2018-10-07,4408300
2018-10-17,4470800
2018-10-29,4630300
2018-11-01,4540500
2018-12-01,5491600
2018-12-06,5438100
2018-12-21,5232500
2018-12-23,5304600
2019-01-02,5011500
2019-01-05,5016200
2019-01-07,5134000
2019-01-10,5084900
2019-01-12,4820700
2019-01-20,4827100
2019-01-25,4601900
2019-02-04,4835700
2019-02-09,4765800
2019-02-11,4830700
2019-02-14,4861600
2019-02-24,4704300
2019-03-03,4778800
2019-03-11,4907200
2019-03-13,5152900
2019-03-16,5067700
2019-03-18,4945400
2019-03-21,4963500
2019-03-23,5025300
2019-03-28,5035100
2019-04-12,5081900
2019-04-25,5502600
2019-04-27,5371800
2019-04-30,5611200
2019-05-02,5398600
2019-05-12,5377000
2019-05-22,5308700
2019-05-27,5121100
2019-06-01,5053400
2019-06-06,5186500
2019-06-09,4339100
2019-06-11,4998100
2019-06-21,5092000
2019-06-24,1338000
2019-06-29,3859600
2019-07-01,4923100
2019-07-06,5152200
2019-07-11,5017300
2019-07-14,4914500
2019-07-16,4810000
2019-07-21,4729800
2019-07-24,4722200
2019-07-29,4372400
2019-07-31,4298400
2019-08-03,4195700
2019-08-05,4081200
2019-08-08,4192200
2019-08-10,4004100
2019-08-13,4067600
2019-08-15,4014800
2019-08-18,3942700
2019-08-20,3866700
2019-08-23,3864500
2019-08-25,3586000
2019-08-28,3752700
2019-08-30,3717100
2019-09-02,3665200
2019-09-07,3648500
2019-09-09,3491500
2019-09-24,3461500
2019-09-27,3452000
2019-09-29,3406700
2019-10-02,3416100
2019-10-09,3324200
2019-10-24,3328100
2019-11-16,3670900
2019-11-18,3681700
2019-12-06,4094900
2019-12-08,4040600
2019-12-28,4871700
2020-01-05,4890400
2020-01-07,4928300
2020-01-10,4942000
2020-01-12,4853800
2020-02-04,5451400
2020-02-11,5298900
2020-02-14,5379300
2020-02-16,5312000
2020-02-19,5277800
2020-02-21,5429800
2020-02-24,5514700
2020-03-07,5430900
2020-03-10,5480700
2020-03-27,5501200
2020-04-19,5908900
2020-05-06,5474700
2020-05-19,5528400
2020-05-21,5624200
2020-05-24,5385400
2020-05-26,5752100
2020-06-03,4525400
2020-06-05,5452000
2020-06-08,4926200
2020-06-10,5439400
2020-06-15,5404300
2020-06-20,5422900
2020-06-28,5418400
2020-06-30,5334100
2020-07-03,2442300
2020-07-05,5282500
2020-07-08,4870800
2020-07-10,5202200
2020-07-13,4968200
2020-07-15,5169400
2020-07-18,5257800
2020-07-20,5009700
2020-07-23,5298900
2020-07-28,5099100
2020-08-02,4926400
2020-08-04,4778000
2020-08-09,4832500
2020-08-14,4461300
2020-08-19,4459300
2020-08-22,4377300
2020-08-24,4312200
2020-08-27,4178600
2020-08-29,3997100
2020-09-03,3905100
2020-09-06,3981000
2020-09-08,3608700
2020-09-21,3675100
2020-09-26,3581900
2020-09-28,3497300
2020-10-03,3554300
2020-10-08,3528200
2020-10-11,3440300
2020-10-13,3330500
2020-10-16,3366000
2020-11-22,4900600
2020-12-02,5524300
2020-12-20,5278100
2020-12-22,5258700
2020-12-27,5222300
2020-12-30,5299400
