date,value
2018-01-03,4272400
2018-01-03,4377900
2018-01-04,4159900
2018-01-09,4626300
2018-01-10,4413000
2018-01-15,4710500
2018-01-15,4823300
2018-01-16,4602400
2018-01-21,4795500
2018-01-21,4918800
2018-01-22,4541800
2018-01-27,4957000
2018-01-27,5040100
2018-01-28,4804300
2018-02-02,5235700
2018-02-03,4827800
2018-02-08,5130500
2018-02-08,5241000
2018-02-09,4934100
2018-02-14,5183700
2018-02-14,5244500
2018-02-15,5064100
2018-02-20,5331900
2018-02-21,5093400
2018-02-26,5241200
2018-02-26,5419900
2018-02-27,5180900
2018-03-04,5797100
2018-03-05,5546600
2018-03-10,5932800
2018-03-11,5713300
2018-03-16,5882500
2018-03-16,5918900
2018-03-17,5735800
2018-03-22,5990200
2018-03-23,5616100
2018-03-28,5771700
2018-04-03,5655600
2018-04-03,5817800
2018-04-04,5555700
2018-04-09,5806800
2018-04-09,5892700
2018-04-10,5558500
2018-04-15,5773100
2018-04-15,5973600
2018-04-16,5521600
2018-04-21,5744300
2018-04-22,5350000
2018-04-27,5616400
2018-04-27,5815400
2018-04-28,5552800
2018-05-03,5623200
2018-05-03,5795800
2018-05-04,5491800
2018-05-09,5583300
2018-05-09,5713300
2018-05-10,5528300
2018-05-15,5599600
2018-05-15,5767200
2018-05-16,5376100
2018-05-21,5662900
2018-05-21,5666900
2018-05-22,5496100
2018-05-27,5800100
2018-05-28,5594000
2018-06-02,5728800
2018-06-03,5503600
2018-06-08,5752900
2018-06-09,5494400
2018-06-14,5732600
2018-06-15,5477400
2018-06-20,5697000
2018-06-21,5236200
2018-06-26,5558400
2018-06-27,5270100
2018-07-02,5636100
2018-07-03,5313900
2018-07-08,5368200
2018-07-09,5152100
2018-07-14,5517700
2018-07-15,5197800
2018-07-20,5371600
2018-07-21,4786800
2018-07-26,5331300
2018-07-27,4990100
2018-08-01,5265500
2018-08-02,5039100
2018-08-07,5358500
2018-08-08,4939100
2018-08-13,5181500
2018-08-14,4964700
2018-08-19,5261100
2018-08-20,4982900
2018-08-25,5185900
2018-08-26,4968100
2018-08-31,5181200
2018-09-01,4792100
2018-09-06,5161000
2018-09-07,4912600
2018-09-12,4984000
2018-09-13,4678100
2018-09-18,5023100
2018-09-19,4779800
2018-09-24,4846800
2018-09-25,4633100
2018-09-30,4765700
2018-10-01,4512600
2018-10-06,4610300
2018-10-07,4309100
2018-10-12,4274800
2018-10-13,4222500
2018-10-18,4539600
2018-10-19,4320900
2018-10-24,4548200
2018-10-25,4239900
2018-10-30,4691500
2018-10-31,4388100
2018-11-05,4697700
2018-11-06,4231200
2018-11-11,4563100
2018-11-12,4392600
2018-11-17,4696400
2018-11-18,4717500
2018-11-23,5471100
2018-11-24,5276500
2018-11-29,5556300
2018-11-30,5415300
2018-12-05,5401000
2018-12-11,5394600
2018-12-11,5302700
2018-12-12,5132800
2018-12-17,5356300
2018-12-18,5253700
2018-12-23,5339600
2018-12-24,5022400
2018-12-29,5308600
2018-12-30,5167700
2019-01-04,5070800
2019-01-05,4931200
2019-01-10,5129100
2019-01-11,4897500
2019-01-16,5013200
2019-01-17,4758800
2019-01-22,4975700
2019-01-23,4617700
2019-01-28,4881200
2019-01-29,4610100
2019-02-03,4841400
2019-02-04,4689500
2019-02-09,4873300
2019-02-10,4611400
2019-02-15,4908100
2019-02-16,4645900
2019-02-21,5038200
2019-02-22,4703200
2019-02-27,5062800
2019-02-28,4820300
2019-03-05,5037100
2019-03-06,5051500
2019-03-11,5124500
2019-03-12,4781000
2019-03-17,5088100
2019-03-18,4907800
2019-03-23,5159000
2019-03-24,4809400
2019-03-29,5041500
2019-03-30,4761800
2019-04-04,5163900
2019-04-05,4845700
2019-04-10,5203700
2019-04-11,5222200
2019-04-16,5073900
2019-04-17,4964000
2019-04-22,5228500
2019-04-23,5064400
2019-04-28,5323500
2019-04-29,4955600
2019-05-04,5304800
2019-05-05,4983400
2019-05-10,5309400
2019-05-11,4938400
2019-05-16,5219300
2019-05-17,4958100
2019-05-22,5027500
2019-05-23,4809300
2019-05-28,5090800
2019-05-29,4738600
2019-06-03,5038700
2019-06-04,4802500
2019-06-09,5102500
2019-06-10,4761000
2019-06-15,4995400
2019-06-16,4699700
2019-06-21,5080500
2019-06-22,4772800
2019-06-27,5003500
2019-06-28,4742500
2019-07-03,4976200
2019-07-04,4686200
2019-07-09,4939600
2019-07-10,4631100
2019-07-15,4750600
2019-07-16,4409700
2019-07-21,4672700
