date,value
2018-01-02,33761144.822944395
2018-01-15,38118315.221009195
2018-01-17,36095084.77363106
2018-01-20,38701481.90958787
2018-01-27,40678982.491629556
2018-02-06,42903028.946081914
2018-02-16,46714228.33371827
2018-02-21,45179718.774355836
2018-03-21,60621513.08564895
2018-03-26,57066190.867044345
2018-03-28,56577758.869285494
2018-04-25,56357939.021341994
2018-04-27,54889337.22723957
2018-05-02,58403033.90472628
2018-05-12,54978635.08996121
2018-05-15,58892438.95464503
2018-05-17,57303379.54954259
2018-06-01,59187559.7636087
2018-06-16,59102991.894243896
2018-06-24,34209224.377655014
2018-06-26,55375640.8992415
2018-06-29,36128074.16448002
2018-07-06,52000087.598094076
2018-07-09,50052443.431064315
2018-07-11,52035967.37706377
2018-07-16,53417492.85569893
2018-07-21,48569232.63080663
2018-07-24,53057282.44226355
2018-07-26,50006526.60353634
2018-07-29,52292678.877520986
2018-07-31,50246759.56661016
2018-08-03,54735208.25676046
2018-08-05,51562217.05791101
2018-08-08,48653702.01551104
2018-08-10,48237024.32598639
2018-08-13,49420020.292440414
2018-08-15,49005092.46853354
2018-08-18,50097061.654201806
2018-08-20,46661652.3034869
2018-08-23,49699897.12443859
2018-08-25,47754334.360150106
2018-08-28,46497638.183407165
2018-08-30,47381448.94025106
2018-09-02,44016397.64741394
2018-09-19,39197950.82905532
2018-09-22,40886246.37594058
2018-09-24,39355418.70396696
2018-09-29,41501483.16624133
2018-10-02,39451212.36576772
2018-10-04,37124740.548690245
2018-10-07,34188394.11804968
2018-10-17,34914110.730409436
2018-10-29,36788759.12571082
2018-11-01,35729335.918993995
2018-12-01,47452339.00670646
2018-12-06,46764257.79494954
2018-12-21,44151035.70271346
2018-12-23,45061796.182170086
2019-01-02,41397911.73618823
2019-01-05,41455851.900985606
2019-01-07,42916747.607235946
2019-01-10,42305807.27926737
2019-01-12,39068498.9437117
2019-01-20,39145911.13779489
2019-01-25,36452604.6658769
2019-02-04,39250013.31308039
2019-02-09,38406527.61565623
2019-02-11,39189477.69792442
2019-02-14,39564080.49074818
2019-02-24,37669419.09825604
2019-03-03,38562941.31200866
2019-03-11,40119034.584516145
2019-03-13,43152684.91818379
2019-03-16,42092475.63958829
2019-03-18,40585888.35341797
2019-03-21,40807715.04987162
2019-03-23,41568109.85070236
2019-03-28,41689114.92645513
2019-04-12,42268572.67176219
2019-04-25,47594223.94306977
2019-04-27,45916163.43903646
2019-04-30,49002486.511975266
2019-05-02,46258366.422973454
2019-05-12,45982495.500202924
2019-05-22,45113771.0353753
2019-05-27,42755956.138747655
2019-06-01,41915383.66346404
2019-06-06,43573180.76249598
2019-06-09,33390767.20978402
2019-06-11,41232867.408028215
2019-06-21,42393972.24313069
2019-06-24,5771581.182109539
2019-06-29,28037987.289695818
2019-07-01,40313136.88412145
2019-07-06,43143938.89483195
2019-07-11,41469416.22362113
2019-07-14,40208112.37544052
2019-07-16,38939188.35015106
2019-07-21,37974477.71774806
2019-07-24,37883473.42644478
2019-07-29,33773821.25750481
2019-07-31,32924551.111670684
2019-08-03,31757784.95773945
2019-08-05,30473435.725286055
2019-08-08,31718266.892466456
2019-08-10,29618508.09962077
2019-08-13,30322049.24872147
2019-08-15,29736675.672879003
2019-08-18,28943433.207062174
2019-08-20,28114976.579712134
2019-08-23,28091113.300074548
2019-08-25,25124882.142036624
2019-08-28,26887266.710735656
2019-08-30,26507595.67865817
2019-09-02,25957286.701489788
2019-09-07,25781023.50455624
2019-09-09,24143452.50498156
2019-09-24,23834594.200740866
2019-09-27,23737062.773323093
2019-09-29,23273810.066600505
2019-10-02,23369689.841342703
2019-10-09,22437913.12314476
2019-10-24,22477200.788670477
2019-11-16,26017538.989878885
2019-11-18,26131827.472871903
2019-12-06,30626186.491703138
2019-12-08,30022240.34867939
2019-12-28,39686778.0851046
2020-01-05,39914281.30598308
2020-01-07,40376683.889654696
2020-01-10,40544263.752670124
2020-01-12,39469409.709220834
2020-02-04,46935003.820815355
2020-02-11,44989571.294575416
2020-02-14,46011844.75167102
2020-02-16,45155618.802167386
2020-02-19,44722545.22434341
2020-02-21,46657806.04350371
2020-02-24,47750458.62830997
2020-03-07,46671909.507907376
2020-03-10,47311881.79455801
2020-03-27,47576158.10321778
2020-04-19,52931599.27708818
2020-05-06,47234624.50950482
2020-05-19,47927556.133535735
2020-05-21,49171968.70492444
2020-05-24,46089713.97194057
2020-05-26,50849659.777846955
2020-06-03,35552197.174959935
2020-06-05,46942711.485547304
2020-06-08,40351016.70269442
2020-06-10,46780938.20589324
2020-06-15,46331256.39171297
