date,value
2018-06-18,13872000
2018-06-23,14182600
2018-06-28,13959600
2018-07-03,13955900
2018-07-08,13684000
2018-07-13,13906400
2018-07-18,13655900
2018-07-23,13584600
2018-07-28,13269800
2018-08-02,13293800
2018-08-12,13032500
2018-08-17,12640600
2018-08-22,12783700
2018-08-27,12594500
2018-09-16,12162400
2018-09-21,12096100
2018-10-01,11869300
2019-02-28,12511700
2019-03-10,12501200
2019-03-15,12515500
2019-03-25,12548500
2019-03-30,12454600
2019-04-04,12203400
2019-04-14,12682900
2019-05-04,13184500
2019-05-14,13048600
2019-05-29,12813100
2019-06-03,12546400
2019-06-08,12194900
2019-06-13,12261500
2019-06-18,11845100
2019-06-23,11594200
2019-06-28,11718500
2019-07-03,11502400
2019-07-08,11214800
2019-07-18,10966000
2019-08-02,10227500
2019-08-17,9604000
2019-09-01,9067200
2019-09-26,8796400
2019-10-06,8532400
2019-10-11,8455600
2019-10-16,8459400
2020-04-18,12009100
2020-05-03,12589300
2020-05-08,12560100
2020-05-28,12893800
2020-07-02,12013200
2020-07-07,11833900
2020-07-17,11349200
2020-07-22,11032300
2020-08-16,9684800
2020-08-21,9370500
2020-08-26,9050200
2020-08-31,8964500
2020-09-05,8637600
2020-09-10,8448600
2020-09-25,8154000
2020-10-10,8117100
