date,value
2018-01-05,7739000
2018-01-06,7405300
2018-01-11,7573700
2018-01-12,7461200
2018-01-17,7630900
2018-01-18,7519200
2018-01-23,7619200
2018-01-24,7502400
2018-01-29,7719300
2018-01-30,7649700
2018-02-04,7901500
2018-02-05,7775800
2018-02-10,7905200
2018-02-11,7811300
2018-02-16,7954000
2018-02-17,7829800
2018-02-22,7924300
2018-02-23,7837100
2018-02-28,8131600
2018-03-01,8007700
2018-03-06,8455000
2018-03-07,8402300
2018-03-12,8853600
2018-03-13,8759200
2018-03-18,9479500
2018-03-19,10236100
2018-03-24,10747300
2018-03-25,10678100
2018-03-30,11462700
2018-03-31,11385500
2018-04-05,11797000
2018-04-06,11673100
2018-04-11,12242700
2018-04-12,12208000
2018-04-17,12683900
2018-04-18,12594500
2018-04-23,13122000
2018-04-24,13006400
2018-04-29,13187700
2018-04-30,13088500
2018-05-05,13315900
2018-05-06,13206200
2018-05-11,13485400
2018-05-12,13403300
2018-05-17,13617300
2018-05-18,13519300
2018-05-23,13659700
2018-05-24,13547100
2018-05-29,13783800
2018-05-30,13695400
2018-06-04,13912600
2018-06-05,13777400
2018-06-10,13921500
2018-06-11,13797100
2018-06-16,13894100
2018-06-17,13741200
2018-06-22,13896000
2018-06-23,13586100
2018-06-28,13674000
2018-06-29,13525700
2018-07-04,13489800
2018-07-05,13388600
2018-07-10,13416900
2018-07-11,13263100
2018-07-16,13195800
2018-07-17,13073600
2018-07-22,13107100
2018-07-23,12944600
2018-07-28,12890400
2018-07-29,12771100
2018-08-03,12821000
2018-08-04,12641500
2018-08-09,12567300
2018-08-10,12452300
2018-08-15,12482900
2018-08-16,12310100
2018-08-21,12219600
2018-08-22,12061000
2018-08-27,12112700
2018-08-28,11912800
2018-09-02,11854800
2018-09-03,11719300
2018-09-08,11778600
2018-09-09,11655900
2018-09-14,11616900
2018-09-15,11504200
2018-09-20,11586200
2018-09-21,11430200
2018-09-26,11570300
2018-09-27,11481200
2018-10-02,11611900
2018-10-03,11453800
2018-10-08,11382200
2018-10-14,10978800
2018-10-15,11384200
2018-10-20,11348000
2018-10-21,11245300
2018-10-26,11286200
2018-10-27,11172600
2018-11-01,11311600
2018-11-02,11231500
2018-11-07,11449000
2018-11-08,11290600
2018-11-13,11406700
2018-11-14,11299700
2018-11-19,11448900
2018-11-20,11318000
2018-11-25,11483600
2018-11-26,11427100
2018-12-01,11617700
2018-12-02,11476900
2018-12-07,11530400
2018-12-08,11429800
2018-12-13,11597700
2018-12-14,11526000
2018-12-19,11766500
2018-12-20,11610100
2018-12-25,11626000
2018-12-26,11507000
2019-01-01,11574300
2019-01-06,11743900
2019-01-07,11617700
2019-01-12,11520200
2019-01-13,11535000
2019-01-18,11602400
2019-01-18,11395200
