date,value
2018-01-05,122529111.79921022
2018-01-06,112657383.06194453
2018-01-11,117589851.45882991
2018-01-12,114283565.72124873
2018-01-17,119288091.33220889
2018-01-18,115982543.38229345
2018-01-23,118939782.6546557
2018-01-24,115489199.93087268
2018-01-29,121935396.19222787
2018-01-30,119848780.52153707
2018-02-04,127478756.89449471
2018-02-05,123641855.38372758
2018-02-10,127592540.80553271
2018-02-11,124719819.7602127
2018-02-16,129097771.93429789
2018-02-17,125283338.25050993
2018-02-22,128180679.10235018
2018-02-23,125506031.78277679
2018-02-28,134646599.50372332
2018-03-01,130763836.10352416
2018-03-06,145035293.52753383
2018-03-07,143317378.6937189
2018-03-12,158343429.79498702
2018-03-13,155141527.1339648
2018-03-18,211157116.73200667
2018-03-19,208779660.559612
2018-03-24,229098602.0778801
2018-03-25,226295625.4524695
2018-03-30,259035234.75037462
2018-03-31,255720711.23582685
2018-04-05,273622040.8933311
2018-04-06,268171515.61621535
2018-04-11,293659376.888821
2018-04-12,292075224.1098255
2018-04-17,314156061.3766474
2018-04-18,309949761.9960134
2018-04-23,335157932.4620172
2018-04-24,329553527.6124344
2018-04-29,338363146.7016962
2018-04-30,333529196.7597451
2018-05-05,344659193.169836
2018-05-06,339268296.1628505
2018-05-11,353068169.5536449
2018-05-12,348983119.20286
2018-05-17,359678408.03760314
2018-05-18,354761521.7297357
2018-05-23,361815680.4638429
2018-05-24,356153043.75217295
2018-05-29,368105807.47635084
2018-05-30,363619889.6107555
2018-06-04,374688623.4338294
2018-06-05,367780157.44509417
2018-06-10,375145539.870627
2018-06-11,368782987.0421015
2018-06-16,373739700.1647297
2018-06-17,365940778.29068816
2018-06-22,373837104.4537955
2018-06-23,358109542.070495
2018-06-28,362537862.8167672
2018-06-29,355081642.71494424
2018-07-04,353287738.2120203
2018-07-05,348254076.399411
2018-07-10,349658253.0350967
2018-07-11,342059444.3510693
2018-07-16,338759313.9493795
2018-07-17,332805985.69589746
2018-07-22,334433044.10811996
2018-07-23,326575830.9039625
2018-07-28,323974898.3811142
2018-07-29,318284802.08149505
2018-08-03,320658987.31542903
2018-08-04,312157767.9957611
2018-08-09,308675340.5681341
2018-08-10,303314750.55378366
2018-08-15,304736775.2956718
