date,value
2018-01-05,4016300
2018-01-06,4016300
2018-01-10,4016300
2018-01-11,3790400
2018-01-12,3790400
2018-01-17,3895900
2018-01-18,3799600
2018-01-22,4035800
2018-01-23,3743900
2018-01-24,3743900
2018-01-29,3838600
2018-01-30,3747000
2018-02-03,4098400
2018-02-04,3823100
2018-02-05,3823100
2018-02-10,3923100
2018-02-11,3825300
2018-02-15,4090900
2018-02-16,3783700
2018-02-17,3783700
2018-02-22,4036300
2018-02-23,3794600
2018-02-27,4068500
2018-02-28,3895500
2018-03-01,3895500
2018-03-06,6751500
2018-03-07,6365700
2018-03-11,6868900
2018-03-12,6797800
2018-03-13,6797800
2018-03-18,10287100
2018-03-19,10213900
2018-03-23,10832400
2018-03-24,10642800
2018-03-25,10642800
2018-03-29,11071800
2018-03-30,11305200
2018-03-31,10965100
2018-04-04,11232500
2018-04-05,10946000
2018-04-06,10946000
2018-04-10,10990300
2018-04-11,11389600
2018-04-12,11110800
2018-04-16,11510800
2018-04-17,11222500
2018-04-18,11222500
2018-04-22,11333900
2018-04-23,11623600
2018-04-24,11249700
2018-04-28,11549300
2018-04-29,11124200
2018-04-30,11124200
2018-05-04,10220600
2018-05-05,11591300
2018-05-06,11196600
2018-05-10,11584700
2018-05-11,11290000
2018-05-12,11290000
2018-05-16,11332500
2018-05-17,11489600
2018-05-18,11217900
2018-05-22,11451700
2018-05-23,11113300
2018-05-24,11113300
2018-05-28,11053200
2018-05-29,11272700
2018-05-30,11056500
2018-06-03,11390100
2018-06-04,11061800
2018-06-05,11061800
2018-06-09,11067700
2018-06-10,11283800
2018-06-11,10973200
2018-06-15,11210400
2018-06-16,10844400
2018-06-17,10844400
2018-06-22,10840300
2018-06-23,10840300
2018-06-27,10840300
2018-06-28,10489600
2018-06-29,10489600
2018-07-04,10365800
2018-07-05,10088300
2018-07-09,10326200
2018-07-10,9886900
2018-07-11,9886900
2018-07-16,9722300
2018-07-17,9391100
2018-07-21,9615000
2018-07-22,9171800
2018-07-23,9171800
2018-07-28,8951400
2018-07-29,8647000
2018-08-02,8969600
