date,value
2018-04-19,7406200
2018-05-04,7940800
2018-05-14,7873100
2018-06-13,7105000
2018-06-23,7064700
2018-06-26,4080600
2018-07-03,6682900
2018-07-08,6597200
2018-07-13,6574000
2018-07-18,6421100
2018-07-21,4636300
2018-07-23,6446000
2018-07-28,6446600
2018-08-02,6170900
2018-08-07,6050800
2018-08-10,5700900
2018-08-12,5966200
2018-08-17,5923400
2018-08-22,5718400
2018-08-27,6144100
2018-08-30,5228400
2018-09-01,5585800
2018-09-21,4973100
2018-09-26,4567200
2018-09-29,4898900
2018-10-06,5034500
2019-02-21,5272900
2019-02-26,5109500
2019-03-03,5090600
2019-03-10,5234200
2019-03-15,5259000
2019-03-18,4932000
2019-03-25,5003200
2019-03-28,4996700
2019-04-04,5061300
2019-04-14,4755000
2019-05-04,4795200
2019-05-14,4819500
2019-05-29,4105100
2019-06-11,884500
2019-06-18,3743300
2019-06-23,3649600
2019-06-28,3763000
2019-07-03,3646200
2019-07-08,3524400
2019-07-13,3507900
2019-07-18,3618900
2019-07-23,3499800
2019-08-02,3691400
2019-08-12,3666600
2019-08-17,3622500
2019-08-22,3624200
2019-08-27,3586700
2019-09-01,3641300
2019-09-06,3624600
2019-09-16,3774300
2019-09-19,3601800
2019-09-24,3664700
2019-09-26,3609000
2019-10-01,3600000
2019-10-04,3624800
2019-10-06,3554100
2019-10-16,3677700
2019-10-26,3632300
2020-02-16,5263800
2020-02-18,5067700
2020-02-21,5112900
2020-02-23,5155800
2020-02-28,5198300
2020-05-08,5200600
2020-05-18,5274700
2020-05-28,5056400
2020-06-22,4753500
2020-06-30,2673600
2020-07-02,4450200
2020-07-07,4359800
2020-07-15,2960800
2020-07-17,4033600
2020-07-20,3432100
2020-07-22,3850700
2020-07-27,3785000
2020-07-30,3648600
2020-08-01,3831600
2020-08-06,3659000
2020-08-09,3531200
2020-08-16,3695900
2020-08-19,3578600
2020-08-21,3630500
2020-08-26,3584500
2020-08-29,3567700
2020-08-31,3549000
2020-09-05,3653900
2020-09-10,3677600
2020-09-25,3631700
2020-09-28,3647800
2020-10-10,3570000
2020-10-15,3587000
2020-10-30,3709100
