date,value
2018-01-05,2990100
2018-01-10,2990100
2018-01-10,2815500
2018-01-11,2911400
2018-01-17,2927600
2018-01-22,3032900
2018-01-22,2888100
2018-01-23,2946000
2018-01-29,2934100
2018-02-03,2970400
2018-02-03,2810500
2018-02-04,2970100
2018-02-10,2934500
2018-02-15,2937100
2018-02-15,2803100
2018-02-16,2869100
2018-02-22,2818900
2018-02-27,2800600
2018-02-27,2726200
2018-02-28,2955000
2018-03-06,3988900
2018-03-11,4339400
2018-03-12,5086000
2018-03-17,5617200
2018-03-18,6336500
2018-03-23,6775800
2018-03-24,6989900
2018-03-29,7103000
2018-03-30,7247500
2018-04-04,7372000
2018-04-05,7155100
2018-04-10,7516200
2018-04-11,7457200
2018-04-16,7503000
2018-04-17,7641400
2018-04-22,7833800
2018-04-23,7664600
2018-04-28,7838900
2018-04-28,7495600
2018-04-29,7659400
2018-05-04,7767400
2018-05-05,7670400
2018-05-10,7841300
2018-05-10,7604500
2018-05-11,7783100
2018-05-16,8028500
2018-05-17,7666500
2018-05-22,7652400
2018-05-23,7237800
2018-05-28,7179700
2018-05-29,7860000
2018-06-03,7916200
2018-06-04,7672400
2018-06-09,7779100
2018-06-10,7510900
2018-06-15,7558000
2018-06-15,7219800
2018-06-16,7314800
2018-06-22,7036400
2018-06-27,7036400
2018-06-27,6732400
2018-06-28,6868700
2018-07-04,6668200
2018-07-09,6378000
2018-07-10,6535000
2018-07-16,6377400
2018-07-21,6366400
2018-07-21,6091200
2018-07-22,6210100
2018-07-28,6055800
2018-08-02,5778800
2018-08-03,5912600
2018-08-09,5777700
2018-08-14,5473100
2018-08-15,5592000
2018-08-21,5328800
2018-08-26,5168900
2018-08-26,4960700
2018-08-27,5113000
2018-09-02,4997600
2018-09-07,4812300
2018-09-08,4885800
2018-09-14,4951600
2018-09-19,4713000
2018-09-20,4759700
2018-09-26,4417900
2018-10-01,4075500
2018-10-02,4267400
2018-10-08,4185500
2018-10-13,4165600
2018-10-13,4043800
2018-10-14,4210200
2018-10-20,4393800
2018-10-25,4326700
2018-10-26,4393500
2018-11-01,4439500
2018-11-06,4469000
2018-11-07,4569900
2018-11-13,4583300
2018-11-18,4660100
2018-11-18,4513100
2018-11-19,4623600
2018-11-25,4634900
2018-11-30,4513000
2018-12-01,4612600
2018-12-06,4671600
2018-12-07,4740100
2018-12-12,4758900
2018-12-13,4595900
2018-12-19,4756500
2018-12-24,4652400
2018-12-25,4716700
2019-01-05,4888700
2019-01-06,4914700
2019-01-11,4742800
2019-01-12,4591500
2019-01-17,4759100
2019-01-18,4635200
2019-01-23,4883300
2019-01-24,4741800
2019-01-29,5019900
2019-01-30,4820600
2019-02-04,4934700
2019-02-05,4799800
2019-02-10,4922700
2019-02-11,4805100
2019-02-16,4921600
2019-02-17,4788300
2019-02-22,4900500
2019-02-23,4761800
2019-02-28,4872900
2019-03-01,4787200
2019-03-06,4965200
2019-03-07,4906400
2019-03-12,5087400
2019-03-13,4957800
2019-03-18,4955800
2019-03-19,4810100
2019-03-24,4745900
2019-03-25,4616600
2019-03-30,4702100
2019-03-31,4563400
2019-04-05,4680700
2019-04-06,4524700
2019-04-11,4608200
2019-04-12,4489300
2019-04-17,4549000
2019-04-18,4442600
2019-04-23,4714500
2019-04-24,4600300
2019-04-29,4584300
2019-04-30,4511200
2019-05-05,4621300
2019-05-06,4516200
2019-05-11,4524400
2019-05-12,4400200
2019-05-17,4413100
2019-05-18,4273500
2019-05-23,4291100
2019-05-24,4033900
2019-05-29,4213500
2019-05-30,4043400
2019-06-04,3903300
2019-06-05,3699900
2019-06-10,3734700
2019-06-11,3555500
2019-06-16,3585700
2019-06-17,3354200
2019-06-22,3353000
2019-06-23,3424400
2019-06-28,3285500
2019-06-29,3026600
2019-07-04,3195100
2019-07-05,3326800
2019-07-10,3204400
2019-07-11,3032100
2019-07-16,3120700
2019-07-17,3036700
2019-07-22,3278000
2019-07-23,3098900
2019-07-28,3230100
2019-07-29,3039600
2019-08-03,3193200
2019-08-04,3024000
2019-08-09,3197200
2019-08-10,3020900
2019-08-15,3169800
2019-08-16,3004000
2019-08-21,3075000
2019-08-22,2965000
2019-08-27,3066100
2019-08-28,2923600
2019-09-02,3092600
2019-09-03,2951000
2019-09-08,3163600
2019-09-09,3010400
2019-09-14,3060400
2019-09-15,2895800
2019-09-20,2865600
2019-09-21,2826400
2019-09-26,2909200
2019-09-27,2788900
2019-10-02,2846800
2019-10-03,2762400
2019-10-08,2941400
2019-10-09,2821900
2019-10-14,3071400
2019-10-15,2904900
2019-10-20,3101800
2019-10-21,2920100
2019-10-26,2937100
2019-10-27,2805900
2019-11-01,2856700
2019-11-02,2690900
2019-11-07,2921400
2019-11-08,2821000
2019-11-13,2928300
2019-11-14,2869100
2019-11-19,2907200
2019-11-20,2890500
2019-11-25,3021200
2019-11-26,3014300
2019-12-01,3160600
2019-12-02,3145200
2019-12-07,3252600
2019-12-08,3205800
2019-12-13,3310300
2019-12-14,3249800
2019-12-19,3407600
2019-12-20,3400000
2019-12-25,3908100
2019-12-26,4473900
2020-01-01,4341900
2020-01-06,4994900
2020-01-07,4829400
2020-01-12,4917700
2020-01-13,4812300
2020-01-18,4902700
2020-01-19,4907500
2020-01-24,5117100
2020-01-25,4992000
2020-01-30,5075700
2020-01-31,4994500
2020-02-05,5147600
2020-02-06,5045600
2020-02-11,5177900
2020-02-12,5092400
2020-02-17,5192900
2020-02-18,5110800
2020-02-23,5164300
2020-02-24,5074600
2020-02-29,5191300
2020-03-01,5075700
2020-03-06,5288700
2020-03-07,5110100
2020-03-12,5162000
2020-03-13,4993800
2020-03-18,4974500
2020-03-19,4829100
2020-03-24,4918900
2020-03-25,4797900
2020-03-30,4924800
2020-03-31,4782300
2020-04-05,4869900
2020-04-06,4834200
2020-04-11,4862400
2020-04-12,4961100
2020-04-17,4876600
2020-04-18,4975100
2020-04-23,5020600
2020-04-24,4946400
2020-04-29,5046300
2020-04-30,4975500
2020-05-05,5057700
2020-05-06,4964100
2020-05-11,5005900
2020-05-12,4959600
