date,value
2018-04-19,163625333.9889696
2018-05-04,181607402.1924282
2018-05-14,179295991.9542235
2018-06-13,153771248.1645719
2018-06-23,152468249.964569
2018-06-26,67076703.87248973
2018-07-03,140307897.37967104
2018-07-08,137624708.8849623
2018-07-13,136901297.65304
2018-07-18,132165396.16456532
2018-07-21,81193773.01226869
2018-07-23,132932871.73511235
2018-07-28,132951383.2956745
2018-08-02,124536007.42389467
2018-08-07,120927556.63425864
2018-08-10,110617534.11781433
2018-08-12,118406919.37073113
2018-08-17,117138425.42580007
2018-08-22,111125914.30047204
2018-08-27,123727744.76632787
2018-08-30,97187699.08992702
2018-09-01,107293174.89232142
2018-09-21,90174811.09917398
2018-09-26,79390105.2613746
2018-09-29,88169473.4861273
2018-10-06,91845483.00003192
2019-02-21,98427798.94625305
2019-02-26,93899954.1635587
2019-03-03,93380808.0608371
2019-03-10,97349034.4662739
2019-03-15,98039882.17976166
2019-03-18,89062190.20484337
2019-03-25,90992550.63237666
2019-03-28,90815755.21066704
2019-04-04,92577883.12142053
2019-04-14,84323301.02349788
2019-05-04,85392038.84628156
2019-05-14,86040227.8047248
2019-05-29,67680095.12735827
2019-06-11,6810359.865338353
2019-06-18,58954432.335937716
2019-06-23,56760491.0022226
2019-06-28,59419197.65161825
2019-07-03,56681401.45461565
2019-07-08,53872390.74888206
2019-07-13,53495513.67856457
2019-07-18,56047686.16957048
2019-07-23,53310822.57919433
2019-08-02,57735809.29715301
2019-08-12,57156486.7382297
2019-08-17,56131117.73539824
2019-08-22,56170530.275793314
2019-08-27,55303270.057871774
2019-09-01,56567483.799310766
2019-09-06,56179805.14763379
2019-09-16,59686334.528125845
2019-09-19,55651948.64997592
2019-09-24,57112183.09511435
2019-09-26,55818461.64709652
2019-10-01,55610346.17949052
2019-10-04,56184442.77395143
2019-10-06,54552976.149206586
2019-10-16,57415540.81430137
2019-10-26,56358445.35524611
2020-02-16,98173781.63241845
2020-02-18,92753069.7522882
2020-02-21,93993446.76071148
2020-02-23,95175749.7497365
2020-02-28,96351850.67965129
2020-05-08,96415634.99212755
2020-05-18,98478069.90633452
2020-05-28,92443830.09951667
2020-06-22,84283509.18304877
2020-06-30,35633602.058788866
2020-07-02,76366941.12205108
2020-07-07,74057893.63531175
2020-07-15,41509993.686311215
2020-07-17,65924205.245768934
2020-07-20,51775480.79391113
2020-07-22,61502849.78452828
2020-07-27,59939653.107774906
2020-07-30,56737225.575059965
2020-08-01,61047029.5971517
2020-08-06,56979340.53044451
2020-08-09,54027964.864631526
2020-08-16,57841135.78256747
2020-08-19,55116530.19343499
2020-08-21,56316668.46730829
2020-08-26,55252529.87467166
2020-08-29,54865569.03379501
2020-08-31,54435906.578468755
2020-09-05,56860568.367814064
2020-09-10,57413205.26036092
2020-09-25,56344518.58465403
2020-09-28,56718615.51047019
2020-10-10,54918492.52570399
2020-10-15,55310190.37016251
2020-10-30,58150460.406982124
