date,value
2018-01-05,42126040.51337629
2018-01-10,42126040.51337629
2018-01-10,38499861.11584048
2018-01-11,40478172.903114565
2018-01-17,40815593.8792105
2018-01-22,43031322.18718865
2018-01-22,39994501.311896205
2018-01-23,41199962.21325408
2018-01-29,40951239.69417872
2018-02-03,41711506.84355201
2018-02-03,38397620.86073254
2018-02-04,41705204.66084821
2018-02-10,40959592.001916744
2018-02-15,41013895.76616203
2018-02-15,38246470.81011767
2018-02-16,39601520.48247209
2018-02-22,38569435.96042469
2018-02-27,38195451.29046821
2018-02-27,36687493.13530341
2018-02-28,41388403.047517926
2018-03-06,64834267.375496544
2018-03-11,73540084.21848612
2018-03-12,93254599.50405161
2018-03-17,108196742.2408091
2018-03-18,129568863.77518483
2018-03-23,143235848.3804795
2018-03-24,150059548.43372634
2018-03-29,153706496.57993013
2018-03-30,158407994.4627881
2018-04-04,162496258.8837898
2018-04-05,155396222.1231372
2018-04-10,167274388.42450958
2018-04-11,165313849.9940988
2018-04-16,166835094.22918826
2018-04-17,171460016.53358856
2018-04-22,177958723.53050607
2018-04-23,172239387.66291156
2018-04-28,178132074.6929425
2018-04-28,166588990.84160382
2018-04-29,172064599.1442188
2018-05-04,175706874.2689775
2018-05-05,172434413.49155548
2018-05-10,178213671.07233742
2018-05-10,170222830.24911508
2018-05-11,176238455.9299236
2018-05-16,184616209.11425507
2018-05-17,172303267.37475207
2018-05-22,171829399.84539938
2018-05-23,158090923.8001102
2018-05-28,156196184.34344447
2018-05-29,178849867.0446376
2018-06-03,180766374.9127749
2018-06-04,172501680.7427058
2018-06-09,176102970.57108495
2018-06-10,167097959.13075542
2018-06-15,168668010.83227536
2018-06-15,157503103.65099305
2018-06-16,160613667.35560742
2018-06-22,151555441.1627752
2018-06-27,151555441.1627752
2018-06-27,141865505.1868714
2018-06-28,146183780.1807197
2018-07-04,139846434.17171484
2018-07-09,130840441.96818301
2018-07-10,135688070.72507468
2018-07-16,130822028.3863824
2018-07-21,130484598.38110761
2018-07-21,122137461.66612914
2018-07-22,125721380.68055284
2018-07-28,121077080.71420507
2018-08-02,112886477.49885698
2018-08-03,116819054.58975293
2018-08-09,112854332.30056559
2018-08-14,104070888.10627355
2018-08-15,107471387.15773095
2018-08-21,99992956.57990122
