date,value
2018-02-13,2489600
2018-02-15,2489600
2018-02-18,2507300
2018-02-20,2507300
2018-04-19,3846600
2018-04-21,3849800
2018-04-24,3824500
2018-05-04,3879000
2018-06-18,4142200
2018-06-20,4142200
2018-06-23,4029900
2018-06-25,4029900
2018-06-28,4085500
2018-06-30,4085500
2018-07-03,4025500
2018-07-05,4031100
2018-07-08,4023700
2018-07-10,4052400
2018-07-13,3976100
2018-07-15,4041800
2018-07-18,3951900
2018-07-20,3974000
2018-07-23,3920300
2018-07-25,3967200
2018-07-28,3881000
2018-07-30,3930600
2018-08-02,3834300
2018-08-04,3867200
2018-08-07,3819800
2018-08-09,3836500
2018-08-12,3763600
2018-08-14,3820800
2018-08-17,3780800
2018-08-19,3837200
2018-08-22,3739300
2018-08-24,3817000
2018-08-27,3691900
2018-08-29,3715600
2018-09-01,3635500
2018-09-03,3678800
2018-09-06,3618700
2018-09-08,3668700
2018-09-16,3630400
2018-09-18,3615900
2018-09-21,3681200
2018-09-23,3681200
2018-09-26,3674400
2018-09-28,3645300
2018-10-01,3600000
2018-10-06,3533300
2018-10-08,3541300
2018-10-13,3520900
2018-10-16,3520900
2019-02-03,4079300
2019-02-05,4079300
2019-02-08,4136900
2019-02-10,4136900
2019-02-13,4086200
2019-02-15,4157200
2019-02-18,4157200
2019-02-20,4097600
2019-02-23,4097600
2019-02-28,4148800
2019-03-02,4148800
2019-03-07,4148800
2019-03-10,4202800
2019-03-12,4189800
2019-03-15,4250300
2019-03-17,4250300
2019-03-20,4250300
2019-03-22,4240400
2019-03-25,4249700
2019-03-30,4222400
2019-04-01,4222400
2019-04-04,4212800
2019-04-06,4230800
2019-04-09,4230800
2019-04-11,4194500
2019-04-14,4303200
2019-04-16,4294000
2019-04-19,4294000
2019-04-24,4294000
2019-04-29,4290300
2019-05-01,4290300
2019-05-04,4389300
2019-05-06,4389300
2019-05-09,4331500
2019-05-11,4390500
2019-05-14,4355400
2019-05-16,4348200
2019-05-19,4320300
2019-05-24,4372300
2019-05-26,4301600
2019-05-29,4320300
2019-06-13,4257600
2019-06-15,4257600
2019-06-18,4297900
2019-06-20,4297900
2019-06-23,4190600
2019-06-25,4223100
2019-06-28,4137000
2019-07-03,4149200
2019-07-05,4149200
2019-07-08,4152800
2019-07-10,4152800
2019-07-13,4066200
2019-07-15,4071200
2019-07-18,4011400
2019-07-20,4037500
2019-07-23,4037500
2019-07-25,4014400
2019-07-28,4014400
2019-07-30,3883800
2019-08-02,3931200
2019-08-04,3931200
2019-08-07,3929800
2019-08-09,3890400
2019-08-12,3890400
2019-08-17,3769700
2019-08-19,3768100
2019-08-22,3777100
2019-08-24,3777100
2019-08-27,3693400
2019-09-01,3643900
2019-09-03,3647100
2019-09-06,3574300
2019-09-11,3549400
2019-09-16,3535700
2019-09-18,3601300
2019-09-26,3613600
2019-09-28,3600700
2019-10-01,3631300
2019-10-03,3631300
2019-10-06,3579200
2019-10-08,3603500
2019-10-11,3599700
2019-10-13,3562600
2019-10-16,3558200
2019-10-18,3496700
2019-10-21,3517300
2019-10-23,3522400
2019-10-26,3526100
2019-10-31,3518900
2019-11-02,3507500
2019-11-05,3508400
2019-11-30,3606500
2019-12-02,3606500
2019-12-05,3621500
2019-12-07,3621500
2019-12-10,3619800
2020-01-29,3784800
2020-01-31,3784800
2020-02-03,3791900
2020-02-05,3794500
2020-02-08,3781000
2020-02-10,3767900
2020-02-23,3860300
2020-02-25,3860300
2020-02-28,3906800
2020-03-01,3934000
2020-03-04,3887100
2020-03-09,3946200
2020-03-11,3899500
2020-03-14,3959300
2020-03-16,3956400
2020-03-19,3956400
2020-03-21,3956400
2020-03-24,3962200
2020-05-03,4016700
2020-05-05,4016700
2020-05-08,4080700
2020-05-10,4080700
2020-05-13,4079300
2020-05-15,4028400
2020-05-18,4079500
2020-05-20,4069000
2020-05-23,4113400
2020-05-25,4114700
2020-05-28,4056800
2020-05-30,4102700
2020-06-02,4102700
2020-06-04,4027400
2020-06-07,4027400
2020-06-17,3992200
2020-06-19,3991400
2020-06-22,3832700
2020-06-24,3832700
2020-06-27,3954600
2020-06-29,3954600
2020-07-02,3887900
2020-07-04,3930000
2020-07-07,3881700
2020-07-09,3934600
2020-07-12,3934600
2020-07-14,3885700
2020-07-17,3886700
2020-07-19,3722100
2020-07-22,3745700
2020-07-24,3745700
2020-07-27,3667500
2020-07-29,3688100
2020-08-03,3616100
2020-08-06,3624500
2020-08-08,3489100
2020-08-13,3489100
2020-08-16,3537800
2020-08-18,3436100
2020-08-21,3455600
2020-08-23,3455600
2020-08-26,3372700
2020-08-28,3393000
2020-08-31,3322800
2020-09-02,3367000
2020-09-05,3280100
2020-09-07,3294600
2020-09-10,3224300
2020-09-12,3259700
2020-09-15,3218300
2020-09-17,3211400
2020-09-20,3173900
2020-09-25,3152300
2020-09-27,3165800
2020-09-30,3165800
2020-10-05,3134900
2020-10-15,2988900
2020-10-17,2943200
2020-10-25,2943300
2020-10-27,2873500
2020-10-30,2948000
2020-11-01,2948000
2020-11-04,2948000
2020-11-06,2947400
2020-11-09,2974100
2020-11-19,3062600
2020-11-21,3040400
2020-11-24,3040400
2020-11-29,3042600
