date,value
2018-01-04,3957000
2018-01-05,4913900
2018-01-06,4290600
2018-01-10,4428200
2018-01-11,4349300
2018-01-12,4349300
2018-01-16,3959500
2018-01-17,4023900
2018-01-18,3774100
2018-01-22,3261700
2018-01-23,3209300
2018-01-24,3209300
2018-01-28,4030800
2018-01-29,4760900
2018-01-30,4422100
2018-02-03,4832000
2018-02-04,4720400
2018-02-05,4720400
2018-02-09,4278500
2018-02-10,4439600
2018-02-11,4262500
2018-02-15,4083200
2018-02-16,3780400
2018-02-17,3780400
2018-02-21,3413000
2018-02-22,3920000
2018-02-23,3824400
2018-02-27,4299200
2018-02-28,4084600
2018-03-01,4084600
2018-03-05,4116100
2018-03-06,4274500
2018-03-07,4103200
2018-03-11,4290600
2018-03-12,4167500
2018-03-13,4167500
2018-03-17,4287700
2018-03-18,4542300
2018-03-19,4294300
2018-03-23,4591000
2018-03-24,4451600
2018-03-25,4451600
2018-03-29,4544700
2018-03-30,4768500
2018-03-31,4612900
2018-04-04,4567900
2018-04-05,4374600
2018-04-06,4374600
2018-04-10,4165900
2018-04-11,4396800
2018-04-12,4272700
2018-04-16,4501700
2018-04-17,4213600
2018-04-18,4213600
2018-04-22,4042000
2018-04-23,4114200
2018-04-24,4052300
2018-04-28,4205200
2018-04-29,4172200
2018-04-30,4172200
2018-05-04,4266700
2018-05-05,4303300
2018-05-06,4126400
2018-05-10,4050600
2018-05-11,4001400
2018-05-12,4001400
2018-05-16,4081400
2018-05-17,4207200
2018-05-18,4145200
2018-05-23,4343000
2018-05-24,4343000
2018-05-28,4395800
2018-05-29,4438300
2018-05-30,4438300
2018-06-03,4412300
2018-06-04,4358400
2018-06-05,4358400
2018-06-09,4256000
2018-06-10,4499500
2018-06-11,4375600
2018-06-15,4377500
2018-06-16,4243700
2018-06-17,4243700
2018-06-21,3943600
2018-06-22,4137100
2018-06-23,3992200
2018-06-27,4035500
2018-06-28,4019700
2018-06-29,4019700
2018-07-03,4025700
2018-07-04,4343800
2018-07-05,4212700
2018-07-09,4277300
2018-07-10,4208800
2018-07-11,4208800
2018-07-15,4134400
2018-07-16,4217100
2018-07-17,4164500
2018-07-21,4213900
2018-07-22,4106300
2018-07-23,4106300
2018-07-27,3827100
2018-07-28,4113400
2018-07-29,4011300
2018-08-02,4077800
2018-08-03,3922000
2018-08-04,3922000
2018-08-08,3726100
2018-08-09,3902500
2018-08-10,3882900
2018-08-14,4023700
2018-08-15,3933100
2018-08-16,3933100
2018-08-20,3804600
