date,value
2018-02-13,24643749.698695827
2018-02-15,24643749.698695827
2018-02-18,24965957.498329714
2018-02-20,24965957.498329714
2018-04-19,54721503.18589953
2018-04-21,54805002.43844279
2018-04-24,54146417.19802808
2018-05-04,55569605.69575781
2018-06-18,62678007.43980905
2018-06-20,62678007.43980905
2018-06-23,59597501.41157907
2018-06-25,59597501.41157907
2018-06-28,61113846.24968422
2018-06-30,61113846.24968422
2018-07-03,59478242.776158154
2018-07-05,59630045.34125733
2018-07-08,59429486.45573213
2018-07-10,60209043.72761855
2018-07-13,58146753.208904825
2018-07-15,59920585.751043804
2018-07-18,57499489.6839599
2018-07-20,58090455.215179116
2018-07-23,56659264.40875649
2018-07-25,57908327.086279154
2018-07-28,55622151.968373075
2018-07-30,56932517.55471031
2018-08-02,54401091.847145066
2018-08-04,55260042.351624794
2018-08-07,54024470.101145074
2018-08-09,54458338.370618775
2018-08-12,52575986.10021444
2018-08-14,54050405.823191546
2018-08-17,53017393.61370685
2018-08-19,54476558.91365529
2018-08-22,51955230.56392217
2018-08-24,53951880.18750855
2018-08-27,50754028.29729438
2018-08-29,51353032.720138036
2018-09-01,49341411.694691494
2018-09-03,50424304.67090917
2018-09-06,48924138.697472185
2018-09-08,50170757.44477613
2018-09-16,49214569.23835908
2018-09-18,48854749.85863274
2018-09-21,50484638.94866704
2018-09-23,50484638.94866704
2018-09-26,50313777.02514926
2018-09-28,49585564.74703567
2018-10-01,48461569.60266281
2018-10-06,46827947.34437892
2018-10-08,47022539.46783113
2018-10-13,46527054.73503582
2018-10-16,46527054.73503582
2019-02-03,60943899.69896732
2019-02-05,60943899.69896732
2019-02-08,62531037.210894115
2019-02-10,62531037.210894115
2019-02-13,61133047.27952425
2019-02-15,63094810.89063331
2019-02-18,63094810.89063331
2019-02-20,61446135.67457053
2019-02-23,61446135.67457053
2019-02-28,62861246.22914693
2019-03-02,62861246.22914693
2019-03-07,62861246.22914693
2019-03-10,64369600.171972565
2019-03-12,64004992.206450954
2019-03-15,65709821.33174521
2019-03-17,65709821.33174521
2019-03-20,65709821.33174521
2019-03-22,65429455.499712124
2019-03-25,65692813.94977703
2019-03-30,64921096.14259077
2019-04-01,64921096.14259077
2019-04-04,64650708.411982134
2019-04-06,65158106.17881829
2019-04-09,65158106.17881829
2019-04-11,64136703.33614994
2019-04-14,67217167.38310516
2019-04-16,66953904.05863661
2019-04-19,66953904.05863661
2019-04-24,66953904.05863661
2019-04-29,66848158.86162333
2019-05-01,66848158.86162333
2019-05-04,69703708.47952753
2019-05-06,69703708.47952753
2019-05-09,68029931.52516063
2019-05-11,69738654.07269505
2019-05-14,68719786.8146224
2019-05-16,68511631.2824422
2019-05-19,67707741.23747484
2019-05-24,69209501.55438614
2019-05-26,67171348.719663
2019-05-29,67707741.23747484
2019-06-13,65916904.77555278
2019-06-15,65916904.77555278
2019-06-18,67065447.46489833
2019-06-20,67065447.46489833
2019-06-23,64027402.429112956
2019-06-25,64940831.981232174
2019-06-28,62533808.78217518
2019-07-03,62872359.4257519
2019-07-05,62872359.4257519
2019-07-08,62972418.3831551
2019-07-10,62972418.3831551
2019-07-13,60585526.78401625
2019-07-15,60722196.95311317
2019-07-18,59096804.851406686
2019-07-20,59803749.36216793
2019-07-23,59803749.36216793
2019-07-25,59177868.41627022
2019-07-28,59177868.41627022
2019-07-30,55695754.67942066
2019-08-02,56948453.63417773
2019-08-04,56948453.63417773
2019-08-07,56911272.60290814
2019-08-09,55869421.84028165
2019-08-12,55869421.84028165
2019-08-17,52732339.78630611
2019-08-19,52691308.562905066
2019-08-22,52922298.04656438
2019-08-24,52922298.04656438
2019-08-27,50791845.243072465
2019-09-01,49550652.197391234
2019-09-03,49630468.736778855
2019-09-06,47829107.49576088
2019-09-11,47219937.68319019
2019-09-16,46886286.46077365
2019-09-18,48493662.19164813
2019-09-26,48797785.37961842
2019-09-28,48478849.027312756
2019-10-01,49236942.41530778
2019-10-03,49236942.41530778
2019-10-06,47949402.192270845
2019-10-08,48547994.729357354
2019-10-11,48454164.992254175
2019-10-13,47542428.95973226
2019-10-16,47434820.995334275
2019-10-18,45942369.78908797
2019-10-21,46439864.00534638
2019-10-23,46563406.14868893
2019-10-26,46653128.14861837
2019-10-31,46478606.26150764
2019-11-02,46202888.22490065
2019-11-05,46224628.32128386
2019-11-30,48622129.125545554
