date,value
2018-02-16,2502600
2018-02-21,2575600
2018-03-28,4188700
2018-04-17,4353800
2018-05-07,4426500
2018-05-22,4447700
2018-06-16,3812400
2018-06-26,3726400
2018-07-06,3870900
2018-07-11,3897900
2018-07-16,3625200
2018-07-21,3591400
2018-07-26,3583400
2018-07-31,3496300
2018-08-05,3485200
2018-08-10,3422500
2018-08-15,3359300
2018-08-25,3433800
2018-08-30,3377300
2018-09-19,3363700
2018-09-24,3378300
2018-09-29,3378000
2018-10-04,3328600
2018-10-19,3095800
2018-10-24,3405700
2019-02-21,3731900
2019-02-26,3682000
2019-03-03,3686600
2019-03-13,3591500
2019-03-18,3623500
2019-03-28,3618300
2019-04-12,3663200
2019-04-27,3793500
2019-05-02,3773700
2019-05-07,3647600
2019-05-12,3638600
2019-05-27,3154600
2019-06-01,3208000
2019-06-06,3038000
2019-06-11,2980600
2019-06-21,2865700
2019-06-26,2932900
2019-07-01,2813000
2019-07-11,2720900
2019-07-16,2712100
2019-07-21,2710200
2019-07-31,2604400
2019-08-05,2581100
2019-08-10,2633500
2019-08-15,2585000
2019-08-20,2565700
2019-08-25,2537700
2019-08-30,2563500
2019-09-04,2415200
2019-09-09,2426800
2019-09-19,2446100
2019-09-24,2394800
2019-09-29,2363200
2019-10-04,2305200
2019-10-09,2333100
2020-02-16,3320800
2020-02-21,3389700
2020-05-01,3375900
2020-05-06,3577400
2020-05-21,3514100
2020-05-26,3551700
2020-06-10,3408700
2020-06-15,3343700
2020-06-20,3253800
2020-06-25,3372400
2020-06-30,3231400
2020-07-05,3212900
2020-07-10,3108700
2020-07-15,2953400
2020-07-20,2933200
2020-07-25,2985000
2020-07-30,2999400
2020-08-09,2756500
2020-08-14,2696100
2020-08-19,2687000
2020-08-24,2620700
2020-08-29,2474000
2020-09-03,2476800
2020-09-08,2422300
2020-09-28,2322800
2020-10-03,2279700
2020-10-13,2308200
