date,value
2018-01-04,33531081.740654398
2018-01-05,33531081.740654398
2018-01-09,33531081.740654398
2018-01-10,30019088.155276556
2018-01-11,30019088.155276556
2018-01-15,30013705.79910799
2018-01-16,31253954.632344272
2018-01-17,30069337.754200466
2018-01-21,33506954.95399579
2018-01-22,29807605.562525798
2018-01-23,29807605.562525798
2018-01-27,29850581.802338026
2018-01-28,30922079.18961662
2018-01-29,26513136.301577237
2018-02-02,32826197.252807226
2018-02-03,25987981.676351093
2018-02-04,25987981.676351093
2018-02-08,27886487.510153722
2018-02-09,37263287.09941595
2018-02-10,29644826.682261094
2018-02-14,37008568.765876584
2018-02-15,30313773.564615443
2018-02-16,30313773.564615443
2018-02-20,29728865.146190304
2018-02-21,37102349.995931126
2018-02-22,30403792.167965353
2018-02-26,36699035.48724607
2018-02-27,30614755.349308137
2018-02-28,30614755.349308137
2018-03-04,30256204.651203297
2018-03-05,43000107.33453719
2018-03-06,42185154.74894414
2018-03-10,51934009.64940212
2018-03-11,46313384.99938862
2018-03-12,46313384.99938862
2018-03-16,48848835.27008405
2018-03-17,65768798.102907725
2018-03-18,59037349.12371858
2018-03-22,66582810.89556538
2018-03-23,63390421.08596003
2018-03-24,63390421.08596003
2018-03-28,65290064.98419474
2018-03-29,69003802.08297476
2018-03-30,69003802.08297476
2018-04-03,65390282.092948236
2018-04-04,68686720.00924265
2018-04-05,68686720.00924265
2018-04-09,64315424.45817928
2018-04-10,72841122.75622837
2018-04-11,65942318.10425851
2018-04-15,72375315.2744663
2018-04-16,67312526.47450514
2018-04-17,67312526.47450514
2018-04-21,67857955.29010648
2018-04-22,72916490.78169753
2018-04-23,68925068.39057866
2018-04-27,74064075.83119714
2018-04-28,69388603.42896287
2018-04-29,69388603.42896287
2018-05-03,68670530.77003673
2018-05-04,72786966.759801
2018-05-05,68714475.71433295
2018-05-09,72257832.19710705
2018-05-10,69024647.96981303
2018-05-11,69024647.96981303
2018-05-15,69458215.84810288
2018-05-16,73787303.17465387
2018-05-17,69943776.04836906
2018-05-21,73915004.8983442
2018-05-22,69767088.65079153
2018-05-23,69767088.65079153
2018-05-27,68686720.00924265
2018-05-28,73039014.80714592
2018-05-29,69472140.90138641
2018-06-02,73154527.87247337
2018-06-03,68742234.85929063
2018-06-04,68742234.85929063
2018-06-08,67135610.53097135
2018-06-09,70567924.33164169
2018-06-10,65919478.51258135
2018-06-14,69207711.3971848
2018-06-15,63674947.14280098
2018-06-16,63674947.14280098
2018-06-20,59665405.59925947
2018-06-21,66708844.96655762
2018-06-22,66708844.96655762
2018-06-26,66708844.96655762
2018-06-27,60066743.19945363
2018-06-28,60066743.19945363
2018-07-02,56569608.158173025
2018-07-03,65016985.42586928
2018-07-04,56693861.05686184
2018-07-08,64281427.57225778
2018-07-09,54722366.23910317
2018-07-10,54722366.23910317
2018-07-14,50301126.48073046
2018-07-15,56132121.4143599
2018-07-16,52252717.953778364
2018-07-20,60747121.41841565
2018-07-21,52218693.90985988
2018-07-22,52218693.90985988
2018-07-26,51696431.23715644
2018-07-27,59940266.09049061
2018-07-28,51152538.95194377
2018-08-01,58949054.41811609
2018-08-02,49378850.33512111
2018-08-03,49378850.33512111
2018-08-07,46997384.98885384
2018-08-08,50781087.72918895
2018-08-09,47999084.321137875
2018-08-13,57095528.2755984
