date,value
2018-02-08,2749500
2018-02-11,2745200
2018-02-13,2776400
2018-02-16,2776400
2018-02-18,2740200
2018-02-21,2979500
2018-04-14,5991300
2018-04-17,5991300
2018-04-19,6226900
2018-04-22,6226900
2018-04-24,6196600
2018-04-27,6141000
2018-04-29,6155100
2018-05-04,6508400
2018-05-07,6507400
2018-06-13,6681900
2018-06-16,6680500
2018-06-23,6642600
2018-06-26,6642600
2018-06-28,6807800
2018-07-01,6807800
2018-07-03,6670500
2018-07-06,6783100
2018-07-08,6634300
2018-07-11,6671500
2018-07-13,6537300
2018-07-16,6578300
2018-07-18,6432500
2018-07-21,6545000
2018-07-23,6336300
2018-07-26,6425700
2018-07-28,6245000
2018-07-31,6291400
2018-08-02,6157400
2018-08-05,6231400
2018-08-07,6051100
2018-08-10,6124300
2018-08-12,5877900
2018-08-15,5900400
2018-08-17,5748900
2018-08-20,5829300
2018-08-22,5695000
2018-08-25,5771400
2018-08-27,5696700
2018-08-30,5781500
2018-09-01,5576400
2018-09-04,5740800
2018-09-06,5501100
2018-09-09,5523200
2018-09-11,5514800
2018-09-16,5361800
2018-09-19,5287500
2018-09-21,5395900
2018-09-24,5400000
2018-09-26,5323400
2018-09-29,5213000
2018-10-01,5155800
2018-10-04,5007200
2018-10-06,5043700
2018-10-09,5086400
2018-10-16,5021000
2019-02-03,5727400
2019-02-06,5727400
2019-02-08,5773900
2019-02-13,5631800
2019-02-21,5567700
2019-02-28,5741800
2019-03-03,5741800
2019-03-08,5741800
2019-03-10,5817100
2019-03-13,5753600
2019-03-15,5847800
2019-03-18,5847800
2019-03-20,5797300
2019-03-23,5938200
2019-03-25,5833900
2019-03-28,5950200
2019-03-30,5906500
2019-04-04,5817100
2019-04-09,5947600
2019-04-12,5812700
2019-04-14,5946500
2019-04-19,5922400
2019-04-22,5922400
2019-04-29,6025400
2019-05-02,6025400
2019-05-04,6182900
2019-05-07,6182900
2019-05-14,6080000
2019-05-19,5989200
2019-05-22,5989200
2019-05-24,5989200
2019-05-29,5791200
2019-06-01,5630100
2019-06-03,5631300
2019-06-06,5631300
2019-06-08,5631300
2019-06-18,5365100
2019-06-23,5055100
2019-06-26,5055100
2019-06-28,5060000
2019-07-01,5060000
2019-07-03,4901500
2019-07-08,4839800
2019-07-11,4776000
2019-07-13,4723000
2019-07-18,4581300
2019-07-21,4598900
2019-07-23,4484900
2019-07-26,4501800
2019-07-28,4351000
2019-07-31,4259800
2019-08-02,4213500
2019-08-05,4245600
2019-08-07,4245600
2019-08-10,4117500
2019-08-12,4123400
2019-08-15,3822500
2019-08-17,3909300
2019-08-20,3909300
2019-08-22,3735400
2019-08-25,3804200
2019-08-27,3653800
2019-08-30,3673800
2019-09-01,3524400
2019-09-04,3571000
2019-09-06,3409700
2019-09-09,3450100
2019-09-11,3349200
2019-09-16,3274800
2019-09-19,3256300
2019-09-26,3213500
2019-09-29,3134500
2019-10-01,3165600
2019-10-04,3165600
2019-10-06,3046100
2019-10-09,3073700
2019-10-11,3062500
2019-10-16,3002400
2019-10-21,2949100
2019-10-24,2953800
2019-10-26,2843000
2019-10-29,2884300
2020-02-23,4750500
2020-02-26,4750500
2020-02-28,4750500
2020-03-02,4647200
2020-03-04,4661100
2020-03-14,4744200
2020-03-17,4736200
2020-03-24,4858100
2020-03-29,4887400
2020-04-01,4887400
2020-04-03,4871900
2020-04-08,4972600
2020-04-11,5169200
2020-04-16,5158300
2020-05-03,5287000
2020-05-06,5280500
2020-05-08,5389900
2020-05-18,5292200
2020-05-21,5194700
2020-05-23,5194700
2020-05-26,5194700
2020-05-28,5313000
2020-05-31,5295900
2020-06-07,5359500
2020-06-17,5242600
2020-06-20,5114200
2020-06-22,5095700
2020-06-25,5095700
2020-06-27,5116900
2020-06-30,5116900
2020-07-02,4893100
2020-07-05,4916900
2020-07-07,4762900
2020-07-10,4890300
2020-07-12,4890300
2020-07-15,4646300
2020-07-27,4244400
2020-07-30,4244400
2020-08-01,4257900
2020-08-04,4257900
2020-08-06,4136300
2020-08-09,4151600
2020-08-11,4136900
2020-08-14,4042600
2020-08-16,4019200
2020-08-19,3788200
2020-08-21,3811700
2020-08-24,3822500
2020-08-26,3658800
2020-08-29,3725300
2020-08-31,3542200
2020-09-03,3605300
2020-09-05,3410000
2020-09-08,3446200
2020-09-10,3248600
2020-09-15,3156600
2020-09-18,3171800
2020-09-20,3020800
2020-09-23,3037100
2020-09-25,2907000
2020-09-28,2934300
2020-10-03,2816200
2020-10-10,2610600
2020-10-13,2610600
2020-10-15,2675800
2020-10-18,2675800
2020-10-25,2596600
2020-10-30,2583100
2020-11-02,2583100
