date,value
2018-01-04,2471400
2018-01-05,2634700
2018-01-11,2609700
2018-01-16,2524500
2018-01-17,2689100
2018-01-23,2679600
2018-01-28,2559000
2018-01-29,2708300
2018-02-04,2720600
2018-02-09,2541400
2018-02-10,2683900
2018-02-16,2696600
2018-02-21,2779400
2018-02-21,2617700
2018-02-22,2729600
2018-02-28,2763900
2018-03-05,2768700
2018-03-06,2999900
2018-03-12,3448100
2018-03-17,3626100
2018-03-18,3837700
2018-03-23,4328900
2018-03-24,4841100
2018-03-29,5052300
2018-03-30,5124000
2018-04-04,5235100
2018-04-05,5256700
2018-04-10,5345600
2018-04-11,5528900
2018-04-16,5773200
2018-04-17,5875400
2018-04-22,5938000
2018-04-23,6020100
2018-04-28,6102000
2018-04-29,6051200
2018-05-04,6040900
2018-05-05,6154900
2018-05-11,6238900
2018-05-16,6375100
2018-05-16,6208500
2018-05-17,6329100
2018-05-22,6440800
2018-05-23,6356000
2018-05-28,6428100
2018-05-28,6312000
2018-05-29,6392400
2018-06-03,6502800
2018-06-04,6379600
2018-06-09,6267500
2018-06-10,6365100
2018-06-15,6470900
2018-06-16,6370200
2018-06-21,5906300
2018-06-22,6307000
2018-06-28,6140700
2018-07-03,6232300
2018-07-04,6075400
2018-07-10,6059700
2018-07-15,6176100
2018-07-16,6011100
2018-07-22,5986300
2018-07-27,6057700
2018-07-28,5868600
2018-08-03,5854100
2018-08-08,5947100
2018-08-09,5654200
2018-08-15,5562600
2018-08-20,5640300
2018-08-21,5432400
2018-08-27,5362800
2018-09-01,5374100
2018-09-02,5197400
2018-09-08,5181800
2018-09-13,5279900
2018-09-14,5033800
2018-09-20,4998800
2018-09-25,5129700
2018-09-26,4958000
2018-10-02,4870400
2018-10-07,4926900
2018-10-08,4750600
2018-10-14,4754600
2018-10-19,4859600
2018-10-20,4726100
2018-10-26,4728500
2018-10-31,5016500
2018-11-01,4840300
2018-11-07,4880400
2018-11-12,4974600
2018-11-13,4875400
2018-11-19,4928500
2018-11-24,5129100
2018-12-01,5182600
2018-12-06,5207400
2018-12-07,5090000
2018-12-13,5105400
2018-12-18,5321900
2018-12-19,5133600
2018-12-25,5104400
2018-12-30,5316200
2019-01-05,5242600
2019-01-06,5351900
2019-01-11,5275700
2019-01-12,5243100
2019-01-17,5315100
2019-01-18,5266900
2019-01-23,5321000
2019-01-24,5274200
2019-01-29,5345100
2019-01-30,5300300
2019-02-04,5418700
2019-02-05,5446300
2019-02-10,5584100
2019-02-11,5531800
2019-02-16,5611200
2019-02-17,5578600
2019-02-22,5652000
2019-02-23,5589400
2019-02-28,5581500
2019-03-01,5563800
2019-03-06,5652600
2019-03-07,5648600
2019-03-12,5718600
2019-03-13,5672100
2019-03-18,5708600
2019-03-19,5647500
2019-03-24,5696800
2019-03-25,5652400
2019-03-30,5723500
2019-03-31,5659000
2019-04-05,5759700
2019-04-06,5759300
2019-04-11,5842900
2019-04-12,5792900
2019-04-17,5792700
2019-04-18,5736400
2019-04-23,5914600
2019-04-24,5872100
2019-04-29,5864700
2019-04-30,5819100
2019-05-05,5837900
2019-05-06,5761500
2019-05-11,5684200
2019-05-12,5633700
2019-05-17,5601200
2019-05-18,5534300
2019-05-23,5458300
2019-05-24,5326100
2019-05-29,5371300
2019-05-30,5295800
2019-06-04,5237700
2019-06-05,5165600
2019-06-10,5154900
2019-06-11,5090200
2019-06-16,5079600
2019-06-17,5005300
2019-06-22,4940300
2019-06-23,5021400
2019-06-28,4891900
2019-06-29,4781100
2019-07-04,4869700
2019-07-05,4746200
2019-07-10,4634800
2019-07-11,4547200
2019-07-16,4499200
2019-07-17,4404500
2019-07-22,4338900
2019-07-23,4238600
2019-07-28,4178700
2019-07-29,4089100
2019-08-03,4026000
2019-08-04,3929400
2019-08-09,3897300
2019-08-10,3816900
2019-08-15,3826300
2019-08-16,3719700
2019-08-21,3678900
2019-08-22,3595300
2019-08-27,3554300
2019-08-28,3468500
2019-09-02,3409200
2019-09-03,3327200
2019-09-08,3248700
2019-09-09,3168100
2019-09-14,3110700
2019-09-15,3089700
2019-09-20,3113400
2019-09-21,3091700
2019-09-26,3099100
2019-09-27,3044500
2019-10-02,3002700
2019-10-03,2932200
2019-10-08,2929800
2019-10-09,2873300
2019-10-14,2903100
2019-10-15,2832900
2019-10-20,2851200
2019-10-21,2805600
2019-10-26,2804300
2019-10-27,2751900
2019-11-01,2697700
2019-11-02,2685400
2019-11-07,2760600
2019-11-08,2728800
2019-11-13,2826200
2019-11-14,2801500
2019-11-19,2839700
2019-11-20,2817400
2019-11-25,2888800
2019-11-26,2918600
2019-12-01,3046800
2019-12-02,3041300
2019-12-07,3104100
2019-12-08,3095300
2019-12-13,3159700
2019-12-14,3139000
2019-12-19,3224100
2019-12-20,3195000
2019-12-25,3417200
2019-12-26,3731700
2020-01-01,4015300
2020-01-06,4258800
2020-01-07,4185600
2020-01-12,4190900
2020-01-13,4179100
2020-01-18,4300200
2020-01-19,4305800
2020-01-24,4454300
2020-01-25,4405100
2020-01-30,4457000
2020-01-31,4434700
2020-02-05,4530700
2020-02-06,4526600
2020-02-11,4614300
2020-02-12,4596900
2020-02-17,4617400
2020-02-18,4606800
