date,value
2018-02-08,29026224.65852001
2018-02-13,28703413.703553014
2018-04-14,98133812.05891326
2018-04-19,101030133.82025813
2018-05-04,111431188.37143217
2018-06-13,116312277.59769507
2018-06-23,115283999.28457354
2018-07-03,115099853.40287974
2018-07-08,110400003.5050649
2018-07-13,110216035.65636857
2018-07-18,108183792.0225295
2018-07-23,103852220.8848934
2018-07-28,102446772.43252116
2018-08-02,100981054.45261264
2018-08-07,93711837.3920272
2018-08-12,92342544.8848705
2018-08-17,90374188.16411778
2018-08-22,88667492.24482499
2018-08-27,91254326.86228068
2018-09-01,84849760.39639506
2018-09-06,79954603.16255587
2018-09-16,80387284.58629169
2018-09-21,78015592.04566908
2018-10-01,72375342.16068564
2018-10-06,71590866.05946591
2019-02-03,91090000.83307363
2019-02-08,87516575.29404305
2019-02-13,87521482.24053118
2019-02-28,91830305.43179585
2019-03-10,92125030.41593355
2019-03-15,92677927.56571998
2019-03-25,93857718.51548402
2019-03-30,95538669.29839778
2019-04-04,93606250.24286188
2019-04-14,96378078.43409184
2019-04-29,99006965.99291936
2019-05-14,95429815.9238791
2019-05-29,89057268.33131754
2019-06-18,79643687.25921628
2019-06-23,75274051.04124284
2019-06-28,70729905.18437955
2019-07-03,68369284.39659773
2019-07-18,62702623.51565379
2019-08-02,54649243.51313447
2019-08-12,48662233.00220542
2019-08-17,47942886.00491035
2019-08-22,44924549.58091535
2019-08-27,42894801.83461959
2019-09-01,41239236.78373624
2019-09-06,38979772.32402699
2019-09-26,35701267.02000384
2019-10-01,34128251.412393026
2019-10-06,33141666.759049125
2019-10-16,32409005.02741972
2019-10-21,29937306.239363004
2019-10-26,31206685.456703283
2020-02-23,66010986.82422443
2020-03-14,67994710.60866444
2020-03-29,69260446.27167995
2020-04-08,77686253.37304072
2020-05-03,80577739.55680731
2020-05-08,79018432.3048422
2020-05-18,78543574.28328048
2020-05-28,80944821.03029846
2020-06-17,76652113.29174711
2020-06-22,76219774.65436253
2020-06-27,69005727.38555743
2020-07-02,70932281.2201496
2020-07-07,65991034.63067271
2020-07-27,57300668.8025859
2020-08-01,54630600.62044253
2020-08-06,52800395.801507264
2020-08-16,47404429.95576949
2020-08-21,45545846.644668624
2020-08-26,43769580.812609464
2020-08-31,40093592.80351256
2020-09-05,38560434.07349949
2020-09-10,36094918.012480244
2020-09-15,33657152.448897064
2020-09-20,31415274.448921137
2020-09-25,30206404.5383315
2020-10-10,26835680.465098813
2020-10-15,26611399.13795501
2020-10-30,26395769.12129679
