date,value
2018-04-19,16423100
2018-04-22,16423100
2018-04-24,16452600
2018-04-27,16750700
2018-04-29,16727300
2018-06-08,17690000
2018-06-13,17833400
2018-06-16,17795900
2018-06-23,17755900
2018-06-26,17755900
2018-06-28,18164700
2018-07-01,18164700
2018-07-03,17802900
2018-07-06,18125100
2018-07-08,17791100
2018-07-11,17802500
2018-07-13,17572700
2018-07-16,17691400
2018-07-18,17384400
2018-07-21,17505400
2018-07-23,17173100
2018-07-26,17285600
2018-07-28,17013300
2018-07-31,17106500
2018-08-02,16981300
2018-08-05,17111000
2018-08-07,16854700
2018-08-10,17060600
2018-08-12,16662200
2018-08-15,16719700
2018-08-17,16432600
2018-08-20,16515300
2018-08-22,16271600
2018-08-25,16385700
2018-08-27,16281600
2018-08-30,16437700
2018-09-01,16078800
2018-09-04,16404200
2018-09-06,16001400
2018-09-09,16052500
2018-09-11,15901500
2018-09-16,15712800
2018-09-21,15776800
2018-09-24,15893400
2018-09-26,15798600
2018-09-29,15758600
2018-10-01,15626800
2018-10-04,15587200
2018-10-06,15722100
2018-10-09,15813200
2018-10-16,15656300
2019-02-28,17768100
2019-03-03,17768100
2019-03-08,17768100
2019-03-10,17863600
2019-03-13,17687000
2019-03-15,17899400
2019-03-18,17899400
2019-03-20,17751700
2019-03-23,18079800
2019-03-25,17886300
2019-03-28,18123700
2019-03-30,17989200
2019-04-04,18149500
2019-04-09,18010400
2019-04-14,18096400
2019-04-19,18096400
2019-04-22,18077300
2019-05-14,18252800
2019-05-19,18270800
2019-05-22,18270800
2019-05-24,18017600
2019-05-27,17834400
2019-05-29,17682300
2019-06-01,17554200
2019-06-03,17554200
2019-06-06,17437300
2019-06-08,17437400
2019-06-18,16765300
2019-06-23,16221400
2019-06-26,16221400
2019-06-28,16223600
2019-07-01,16223600
2019-07-03,15907100
2019-07-08,15535200
2019-07-11,15603000
2019-07-13,15589400
2019-07-16,15331200
2019-07-18,15329200
2019-07-21,14874600
2019-07-23,14872100
2019-07-26,14828000
2019-07-28,14835000
2019-08-02,14237300
2019-08-05,14237400
2019-08-07,14108300
2019-08-10,14032400
2019-08-12,14021000
2019-08-17,13325200
2019-08-20,13087900
2019-08-22,13043500
2019-08-25,13080300
2019-08-27,12783800
2019-09-01,12450600
2019-09-04,12529300
2019-09-06,12240200
2019-09-09,12326500
2019-09-11,12218700
2019-09-16,12140400
2019-09-26,12242800
2019-09-29,12153100
2019-10-01,12306300
2019-10-04,12306300
2019-10-06,12149900
2019-10-09,12285800
2019-10-11,12285800
2019-10-16,12254100
2019-10-21,12230300
2019-10-24,12230300
2019-10-26,12096000
2019-10-29,12337900
2020-02-23,14597000
2020-02-26,14597000
2020-02-28,14489300
2020-03-02,14513700
2020-03-04,14522600
2020-03-14,14460900
2020-03-17,14317100
2020-03-24,14521900
2020-04-03,14781300
2020-04-08,14802400
2020-04-11,14933900
2020-05-03,15540000
2020-05-06,15540000
2020-05-08,15727800
2020-05-18,15486900
2020-05-28,15397600
2020-05-31,15363800
2020-06-07,15283100
2020-06-17,14452300
2020-06-20,14437700
2020-06-22,14442800
2020-06-25,14442800
2020-06-27,14479300
2020-06-30,14479300
2020-07-02,14119600
2020-07-05,14156000
2020-07-07,13950100
2020-07-10,14134300
2020-07-12,14134300
2020-07-15,13776300
2020-07-27,13087200
2020-07-30,13087200
2020-08-01,13106000
2020-08-04,13106000
2020-08-06,12884600
2020-08-09,12910600
2020-08-11,12723100
2020-08-14,12723700
2020-08-16,12463500
2020-08-19,12307900
2020-08-21,12075400
2020-08-24,12094700
2020-08-26,11966200
2020-08-29,12033800
2020-08-31,11783100
2020-09-03,11829200
2020-09-05,11550500
2020-09-08,11613600
2020-09-10,11174700
2020-09-15,10998800
2020-09-18,11042200
2020-09-20,10813500
2020-09-23,10868500
2020-09-25,10773100
2020-09-28,10873700
2020-10-03,10728500
2020-10-15,10550700
2020-10-18,10550700
2020-10-25,10602700
