date,value
2018-01-04,10969300
2018-01-05,10671500
2018-01-11,11049200
2018-01-16,11291900
2018-01-17,10765000
2018-01-23,10573600
2018-01-28,11009800
2018-01-29,10180600
2018-02-04,11274300
2018-02-09,11394100
2018-02-10,11112100
2018-02-16,9055200
2018-02-21,11461300
2018-02-22,9381600
2018-02-28,11506600
2018-03-05,12694800
2018-03-06,12261500
2018-03-12,12505200
2018-03-17,13093900
2018-03-18,13493200
2018-03-24,11008300
2018-03-29,14792100
2018-03-30,14494600
2018-04-05,12998700
2018-04-10,15202500
2018-04-11,14141500
2018-04-17,15347100
2018-04-22,15937000
2018-04-23,15907700
2018-04-29,10631500
2018-05-04,16456000
2018-05-05,16010400
2018-05-11,16461900
2018-05-16,16838200
2018-05-17,16659900
2018-05-23,16755100
2018-05-28,17119400
2018-05-29,16965700
2018-06-04,16427800
2018-06-09,17338800
2018-06-10,16763300
2018-06-16,16717400
2018-06-21,17357600
2018-06-22,16951900
2018-07-03,17176200
2018-07-04,16940700
2018-07-15,16119800
2018-07-16,16543600
2018-07-27,16645500
2018-07-28,16312400
2018-08-08,16270600
2018-08-09,16011300
2018-08-20,16130700
2018-08-21,15472600
2018-09-01,15629300
2018-09-02,15176300
2018-09-13,15515600
2018-09-14,15010500
2018-09-25,15587800
2018-09-26,15268800
2018-10-07,15355500
2018-10-08,15141300
2018-10-19,15555600
2018-10-20,15308900
2018-10-31,16002400
2018-11-01,15774000
2018-11-12,15989700
2018-11-13,15801900
2018-11-24,16240900
2018-12-06,16445800
2018-12-07,15725800
2018-12-18,16577200
2018-12-19,16635000
2018-12-30,16924900
2019-01-05,16751600
2019-01-06,12767400
2019-01-11,16891900
2019-01-12,13512000
2019-01-17,16879900
2019-01-18,15347800
2019-01-23,17021500
2019-01-24,15925500
2019-01-29,17220600
2019-01-30,9724400
2019-02-04,17270800
2019-02-05,15766500
2019-02-10,17330500
2019-02-11,16881900
2019-02-16,17432500
2019-02-17,16964200
2019-02-22,17348200
2019-02-23,14880300
2019-02-28,17177600
2019-03-01,15527800
2019-03-06,17721800
2019-03-07,17297700
2019-03-12,17431600
2019-03-13,16925800
2019-03-18,17573500
2019-03-19,16584100
2019-03-24,17555800
2019-03-25,16173900
2019-03-30,17611000
2019-03-31,17148300
2019-04-05,17760100
2019-04-06,17137100
2019-04-11,17609000
2019-04-12,16326800
2019-04-17,17760200
2019-04-23,17960600
2019-04-24,17719600
2019-04-29,17827100
2019-04-30,17474600
2019-05-05,17991300
2019-05-06,17470600
2019-05-11,17642700
2019-05-12,17615600
2019-05-17,17480900
2019-05-18,13920800
2019-05-23,17241900
2019-05-24,16886700
2019-05-29,17133600
2019-05-30,15729200
2019-06-04,16748100
2019-06-05,13021900
2019-06-10,16623300
2019-06-11,15584600
2019-06-16,16278000
2019-06-17,15607400
2019-06-22,16006100
2019-06-23,15469100
2019-06-28,15566000
2019-07-04,15441700
2019-07-05,14909800
2019-07-10,14982800
2019-07-11,14420000
2019-07-16,14899900
2019-07-17,14112400
2019-07-22,14416600
2019-07-23,13960100
2019-07-28,14067700
2019-07-29,13517300
2019-08-03,13537300
2019-08-04,13263700
2019-08-09,13703200
2019-08-10,12565300
2019-08-15,13095800
2019-08-16,12190200
2019-08-21,12819600
2019-08-22,12200100
2019-08-27,12060900
2019-08-28,11525900
2019-09-02,12208600
2019-09-03,11120500
2019-09-08,11811600
2019-09-09,11322600
2019-09-14,11864900
2019-09-15,11809900
2019-09-20,11891700
2019-09-21,11448000
2019-09-26,11704600
2019-09-27,10844200
2019-10-02,11748500
2019-10-03,11090300
2019-10-08,11783600
2019-10-09,10669800
2019-10-14,11492800
2019-10-15,11582200
2019-10-20,11721100
2019-10-21,11101000
2019-10-26,11627300
2019-10-27,9194300
2019-11-01,11382300
2019-11-02,11660300
2019-11-07,11834700
2019-11-08,11485900
2019-11-13,11828500
2019-11-14,6638700
2019-11-19,11966800
2019-11-20,11586000
2019-11-25,12336600
2019-11-26,12204900
2019-12-01,12441400
2019-12-02,12474400
2019-12-07,12510600
2019-12-08,11984500
2019-12-13,12565200
2019-12-14,12126800
2019-12-19,13568700
2019-12-20,12691200
2019-12-25,13186000
2020-01-01,11858600
2020-01-06,13325700
2020-01-07,12155500
2020-01-12,13493600
2020-01-13,10797200
2020-01-18,13682100
2020-01-19,13692900
2020-01-24,14173900
2020-01-25,13808800
2020-01-30,13911600
2020-01-31,13953500
2020-02-05,14250900
2020-02-06,13939700
2020-02-11,14031200
2020-02-12,13977000
2020-02-17,14135300
2020-02-18,13370000
2020-02-23,14127900
2020-02-24,11823300
2020-02-29,14396300
2020-03-01,13914900
2020-03-06,14192000
2020-03-07,13685800
2020-03-12,14234400
2020-03-13,13392800
2020-03-18,14293200
2020-03-19,13601300
2020-03-24,14415400
2020-03-25,14118100
2020-03-30,14465900
2020-03-31,14522400
2020-04-05,14686300
2020-04-06,14084800
2020-04-11,14513300
2020-04-12,14284800
2020-04-17,14632000
2020-04-18,14408900
2020-04-23,14783800
2020-04-24,14348300
2020-04-29,14944300
2020-04-30,14644800
2020-05-05,14743800
2020-05-06,14611000
2020-05-11,14969100
2020-05-12,13540100
2020-05-17,10555900
2020-05-18,14591200
2020-05-23,14984200
2020-05-24,14429300
2020-05-30,14232100
2020-06-04,14707100
2020-06-05,14459600
2020-06-10,14450100
2020-06-11,14224400
2020-06-16,14009900
2020-06-17,14003700
2020-06-22,14107000
2020-06-23,12674900
2020-06-28,14008400
2020-06-29,13192800
2020-07-04,13456100
2020-07-05,13307900
2020-07-10,13549100
2020-07-11,12802100
2020-07-16,13273100
2020-07-17,12766800
2020-07-22,12963400
2020-07-23,12498900
2020-07-28,12684700
2020-07-29,12136400
2020-08-03,12556600
2020-08-04,11901100
2020-08-09,12239100
2020-08-10,11844900
2020-08-15,11957600
2020-08-16,11310600
2020-08-21,11531800
2020-08-22,11099700
2020-08-27,11414100
2020-08-28,10699500
2020-09-02,11104200
2020-09-03,10473900
2020-09-08,11042100
2020-09-09,10172300
2020-09-14,10696500
2020-09-15,10137200
2020-09-20,10585300
2020-09-21,9975400
2020-09-26,10377500
2020-09-27,8674500
2020-10-02,10431200
2020-10-03,10041700
2020-10-08,10304600
2020-10-09,7988900
2020-10-14,10397200
2020-10-15,9297300
2020-10-20,10555400
2020-10-21,10347000
2020-10-26,10465500
2020-10-27,9854700
2020-11-01,10065900
2020-11-02,7918300
2020-11-07,10638700
2020-11-08,10219600
2020-11-13,10503800
2020-11-14,10249700
2020-11-19,10719700
2020-11-20,10069800
2020-11-25,10709000
2020-11-26,10875300
2020-12-01,11045500
2020-12-02,10779300
2020-12-07,11034000
2020-12-13,11083200
2020-12-14,10770800
2020-12-19,11273000
2020-12-20,11167000
2020-12-25,11482900
2020-12-26,10531400
