date,value
2018-04-19,468476775.08923894
2018-06-13,544476685.828771
2018-06-23,544647715.3988864
2018-07-03,541436872.1304548
2018-07-08,535357201.96834266
2018-07-13,526501471.3809856
2018-07-18,516333113.9151212
2018-07-23,506745980.9735897
2018-07-28,503043927.05806434
2018-08-02,507298777.2671253
2018-08-07,489451189.1794361
2018-08-12,479163197.75983757
2018-08-17,470727231.91854775
2018-08-22,463879815.52873874
2018-08-27,475937375.23852646
2018-09-01,457640208.98238945
2018-09-06,439749116.87997645
2018-09-21,441944758.5870979
2018-10-01,432953224.63469964
2018-10-06,442074592.40436465
2019-02-28,545261582.2788204
2019-03-10,541185945.0539635
2019-03-15,543988863.7444825
2019-03-25,552704665.1738303
2019-03-30,556560176.2989576
2019-04-14,560909481.9558028
2019-05-14,562584632.4157314
2019-05-19,546384347.7262201
2019-05-29,528712484.5095552
2019-06-18,485395014.2235293
2019-06-23,469610973.0489583
2019-06-28,451929309.72953045
2019-07-03,438223026.4201902
2019-07-08,426852624.695687
2019-07-18,405175889.30125463
2019-08-02,368088276.97056913
2019-08-17,328794731.7847571
2019-09-01,297938798.1412253
2019-09-06,291080600.926695
2019-09-26,292468563.7544554
2019-10-01,287814136.3917028
2019-10-06,291549538.68599194
2019-10-16,292815956.9511817
2019-10-21,285085499.58015954
2020-02-23,386165877.3480558
2020-03-14,382644295.8759149
2020-04-03,399222894.39900994
2020-05-03,437696312.78642404
2020-05-08,432875033.9921621
2020-05-28,425755365.3995945
2020-06-17,387944606.3362885
2020-06-22,388169375.57400405
2020-06-27,368114181.1760583
2020-07-02,371938501.8173218
2020-07-07,359228072.7631781
2020-07-27,330233629.36499596
2020-08-01,320319262.6867731
2020-08-06,313425237.24507636
2020-08-16,285875251.3064634
2020-08-21,281651065.3690916
2020-08-31,266125997.40537944
2020-09-05,257759815.2822892
2020-09-10,247842324.22491536
2020-09-25,238383363.81820136
2020-10-15,231920668.4536666
