date,value
2018-01-04,836400
2018-01-05,899800
2018-01-11,999600
2018-01-16,1199200
2018-01-16,1062800
2018-01-17,1091800
2018-01-23,1085900
2018-01-28,1125100
2018-01-29,1061300
2018-02-04,1060100
2018-02-09,1162300
2018-02-10,1058100
2018-02-16,1054700
2018-02-21,1094600
2018-02-21,1036800
2018-02-22,1055200
2018-02-28,1066400
2018-03-05,1559800
2018-03-06,1420300
2018-03-12,1554200
2018-03-17,1986000
2018-03-17,1886800
2018-03-18,1995100
2018-03-23,2124800
2018-03-24,2124800
2018-03-29,2247500
2018-03-30,2280900
2018-04-04,2182600
2018-04-05,2246900
2018-04-10,2249300
2018-04-11,2228900
2018-04-16,2332500
2018-04-17,2332500
2018-04-22,2307000
2018-04-23,2253200
2018-04-28,2258200
2018-04-29,2239300
2018-05-04,2337400
2018-05-05,2303800
2018-05-11,2347900
2018-05-16,2380900
2018-05-16,2304700
2018-05-17,2361500
2018-05-22,2378200
2018-05-23,2378200
2018-05-28,2391000
2018-05-29,2347400
2018-06-03,2366000
2018-06-04,2366000
2018-06-09,2381700
2018-06-10,2354300
2018-06-15,2393700
2018-06-16,2356600
2018-06-21,2350500
2018-06-22,2269300
2018-06-28,2269300
2018-07-03,2283900
2018-07-04,2176700
2018-07-10,2176700
2018-07-15,2230400
2018-07-16,2104100
2018-07-22,2104100
2018-07-27,2034200
2018-07-28,1933000
2018-08-03,1933000
2018-08-08,2012600
2018-08-09,1897200
2018-08-15,1897200
2018-08-20,1651400
2018-08-21,1585300
2018-08-27,1585300
2018-09-01,1791300
2018-09-02,1700100
2018-09-08,1700100
2018-09-13,1714600
2018-09-14,1616500
2018-09-20,1616500
2018-09-25,1649200
2018-09-26,1355500
2018-10-02,1355500
2018-10-07,1684700
2018-10-08,1601800
2018-10-14,1601800
2018-10-19,1740100
2018-10-20,1665800
2018-10-26,1665800
2018-10-31,935700
2018-11-01,1694500
2018-11-07,1694500
2018-11-12,1810800
2018-11-13,1744200
2018-11-19,1744200
2018-11-24,1904300
2018-12-01,1904300
2018-12-06,1771600
2018-12-07,1913700
2018-12-13,1913700
2018-12-18,1944900
2018-12-19,1826000
2018-12-25,1826000
2018-12-30,1819500
2019-01-05,1897000
2019-01-06,1817900
2019-01-11,1850700
2019-01-12,1828400
2019-01-17,1828200
2019-01-17,1774900
2019-01-18,1809800
2019-01-23,1841000
2019-01-24,1829400
2019-01-29,1834700
2019-01-29,1786900
2019-01-30,1831700
2019-02-04,1885700
2019-02-05,1927700
2019-02-10,1987300
2019-02-11,1950000
2019-02-16,1938800
