date,value
2018-01-04,8432494.671923803
2018-01-05,7643106.474246728
2018-01-11,10883094.769091746
2018-01-16,9989435.52166506
2018-01-17,10256812.721098905
2018-01-23,10372541.13260471
2018-01-28,2727894.233651656
2018-01-29,9916139.71692604
2018-02-04,10179413.782206148
2018-02-09,9513054.877889141
2018-02-10,9561055.993789833
2018-02-16,9953573.86013366
2018-02-21,9214548.93683113
2018-02-22,9638067.469453583
2018-02-28,10377513.032618714
2018-03-05,18799014.663548976
2018-03-06,16117041.864253968
2018-03-12,26520146.735332835
2018-03-17,27570914.62186928
2018-03-18,33301087.881444003
2018-03-23,35302322.88354486
2018-03-24,36580220.596020855
2018-03-29,34062508.23060543
2018-03-30,35448910.12027361
2018-04-04,28282552.79480706
2018-04-05,35795638.501255184
2018-04-10,35820657.30749338
2018-04-11,39626659.74495336
2018-04-16,39559983.288335934
2018-04-17,38970645.86495968
2018-04-22,34781653.9085774
2018-04-23,36911804.38125226
2018-04-28,36085189.63168257
2018-04-29,38576940.294072375
2018-05-04,38973525.76262677
2018-05-05,38531068.9682384
2018-05-11,38717562.9488215
2018-05-16,38179194.48251145
2018-05-17,39649862.54431093
2018-05-22,40878897.793955594
2018-05-23,40045177.2773155
2018-05-28,39499145.73354444
2018-05-29,39143596.95903628
2018-06-03,39080144.431342006
2018-06-04,40027702.40358032
2018-06-09,40920037.19666693
2018-06-10,40328129.462469704
2018-06-15,40004407.525922954
2018-06-16,39504938.10204382
2018-06-21,37468161.52151427
2018-06-22,37817292.30096864
2018-07-03,36275037.86417805
2018-07-04,34660903.77049847
2018-07-15,34318820.793001756
2018-07-16,32256249.869436935
2018-07-27,25800838.63873912
2018-07-28,29075609.625028066
2018-08-08,28915249.058685854
2018-08-09,27190675.011270966
2018-08-20,8615703.298158532
2018-08-21,25264984.86463205
2018-09-01,23203551.197167516
2018-09-02,23296399.51122202
2018-09-13,20572122.10025724
2018-09-14,21168993.5932094
2018-09-25,18620940.963504367
2018-09-26,12669591.663516622
2018-10-07,19065313.939185005
2018-10-08,21256119.83953003
2018-10-19,22432036.05883424
2018-10-20,22776143.781139046
2018-10-31,8178770.965654596
2018-11-01,23781703.19847506
2018-11-12,23143282.83178575
2018-11-13,24581586.212281015
2018-11-24,26307153.47245313
2018-12-06,24470028.742624607
2018-12-07,26596214.104587357
2018-12-18,27573407.09730764
2018-12-19,24998820.829175554
2018-12-30,20806469.47626923
2019-01-05,25621699.09237007
2019-01-05,22939783.464128193
2019-01-06,26498079.70078403
2019-01-11,23744223.8993562
2019-01-12,25467188.059468534
2019-01-17,24266451.12914284
2019-01-18,25725730.26845532
2019-01-23,24216848.22123245
2019-01-24,26053482.526925977
2019-01-29,9800953.916129012
2019-01-30,24864986.801920254
2019-02-04,29625656.722637504
2019-02-05,29556344.820633516
2019-02-10,28272477.186866768
2019-02-11,27770609.812888004
2019-02-16,28925419.671553127
2019-02-17,29323237.518081255
2019-02-22,26221668.88364559
2019-02-23,28322870.214468755
2019-02-28,26341379.829746217
2019-03-01,27431486.18134153
2019-03-06,27575899.666819114
2019-03-07,28529873.186196342
2019-03-12,27190675.011270966
2019-03-13,26041312.67107287
2019-03-18,26461318.35503153
2019-03-19,26948282.200652152
2019-03-24,9406216.862692835
2019-03-25,26255848.77877352
2019-03-30,9407807.755229568
2019-03-31,28031112.489151925
2019-04-05,26731396.124273542
2019-04-06,28013546.786531307
2019-04-11,27155991.99304424
2019-04-12,27728124.24363538
2019-04-17,21712032.90460847
2019-04-23,28234707.007978123
2019-04-24,28161744.45069333
2019-04-29,26773237.536809895
2019-04-30,28269958.51909173
2019-05-05,28043662.23416243
2019-05-06,27903239.092490513
2019-05-11,27953356.42722583
2019-05-12,16533580.88272762
2019-05-17,28111471.379209314
2019-05-18,29489664.10389657
2019-05-23,28091372.652649876
2019-05-24,27605817.83814944
2019-05-29,25607197.108859487
2019-05-30,21498171.71482552
2019-06-04,21901866.9466631
2019-06-05,27193153.07693889
2019-06-10,26672372.41782389
2019-06-11,26270502.99565052
2019-06-16,25137750.715391133
2019-06-17,24960551.929949317
2019-06-22,21874705.561677482
2019-06-23,24294814.67205573
2019-06-28,21831728.81967066
2019-07-04,23150233.53381791
2019-07-05,22108298.52071037
2019-07-10,22162876.70258166
2019-07-11,22008384.493317835
2019-07-16,22363477.130782217
2019-07-17,22001579.055093914
2019-07-22,21705265.881675787
2019-07-23,21415117.684155446
2019-07-28,21879231.48189896
2019-07-29,21399419.86088991
2019-08-03,18918123.352037255
2019-08-04,20706847.00849171
2019-08-09,20369625.426331166
2019-08-10,21294144.69556765
2019-08-15,19673981.79002025
2019-08-16,20358644.14114878
2019-08-21,19445064.94817496
2019-08-22,19856181.38616937
2019-08-27,21383726.844044115
2019-08-28,19834454.192971006
2019-09-02,19611242.45949397
2019-09-03,18886188.443279915
2019-09-08,17550894.311377373
2019-09-09,17847092.190302055
2019-09-14,18262721.798753664
2019-09-15,20684735.798345488
