date,value
2018-03-28,178253364.96509492
2018-04-02,186572622.6917562
2018-04-04,181766309.26380786
2018-04-17,181211953.73738772
2018-04-19,177806931.95436049
2018-04-22,178553790.18897685
2018-04-24,178727199.27347735
2018-04-27,179166786.55196315
2018-04-29,179089636.50055322
2018-05-04,186921380.1127634
2018-05-07,194405315.65710935
2018-05-12,194417251.34117642
2018-05-14,188735730.34479475
2018-05-19,189771526.7189363
2018-05-22,191885160.4386458
2018-05-24,192649815.8164441
2018-06-13,191485461.62362665
2018-06-16,192808437.16844487
2018-06-23,177591563.81918266
2018-06-26,191904955.6793286
2018-06-28,188550851.45893395
2018-07-01,189475929.47411823
2018-07-03,180244336.81073162
2018-07-06,183884915.5823789
2018-07-08,176888458.74489647
2018-07-11,181805099.2885142
2018-07-13,176926852.59327847
2018-07-16,181227451.49674535
2018-07-18,179182218.06710207
2018-07-21,182410628.0425266
2018-07-23,180747253.60190633
2018-07-26,183647326.8317661
2018-07-28,182053429.4115972
2018-07-31,183083032.14455572
2018-08-02,178935374.02339396
2018-08-05,178630853.04993415
2018-08-07,178484444.34489402
2018-08-10,175665346.18019947
2018-08-12,173350649.58978805
2018-08-15,172144447.73367852
2018-08-17,171665894.30475974
2018-08-20,171635526.93733105
2018-08-22,171806369.75196227
2018-08-25,169563971.9959271
2018-08-27,174911607.8653779
2018-08-30,170581521.02590317
2018-09-01,169035302.1255964
2018-09-04,168217095.79306546
2018-09-06,167404148.90330344
2018-09-09,166739092.69666448
2018-09-11,166757865.87941784
2018-09-14,168070203.77285203
2018-09-16,165404493.7392151
2018-09-19,170377070.3770771
2018-09-21,171684874.93903276
2018-09-24,171840546.01226833
2018-09-26,167152286.9454934
2018-09-29,166724074.72480017
2019-03-28,170475498.02692086
2019-03-30,170767121.13050836
2019-04-04,169148536.071116
2019-04-12,167291357.19766825
2019-04-14,167723881.1838618
2019-04-22,158261989.75624758
2019-05-02,166348791.38146263
2019-05-04,166213767.52370265
2019-05-07,167009503.47889334
2019-05-12,163413921.1158135
2019-05-14,161243340.65108114
2019-05-19,156410701.8808178
2019-05-22,158048526.26698172
2019-05-24,153285330.19988135
2019-05-27,150313780.6497914
2019-05-29,145127394.6688204
2019-06-01,141401044.49765953
2019-06-03,138673253.0403533
2019-06-06,137097130.4685111
2019-06-08,133191830.18718836
2019-06-11,133502409.0006488
2019-06-13,136285525.1115551
2019-06-18,122017186.61965115
2019-06-21,111628889.57046902
2019-06-23,128824781.8381421
2019-06-26,115559182.88181333
2019-06-28,126374356.22153352
2019-07-01,118090213.35700896
2019-07-03,120897851.09485607
2019-07-06,123978661.50983068
2019-07-08,121040882.08912267
2019-07-11,118522313.27791286
2019-07-13,115588608.4969042
2019-07-16,118614747.75736208
2019-07-18,114775543.4484031
2019-07-21,117569847.50535098
2019-07-23,115007160.47977905
2019-07-26,116397281.15991372
2019-07-28,113194845.9749756
2019-07-31,114778804.43646583
2019-08-02,113867094.4800904
2019-08-05,113623352.64176351
2019-08-10,115611497.04120438
2019-08-12,114107779.57771158
2019-08-15,112200608.6609931
2019-08-17,110826474.3382966
2019-08-20,108020924.18580608
2019-08-22,106958390.49163705
2019-08-25,108173949.24571614
2019-08-27,106422272.71829067
2019-08-30,104297423.56042458
2019-09-01,102126373.45950265
2019-09-04,101437648.26118979
2019-09-06,98946932.88876003
2019-09-09,98152634.54521058
2019-09-11,97422054.21883065
2019-09-16,96724104.27175146
2019-09-19,95285253.32875586
2019-09-24,93296026.54813905
2019-09-26,95765996.18094276
2019-09-29,97278023.62987815
2020-04-03,114928847.68266174
2020-04-08,115804482.72364324
2020-05-08,123227489.05742544
2020-05-18,125806724.17117696
2020-05-23,126848119.28206623
2020-05-26,128542181.74323618
2020-05-28,125928278.41324227
2020-05-31,128202010.89861567
2020-06-05,128760069.5790131
2020-06-07,124052530.26591054
2020-06-10,119001285.99870336
2020-06-12,124166723.73028369
2020-06-15,119848699.10401766
2020-06-22,116997790.46784149
2020-06-25,123649811.56755167
2020-06-27,123649811.56755167
2020-06-30,117885915.77166283
2020-07-02,119918314.14311355
2020-07-05,119146773.5884734
2020-07-07,116571079.17307548
2020-07-10,113655840.16332231
2020-07-12,109897899.1433292
2020-07-15,110990646.50130364
2020-07-17,108196272.23061797
2020-07-20,106926639.25032018
2020-07-22,102491704.35333553
2020-07-25,103455782.0152212
2020-07-27,98808218.55615672
2020-07-30,99184458.83708225
2020-08-01,101048877.04047254
2020-08-04,102397982.83164065
2020-08-06,102563579.4326162
2020-08-09,103054712.7078423
2020-08-11,104486203.20136367
2020-08-14,102985838.14494367
2020-08-16,102441715.51476726
2020-08-19,100099545.16325222
2020-08-21,99428377.60953984
2020-08-24,97029989.48855314
2020-08-26,95887848.03234504
2020-08-29,94805424.14985485
2020-08-31,93649112.60035266
2020-09-03,93030789.3668517
2020-09-05,94208437.63666688
2020-09-08,93936176.55152372
2020-09-10,94459786.36469112
2020-09-15,94462816.20341708
2020-09-23,93763898.38870022
2020-09-25,94256870.73649015
