date,value
2018-01-03,9567300
2018-01-04,9976000
2018-01-09,9945000
2018-01-10,10087600
2018-01-15,9782800
2018-01-16,9748200
2018-01-21,9698100
2018-01-22,9995900
2018-01-27,9818200
2018-01-28,9385300
2018-02-02,9764100
2018-02-03,9572100
2018-02-08,9672700
2018-02-09,9459700
2018-02-14,10018100
2018-02-15,10182000
2018-02-20,9818900
2018-02-21,9994600
2018-02-26,9764900
2018-02-27,10217000
2018-03-04,11623000
2018-03-05,12034700
2018-03-10,12152000
2018-03-11,12604300
2018-03-16,12297800
2018-03-17,12631300
2018-03-22,12073700
2018-03-23,12495800
2018-03-28,12011500
2018-03-29,11222700
2018-04-03,11481200
2018-04-04,12367200
2018-04-09,11336700
2018-04-10,12491500
2018-04-15,12320500
2018-04-16,12384100
2018-04-21,12182100
2018-04-22,12496500
2018-04-27,12009700
2018-04-28,12041400
2018-05-03,11938200
2018-05-04,12352400
2018-05-09,12143000
2018-05-10,12452700
2018-05-15,12167100
2018-05-16,12479100
2018-05-21,12181400
2018-05-22,12378800
2018-05-27,11996200
2018-05-28,12492800
2018-06-02,12055500
2018-06-03,12337000
2018-06-08,12044000
2018-06-09,12174400
2018-06-14,11511800
2018-06-15,12066100
2018-06-20,11839800
2018-06-21,12154800
2018-06-26,11594100
2018-06-27,12084400
2018-07-02,11802300
2018-07-03,9760800
2018-07-08,11736000
2018-07-09,12022900
2018-07-14,10971400
2018-07-15,9414900
2018-07-20,11308800
2018-07-21,11754100
2018-07-26,11557200
2018-07-27,12057500
2018-08-01,11316600
2018-08-02,11672800
2018-08-07,11140800
2018-08-08,11696900
2018-08-13,10352900
2018-08-14,11544500
2018-08-19,9933300
2018-08-20,11360400
2018-08-25,9627500
2018-08-26,10891600
2018-08-31,9947600
2018-09-01,11321900
2018-09-06,9905100
2018-09-07,11224700
2018-09-12,10278900
2018-09-13,11213000
2018-09-18,11132600
2018-09-19,11270500
2018-09-24,11079100
2018-09-25,11419700
2018-09-30,11111600
2018-10-01,11218600
2018-10-06,10933200
2018-10-07,11395100
2018-10-12,11024800
2018-10-13,11036300
2018-10-18,11409500
2018-10-19,11615700
2018-10-24,11192200
2018-10-25,11565500
2018-10-30,11436800
2018-10-31,12015800
2018-11-05,11558900
2018-11-06,11770800
2018-11-11,11522300
2018-11-12,11735900
2018-11-17,11356400
2018-11-18,12019500
2018-11-23,11952200
2018-11-24,12270400
2018-11-29,12083100
2018-11-30,12247600
2018-12-05,12022700
2018-12-06,12086000
2018-12-11,12053700
2018-12-12,12289100
2018-12-17,12080000
2018-12-18,12450600
2018-12-23,11759600
2018-12-24,11818200
2018-12-29,11921400
2018-12-30,12216800
2019-01-04,11777600
2019-01-05,11952100
2019-01-10,11806000
2019-01-11,12106600
2019-01-16,11856600
2019-01-17,12087100
2019-01-22,11832300
2019-01-23,12376300
2019-01-28,11792100
2019-01-29,12342300
2019-02-03,11987400
2019-02-04,12213500
2019-02-09,12081700
2019-02-10,12334700
2019-02-15,11951500
2019-02-16,12250900
2019-02-21,11958900
2019-02-22,12242200
2019-02-27,11775100
2019-02-28,12152700
2019-03-05,11936900
2019-03-06,12254000
2019-03-11,11740600
2019-03-12,12091000
2019-03-17,11558500
2019-03-18,12014100
2019-03-23,11247000
2019-03-24,11949200
2019-03-29,11165500
2019-03-30,11736000
2019-04-04,10005300
2019-04-05,12103600
2019-04-10,11429300
2019-04-11,12036100
2019-04-16,11563500
2019-04-17,11830000
2019-04-22,11121800
2019-04-23,11971500
2019-04-28,11602100
2019-04-29,11812200
2019-05-04,11432400
2019-05-05,11920900
2019-05-10,11144000
2019-05-11,11530400
2019-05-16,9297900
2019-05-17,10793400
2019-05-22,11295200
2019-05-23,11384600
2019-05-28,10951500
2019-05-29,11463100
2019-06-03,10684100
2019-06-04,9812900
2019-06-09,9914400
2019-06-10,9731700
2019-06-15,10868200
2019-06-16,11298400
2019-06-21,11219000
2019-06-22,11282100
2019-06-27,11234800
2019-06-28,11608500
2019-07-03,11358100
2019-07-04,11464800
2019-07-09,10720400
2019-07-10,11629600
2019-07-15,11062500
2019-07-16,11521300
2019-07-21,10880400
2019-07-22,11469800
2019-07-27,10427200
2019-07-28,9940000
2019-08-02,9881100
2019-08-03,11259500
2019-08-08,9283000
2019-08-09,10980500
2019-08-14,9061400
2019-08-15,10567500
2019-08-20,9890700
2019-08-21,10729500
2019-08-26,7885900
2019-08-27,9969200
2019-09-01,10137700
2019-09-02,10525600
2019-09-07,10077800
2019-09-08,10862600
2019-09-13,10147300
2019-09-14,10698800
2019-09-19,10068200
2019-09-20,10402700
2019-09-25,10104400
2019-09-26,9396900
2019-10-01,9550000
2019-10-02,10564100
2019-10-07,10274900
2019-10-08,10201800
2019-10-13,10165700
2019-10-14,10952600
2019-10-19,10609200
2019-10-20,10817500
2019-10-25,10148800
2019-10-26,10418100
2019-10-31,10441900
2019-11-01,10627400
2019-11-06,10031500
2019-11-07,10740200
2019-11-12,10293400
2019-11-13,10833000
2019-11-18,9899500
2019-11-19,9803200
2019-11-24,10617300
2019-11-25,10955200
2019-11-30,10457900
2019-12-01,10858800
2019-12-06,10281900
2019-12-07,10390800
2019-12-12,10314800
2019-12-13,9619700
2019-12-18,10633900
2019-12-19,11198200
2019-12-24,11362200
2019-12-25,11672400
2019-12-30,11385100
2020-01-05,11290900
2020-01-06,11341900
2020-01-11,11328900
2020-01-12,11469500
2020-01-17,11364900
2020-01-18,11993400
2020-01-23,11568900
2020-01-24,11992100
2020-01-29,12119900
2020-01-30,12380700
2020-02-04,12103500
2020-02-05,12466600
2020-02-10,12031800
2020-02-11,12444900
2020-02-16,12068500
2020-02-17,12357700
2020-02-22,11946600
2020-02-23,12189900
2020-02-28,11931000
2020-02-29,12419400
2020-03-05,11488900
2020-03-06,12462700
2020-03-11,11945800
2020-03-12,12189200
2020-03-17,12131400
2020-03-18,12432200
2020-03-23,11913600
2020-03-24,12398600
2020-03-29,11831800
2020-03-30,12255800
2020-04-04,12084700
2020-04-05,12259500
2020-04-10,11940400
2020-04-11,12256600
2020-04-16,12172000
2020-04-17,12405200
2020-04-22,12270700
2020-04-23,12461000
2020-04-28,12217500
2020-04-29,12412100
2020-05-04,11793900
2020-05-05,12345400
2020-05-10,11508100
2020-05-11,12415200
2020-05-16,12159900
2020-05-17,12390200
2020-05-22,12127300
2020-05-23,12287700
2020-05-28,11984500
2020-05-29,12177400
2020-06-03,10701300
2020-06-04,9880300
2020-06-09,11392400
2020-06-10,9597300
2020-06-15,11286000
2020-06-16,11917100
2020-06-22,11341200
2020-06-27,11306000
2020-06-28,11440000
2020-07-03,10898900
2020-07-04,11174800
2020-07-09,11119700
2020-07-10,11305000
2020-07-15,11075800
2020-07-16,11432400
2020-07-21,11084700
2020-07-22,11354700
2020-07-27,11045500
2020-07-28,11127300
2020-08-02,10817000
2020-08-03,11393700
2020-08-08,10968800
2020-08-09,11192400
2020-08-14,10517600
2020-08-15,10986900
2020-08-20,9980700
2020-08-21,11253800
2020-08-26,10409800
2020-08-27,8428200
2020-09-01,7470400
2020-09-02,11088800
2020-09-07,10248800
2020-09-08,11083700
2020-09-13,10406800
2020-09-14,10669800
2020-09-19,10365000
2020-09-20,11137900
2020-09-25,10623900
2020-09-26,7837300
2020-10-01,10574900
2020-10-02,11180200
2020-10-07,10523100
2020-10-08,10657900
2020-10-13,10678400
2020-10-14,10933800
2020-10-19,10141200
2020-10-20,10817800
2020-10-25,10494700
2020-10-26,11102300
2020-10-31,10509600
2020-11-01,10674400
2020-11-06,10645600
2020-11-07,11045200
2020-11-12,10576400
2020-11-13,10783700
2020-11-18,10550400
2020-11-19,10872000
2020-11-24,10470400
2020-11-25,11075300
2020-11-30,10740800
2020-12-01,10840900
2020-12-07,11060600
2020-12-12,10585800
2020-12-13,10726000
2020-12-18,10528200
2020-12-19,10827200
2020-12-24,10385900
2020-12-25,10739300
2020-12-30,10239900
