date,value
2018-01-03,97826354.54875404
2018-01-04,105986817.32859923
2018-01-09,103658581.0527537
2018-01-10,105889465.72770645
2018-01-15,101140277.99885395
2018-01-16,105069438.74735777
2018-01-21,99833413.41742988
2018-01-22,104453071.40463628
2018-01-27,101688143.09016594
2018-01-28,95056228.92959027
2018-02-02,100851265.17825563
2018-02-03,97899769.08706473
2018-02-08,99442607.38036737
2018-02-09,96185444.63110682
2018-02-14,104800216.88866208
2018-02-15,107374928.09782134
2018-02-20,101698986.46635428
2018-02-21,104432754.8978738
2018-02-26,100863623.75066729
2018-02-27,107927422.37028946
2018-03-04,130881613.92083009
2018-03-05,137875763.02029395
2018-03-10,139890493.88237536
2018-03-11,147749185.5644663
2018-03-16,142408200.28833193
2018-03-17,148222795.59713885
2018-03-22,138544547.32132617
2018-03-23,145851047.89907458
2018-03-28,137478431.12481955
2018-03-29,124197836.30960652
2018-04-03,128500723.9746935
2018-04-04,143611832.36973637
2018-04-09,126089447.56466363
2018-04-10,145775989.84937617
2018-04-15,142801526.00888118
2018-04-16,143905443.77544194
2018-04-21,140409047.5260925
2018-04-22,145863267.86308426
2018-04-27,137447619.53779915
2018-04-28,137990580.4283364
2018-05-03,136225567.69680184
2018-05-04,143354868.4863513
2018-05-09,139735568.13572514
2018-05-10,145099301.16690046
2018-05-15,140150552.61485305
2018-05-16,145559615.0903319
2018-05-21,140396980.91935873
2018-05-22,143813343.0718718
2018-05-27,137216605.59866357
2018-05-28,145798680.4676054
2018-06-02,138232314.5285125
2018-06-03,143087649.09694842
2018-06-08,138035144.96672255
2018-06-09,140276333.75483185
2018-06-14,129013286.324651
2018-06-15,138414136.0097738
2018-06-20,134549675.67289978
2018-06-21,139938704.6048508
2018-06-26,130395194.59023623
2018-06-27,138728221.69065794
2018-07-02,133912808.67881145
2018-07-03,136804523.21358505
2018-07-08,132789280.93180874
2018-07-09,137673624.31294703
2018-07-14,120061615.24730739
2018-07-15,95504957.39011118
2018-07-20,125625625.28151983
2018-07-21,133095694.34288119
2018-07-26,129774999.3353825
2018-07-27,138266614.4062078
2018-08-01,125755238.97913635
2018-08-02,131721210.4953635
2018-08-07,122844723.90382512
2018-08-08,132128159.6460538
2018-08-13,110081563.8625732
2018-08-14,129561771.35397956
2018-08-19,103476241.85221958
2018-08-20,126483891.83856437
2018-08-25,98748414.76311605
2018-08-26,118757905.40788259
2018-08-31,103699115.31979068
2018-09-01,125843335.09429628
2018-09-06,103037195.08039118
2018-09-07,124230940.74765125
2018-09-12,108906845.39628294
2018-09-13,124037321.26745678
2018-09-18,122709518.1659385
2018-09-19,124989831.89197926
2018-09-24,121828595.32345967
2018-09-25,127472621.537757
2018-09-30,122363484.63377851
2018-10-01,124129981.35239328
2018-10-06,119436945.07601428
2018-10-07,127062147.47737557
2018-10-12,120936653.08681756
2018-10-13,121125372.97142388
2018-10-18,127302371.7372022
2018-10-19,130758690.10650417
2018-10-24,123693356.05980888
2018-10-25,129914415.82484114
2018-10-30,127758209.42692065
2018-10-31,137552045.8458724
2018-11-05,129803550.48024389
2018-11-06,133378614.77299617
2018-11-11,129189321.3178159
2018-11-12,132787588.69019265
2018-11-17,126417290.33088297
2018-11-18,137615399.19724172
2018-11-23,136464565.74112925
2018-11-24,141933916.19127747
2018-11-29,138705901.80984256
2018-11-30,141539656.29959407
2018-12-05,137670199.08021256
2018-12-06,138755693.94688115
2018-12-11,138201447.04977164
2018-12-12,142257549.62698877
2018-12-17,138652682.28152758
2018-12-18,145062706.03559694
2018-12-23,133188849.7431142
2018-12-24,134182718.00691931
2018-12-29,135938953.35717037
2018-12-30,141007637.00275534
2019-01-04,133493872.92907262
2019-01-05,136462858.12001848
2019-01-10,133975601.68849687
2019-01-11,139109560.2093261
2019-01-16,134835316.70035163
2019-01-17,138774582.1686732
2019-01-22,134422222.18179205
2019-01-23,143769906.12638018
2019-01-28,133739754.14708215
2019-01-29,143179595.56511337
2019-02-03,137066088.07956687
2019-02-04,140950674.3236324
2019-02-09,138681866.34608468
2019-02-10,143047753.8898061
2019-02-15,136452612.54205513
2019-02-16,141596697.73526558
2019-02-21,136578992.48442712
2019-02-22,141446332.19851875
2019-02-27,133451494.77211821
2019-02-28,139902546.04690418
2019-03-05,136203382.06615272
2019-03-06,141650289.05162588
2019-03-11,132867131.77094512
2019-03-12,138841556.36515495
2019-03-17,129796832.37656246
2019-03-18,137522940.79066798
2019-03-23,124600253.20028552
2019-03-24,136413340.18814754
2019-03-29,123252287.98770212
2019-03-30,132789280.93180874
2019-04-04,104600014.3408672
2019-04-05,139058007.70847893
2019-04-10,127632925.50690278
2019-04-11,137899752.09986445
2019-04-16,129880816.953744
2019-04-17,134383144.46482718
2019-04-22,122531517.61967915
2019-04-23,136794269.14193767
2019-04-28,130529783.46014
2019-04-29,134080844.27336583
2019-05-04,127684704.58854532
2019-05-05,135930426.2342795
2019-05-10,122897500.50143705
2019-05-11,129325174.0784013
2019-05-16,93735361.39428866
2019-05-17,117160078.218934
2019-05-22,125399738.1350217
2019-05-23,126887078.7702511
2019-05-28,119736063.32032725
2019-05-29,128197860.0862449
2019-06-03,115390096.27279614
2019-06-04,129890896.31268427
2019-06-09,103181918.72840579
2019-06-10,131410790.89349759
2019-06-15,118376509.78165352
2019-06-16,125452875.93135886
2019-06-21,124136600.80725506
2019-06-22,125182283.07922499
2019-06-27,124398162.8148554
2019-06-28,130637487.67874187
2019-07-03,126445594.55127677
2019-07-04,128226295.78769615
2019-07-09,115976940.55441876
2019-07-10,130992783.46146515
2019-07-15,121555690.07363103
2019-07-16,129172552.65363078
2019-07-21,118575306.3485439
2019-07-22,128309942.31541017
2019-07-27,111265238.97030018
2019-07-28,125690426.59382719
2019-08-02,102664025.85339057
2019-08-03,124807425.73781666
2019-08-08,93510790.90806337
2019-08-09,120210583.29908673
2019-08-14,90192027.40850273
2019-08-15,113511769.15258324
2019-08-20,102813239.70112032
2019-08-21,116124210.37310033
2019-08-26,73268379.70968673
2019-08-27,113879862.15342614
2019-09-01,106676976.91021048
2019-09-02,112839294.66197312
2019-09-07,105735647.86717722
2019-09-08,118285295.91969128
2019-09-13,106828097.88732027
2019-09-14,115627625.0926228
2019-09-19,105585041.00844349
2019-09-20,110874465.37464355
2019-09-25,106153325.81582303
2019-09-26,95231998.5240293
2019-10-01,97561907.79417935
2019-10-02,113457151.46697408
2019-10-07,108843466.1583195
2019-10-08,107687366.57830988
2019-10-13,107117944.50357075
2019-10-14,119754051.00361872
2019-10-19,114182347.0806393
2019-10-20,117551548.62800321
2019-10-25,106851716.94314158
2019-10-26,111120041.31071001
