date,value
2018-01-27,118920354.57897913
2018-01-29,118645552.85944262
2018-02-08,119253739.01461595
2018-02-11,123461380.75204195
2018-02-13,117183621.82849856
2018-02-16,117339486.71119358
2018-02-18,117332852.71937153
2018-02-21,118643888.05756542
2018-02-26,120814864.79027657
2018-03-28,167597171.8014485
2018-04-02,172776618.40398407
2018-04-04,172776618.40398407
2018-04-17,170877516.29265845
2018-04-19,171989651.57287368
2018-04-22,171989651.57287368
2018-04-24,171989651.57287368
2018-04-27,171430443.1780244
2018-04-29,174054261.98495108
2018-05-14,179187339.95083055
2018-05-19,177849095.77298185
2018-05-22,179223763.57467088
2018-05-24,179131750.88134527
2018-06-16,179315792.43017116
2018-06-23,181450387.18210608
2018-06-26,171213351.24676955
2018-06-28,171927276.54238257
2018-07-01,171991541.84613144
2018-07-03,170074692.89136687
2018-07-06,172169259.2603135
2018-07-08,164452184.07097185
2018-07-11,167994539.12678
2018-07-13,162996831.13053387
2018-07-16,165913823.33134338
2018-07-18,161540359.23489815
2018-07-21,163977732.7083167
2018-07-23,159609050.28476736
2018-07-26,162394058.17292774
2018-07-28,159187291.46804067
2018-07-31,159658802.46023485
2018-08-02,157254691.261146
2018-08-05,158773271.56852072
2018-08-07,157071404.61894622
2018-08-10,155752074.11144137
2018-08-12,153955823.1438858
2018-08-15,152627382.43098333
2018-08-17,151523662.1602534
2018-08-20,151498321.514069
2018-08-22,150173584.70273566
2018-08-25,150995429.02202094
2018-08-27,151635902.44787353
2018-08-30,149311850.72653103
2018-09-01,147950613.10798424
2018-09-04,148869025.78011847
2018-09-06,147936250.2895295
2018-09-09,146284134.54986733
2018-09-11,147850083.3962101
2018-09-14,147329857.2033146
2018-09-21,140673695.06164882
2018-09-24,141159266.19720086
2018-09-26,137975615.39504534
2018-09-29,138874159.9176925
2018-10-01,141431435.94308388
2018-10-04,143389594.1553388
2018-10-06,142295079.6023314
2018-10-09,144616999.24054298
2018-10-14,146636602.05334634
2018-10-16,143871235.1483154
2018-10-24,138831996.08614293
2018-10-29,145273077.234645
2018-11-03,140042427.83973464
2018-11-13,139278452.0029778
2018-11-15,138702018.5130905
2019-02-03,140264494.92286488
2019-02-06,138617731.00653335
2019-02-08,138345672.30656907
2019-02-11,138951471.64984086
2019-02-13,138942685.48448852
2019-02-16,138566815.7985362
2019-02-21,140169308.5778203
2019-02-26,141599422.28302073
2019-02-28,139368153.8231715
2019-03-03,140075906.43901923
2019-03-10,140010713.7972129
2019-03-13,139663781.86476737
2019-03-15,141334211.87558532
2019-03-18,140297991.67124152
2019-03-20,139392781.30806032
2019-03-23,139107897.1887769
2019-03-25,139107897.1887769
2019-03-28,138694993.8848074
2019-03-30,139419169.5507931
2019-04-04,140691342.1640706
2019-04-12,143224435.1335974
2019-04-14,143421567.9377154
2019-04-27,140001904.77701783
2019-04-29,143460650.31664804
2019-05-02,141767476.8232766
2019-05-04,140666636.43270823
2019-05-07,140529017.3879516
2019-05-12,142355318.4920428
2019-05-14,140650754.96059275
2019-05-19,139586334.7622674
2019-05-22,139368153.8231715
2019-05-24,136657753.03226548
2019-05-27,136762603.2800154
2019-05-29,135990851.89492697
2019-06-01,134444887.4646061
2019-06-03,135114411.06965855
2019-06-06,136738135.76180708
2019-06-08,132837488.47079743
2019-06-11,134177396.73158567
2019-06-13,136165325.49464473
2019-06-18,136289248.1964581
2019-06-26,125981276.26329382
2019-06-28,135809480.54424596
2019-07-01,134050662.85516563
2019-07-03,135999573.75736898
2019-07-06,137091312.13475806
2019-07-08,135116151.57300386
2019-07-11,130912881.75805815
2019-07-13,130221347.38213134
2019-07-16,128991053.20471309
2019-07-18,128026101.27109967
2019-07-21,127162493.67735209
2019-07-23,126442080.94623132
2019-07-26,125955787.28181939
2019-07-28,124385688.32432337
2019-07-31,123231937.47245128
2019-08-02,123066693.87293786
2019-08-05,122561317.83664161
2019-08-10,123593039.08646002
2019-08-12,123161109.49959712
2019-08-15,121215454.02277559
2019-08-17,120247443.52981359
2019-08-20,118149795.68066469
2019-08-22,117036112.96034102
2019-08-25,117057655.23550919
2019-08-27,116800893.369346
2019-08-30,114401713.47364818
2019-09-01,114432954.56468275
2019-09-04,113843155.94258407
2019-09-06,113964644.7162152
2019-09-09,112979241.84958452
2019-09-11,113826741.94070488
2019-09-16,113667568.14380138
2019-09-19,113619994.8983876
2019-09-24,113846438.8401123
2019-09-26,110882193.11591966
2019-09-29,110139639.82650708
2019-10-01,109136587.0827004
2019-10-04,108012515.47095169
2019-10-06,105472366.74454768
2019-10-09,103503799.73807144
2019-10-16,101881209.2863621
2019-10-21,101547957.95544891
2019-10-24,101911236.02667637
2019-10-26,98818793.37448789
2019-11-18,98554621.50962563
2020-02-03,110401044.81396405
2020-02-06,112071864.00637822
2020-02-11,109730909.97437765
2020-02-16,109692010.43932146
2020-02-18,112441052.68827279
2020-02-21,109062172.19190295
2020-02-23,109444136.84231836
2020-02-26,109444136.84231836
2020-02-28,114043471.94290839
2020-03-02,108341572.22975725
2020-03-07,110926117.2556671
2020-03-14,110261385.96228673
2020-03-17,110483894.32119036
2020-04-03,109215874.2147195
2020-04-08,108771150.44170932
2020-04-11,109086436.00935896
2020-05-03,110633402.09207681
2020-05-06,110365312.37493671
2020-05-08,110578141.16362993
2020-05-18,111069318.71362758
2020-05-23,112146974.93579423
2020-05-26,112246605.10562965
2020-05-28,110944013.98158632
2020-05-31,111595474.54279806
2020-06-05,111781379.60128969
2020-06-07,110128279.2015189
2020-06-15,110110427.60076845
2020-06-22,106911709.278094
2020-06-25,112225369.90897174
2020-06-27,112225369.90897174
2020-06-30,108423889.90619864
2020-07-02,109949807.74909624
2020-07-05,109334032.38581836
2020-07-07,108868128.13491859
2020-07-10,108093134.95870793
2020-07-12,106736644.99011163
2020-07-15,107917410.94414748
2020-07-17,107189765.02792539
2020-07-20,106577726.71479079
2020-07-22,103931499.35792539
2020-07-25,103712009.3184583
2020-07-27,102165794.59888524
2020-07-30,101473777.49262427
2020-08-01,101435905.26001598
2020-08-04,100659017.35326198
2020-08-06,99954816.14744018
2020-08-09,99031556.97983696
2020-08-11,99666080.91515066
2020-08-14,98789081.51111378
2020-08-16,98520250.07065082
2020-08-19,97001095.72320047
2020-08-21,96892339.22515608
2020-08-24,95125504.47060871
2020-08-26,93854939.83813903
2020-08-29,92527533.07448575
2020-08-31,91700050.59610863
2020-09-03,89889168.52713816
2020-09-05,90764201.93379785
2020-09-08,90902470.01730795
2020-09-10,89940649.85141551
2020-09-15,89237441.7744692
2020-09-25,87524456.69420743
2020-09-28,87166144.92837755
2020-10-03,85529462.14928381
2020-10-08,83004528.44718564
2020-10-10,81853682.59931841
2020-10-13,83207928.67899004
2020-10-15,83573887.27748342
2020-10-18,82154458.29420349
2020-10-30,83113576.96223392
2020-11-02,83407071.88270998
2020-11-12,81466898.49764425
2020-11-17,83256593.08992021
2020-11-19,82679148.21054047
2020-11-22,83051678.55164039
2020-11-24,83280191.45920159
2020-12-02,83125368.92414469
