date,value
2018-01-05,108682280.1973521
2018-01-10,93280878.39724915
2018-01-11,109372888.4532827
2018-01-17,102994212.24158329
2018-01-22,98828176.7031532
2018-01-23,109429562.01701081
2018-01-29,111982080.05876137
2018-02-03,78298502.89951885
2018-02-04,111606886.71517102
2018-02-10,108286705.66156824
2018-02-15,106192806.63957405
2018-02-16,106380395.66155654
2018-02-22,97095903.26851739
2018-02-27,108338344.52139989
2018-02-28,107284649.77217872
2018-03-06,128479183.1024051
2018-03-11,140222187.15173417
2018-03-12,144600966.5839423
2018-03-17,153408341.2450904
2018-03-18,161048470.12218034
2018-03-23,156999942.64976916
2018-03-24,147880598.8735175
2018-03-29,166433170.3831431
2018-03-30,169775379.12068915
2018-04-04,166022130.47278616
2018-04-05,169008154.32107386
2018-04-10,168262756.3789288
2018-04-11,170594684.48692083
2018-04-16,174012507.66701344
2018-04-17,174494788.8011025
2018-04-22,167739587.22253722
2018-04-23,176699312.70467415
2018-04-28,174983230.69278872
2018-04-29,176729838.71306098
2018-05-04,170270567.99405992
2018-05-05,169984315.01325628
2018-05-10,170121771.21090767
2018-05-11,169365292.48795775
2018-05-16,168217730.6751944
2018-05-17,168741408.97103167
2018-05-22,170624845.57632175
2018-05-23,170583374.54864112
2018-05-28,176748918.3842823
2018-05-29,169726451.88959554
2018-06-03,174164357.9752975
2018-06-04,165227196.8163788
2018-06-09,172988703.9915121
2018-06-10,167599045.41990405
2018-06-15,167833304.14297482
2018-06-16,169764087.79303843
2018-06-22,168062048.56448072
2018-06-27,146903381.81521073
2018-06-28,163641249.91916946
2018-07-04,161647681.37885147
2018-07-09,160538631.64856845
2018-07-10,160837817.63409367
2018-07-16,153539239.65654272
2018-07-21,149708253.97703797
2018-07-22,153088528.1712991
2018-07-28,147098647.8839392
2018-08-02,147656270.68709552
2018-08-03,149674004.9683844
2018-08-09,110724440.67805582
2018-08-14,133506000.8910049
2018-08-15,145066160.4116177
2018-08-21,143529941.6673077
2018-08-26,133944793.36801147
2018-08-27,144287561.31626165
2018-09-02,139449078.29143885
2018-09-07,99642555.31490718
2018-09-08,136867481.0326046
2018-09-14,127544555.5108084
2018-09-19,128091037.8636924
2018-09-20,134127045.49249724
2018-09-26,126855763.94519912
2018-10-01,124612477.74914593
2018-10-02,131007592.07058571
2018-10-08,128828343.43509828
2018-10-13,126683765.49652426
2018-10-14,137511332.53760132
2018-10-20,129546507.26252007
2018-10-25,123255549.89201911
2018-10-26,127532610.14451149
2018-11-01,133464401.89038822
2018-11-06,133417608.31573234
2018-11-07,131987060.60955913
2018-11-13,132406855.48739728
2018-11-18,132253050.53326692
2018-11-19,134236437.45089686
2018-11-25,135291981.9112025
2018-11-30,132610870.92775744
2018-12-01,134232964.2214645
2018-12-06,133837217.63993512
2018-12-07,131881751.624399
2018-12-12,133223561.58118129
2018-12-13,136856992.01981774
2018-12-19,136516248.83915845
2018-12-24,131023092.35233778
2018-12-25,134342385.71480873
2019-01-05,128672550.49423063
2019-01-06,132470814.86649196
2019-01-11,129527635.86834231
2019-01-12,126329802.44310667
2019-01-17,125164808.9723273
2019-01-18,124169185.65659833
2019-01-23,78109394.35458177
2019-01-24,99909289.99850906
2019-01-29,45437789.15487486
2019-01-30,132616059.16147836
2019-02-04,133689782.84788863
2019-02-05,135022175.36825454
2019-02-10,131954256.3670394
2019-02-11,131143671.5107441
2019-02-16,131899013.42190015
2019-02-17,130647817.56376319
2019-02-22,127315953.5429616
2019-02-23,132393027.82177578
2019-02-28,96797599.7420487
2019-03-01,131697098.7737372
2019-03-06,98507752.38244382
2019-03-07,132650649.16066824
2019-03-12,136060632.15186858
2019-03-13,128571576.34812367
2019-03-18,62712372.38253063
2019-03-19,128912258.64867286
2019-03-24,130161198.47529075
2019-03-25,129870898.98365101
