date,value
2018-01-01,5306900
2018-01-03,8108200
2018-01-07,6982200
2018-01-08,9030900
2018-01-09,8296300
2018-01-13,7326100
2018-01-15,9265300
2018-01-19,9178800
2018-01-20,9098900
2018-01-21,9518900
2018-01-25,8290400
2018-01-27,9907900
2018-01-31,9863300
2018-02-01,9856700
2018-02-02,9558300
2018-02-06,9092100
2018-02-08,9791600
2018-02-12,8836700
2018-02-13,9988500
2018-02-14,9801700
2018-02-18,7561700
2018-02-20,9422700
2018-02-24,9027600
2018-02-25,9818500
2018-02-26,8450500
2018-03-02,7244200
2018-03-04,9536100
2018-03-08,9025100
2018-03-09,9388900
2018-03-10,7557100
2018-03-14,8944900
2018-03-15,9661100
2018-03-16,9465200
2018-03-20,9057900
2018-03-21,8354000
2018-03-22,8110300
2018-03-26,6972000
2018-03-27,9196000
2018-03-28,9398300
2018-04-01,7494500
2018-04-02,8700400
2018-04-03,8428900
2018-04-07,4807400
2018-04-08,8952500
2018-04-09,8981300
2018-04-13,8127800
2018-04-14,9503000
2018-04-15,9450600
2018-04-19,8772100
2018-04-20,9365900
2018-04-21,9236300
2018-04-25,9081800
2018-04-26,9341400
2018-04-27,8620700
2018-05-01,8810000
2018-05-02,9527700
2018-05-03,9221400
2018-05-07,9459900
2018-05-08,9690900
2018-05-09,8933900
2018-05-13,8718700
2018-05-14,9632200
2018-05-15,9475700
2018-05-19,9855300
2018-05-20,9967900
2018-05-21,9258300
2018-05-25,8806900
2018-05-26,9805700
2018-05-27,9954300
2018-05-31,10019400
2018-06-01,10052100
2018-06-02,9967400
2018-06-06,10005700
2018-06-07,9999500
2018-06-08,9930600
2018-06-12,9878700
2018-06-13,9980400
2018-06-14,9301400
2018-06-18,9498000
2018-06-19,10090100
2018-06-20,9920300
2018-06-24,9796100
2018-06-25,10057700
2018-06-26,9916100
2018-06-30,7836700
2018-07-01,9925900
2018-07-02,9790800
2018-07-06,9425200
2018-07-07,10046100
2018-07-08,9678700
2018-07-12,9255100
2018-07-13,9904400
2018-07-18,9659200
2018-07-19,9919800
2018-07-20,6086500
2018-07-24,9431900
2018-07-25,9788600
2018-07-26,9626200
2018-07-30,9243000
2018-07-31,9703600
2018-08-01,9045800
2018-08-05,9298800
2018-08-06,9668800
2018-08-07,9014600
2018-08-11,8925700
2018-08-12,9646900
2018-08-13,9526900
2018-08-17,7311000
2018-08-18,9667600
2018-08-19,9240600
2018-08-23,9220300
2018-08-24,9595000
2018-08-25,8100100
2018-08-30,9652900
2018-08-31,7587100
2018-09-04,8545000
2018-09-05,9581800
2018-09-06,9505500
2018-09-10,8769100
2018-09-11,9654900
2018-09-12,9476300
2018-09-16,9082900
2018-09-17,9619200
2018-09-18,9157200
2018-09-22,8903400
2018-09-23,9516800
2018-09-28,8346700
2018-09-29,9610300
2018-09-30,5512400
2018-10-04,8632800
2018-10-05,8286000
2018-10-06,6887500
2018-10-10,3561700
2018-10-11,9465600
2018-10-12,6550800
2018-10-16,8073400
2018-10-18,9282900
2018-10-22,8780600
2018-10-23,9366300
2018-10-24,7770300
2018-10-28,8361200
2018-10-29,9285400
2018-10-30,5369800
2018-11-03,8420500
2018-11-04,9175300
2018-11-05,5466500
2018-11-09,9116900
2018-11-10,9349100
2018-11-11,7443800
2018-11-15,7749700
2018-11-16,9063700
2018-11-17,7519800
2018-11-21,7754200
2018-11-22,8631700
2018-11-23,8329200
2018-11-27,7614000
2018-11-28,8738000
2018-11-29,4238600
2018-12-03,8270900
2018-12-04,8915700
2018-12-05,8596500
2018-12-09,8592400
2018-12-15,7946800
2018-12-16,8614000
2018-12-17,8380000
2018-12-21,8430000
2018-12-22,8604300
2018-12-23,8408200
2018-12-27,7848300
2018-12-28,8354100
2018-12-29,7843000
2019-01-03,8623900
2019-01-10,7846400
2019-01-15,8663400
2019-01-16,7909900
2019-01-20,7428200
2019-01-21,8475200
2019-01-22,4968900
2019-01-26,6607100
2019-02-02,8029600
2019-02-08,8834800
2019-02-09,8745000
2019-02-13,8982800
2019-02-15,6468200
2019-02-19,6509300
2019-02-21,9238800
2019-02-25,8994800
2019-02-27,9442100
2019-03-03,8657600
2019-03-05,9449900
2019-03-09,9253800
2019-03-11,9182500
2019-03-15,9591100
2019-03-16,9757700
2019-03-17,8832600
2019-03-21,9069500
2019-03-22,9798800
2019-03-23,9845200
2019-03-27,9291400
2019-03-28,9688600
2019-03-29,8720300
2019-04-08,9209300
2019-04-09,9954200
2019-04-10,9310900
2019-04-14,9184700
2019-04-15,9855300
2019-04-16,9845200
2019-04-20,8663600
2019-04-21,9984300
2019-04-22,9728000
2019-05-02,6811100
2019-05-03,9760900
2019-05-04,8261100
2019-05-08,9000300
2019-05-09,9864900
2019-05-14,7897700
2019-05-15,10008600
2019-05-20,7448800
2019-05-21,9991000
2019-05-26,9892000
2019-06-01,9546000
2019-06-02,9977600
2019-06-03,9662900
2019-06-08,10001200
2019-06-09,9937000
2019-06-13,5780500
2019-06-14,10015100
2019-06-15,9818700
2019-06-21,8902900
2019-06-25,5186700
2019-06-26,9712400
2019-07-08,9947500
2019-07-15,8960800
2019-07-19,9160400
2019-07-20,7531000
2019-07-26,9826300
2019-08-01,9869400
2019-08-02,8813800
2019-08-12,9229100
2019-08-13,9922000
2019-08-14,8837600
2019-08-19,10010500
2019-08-20,9581200
2019-08-26,9094200
2019-08-31,9858700
2019-09-01,9417500
2019-09-05,9174600
2019-09-06,9716900
2019-09-11,9378100
2019-09-12,9840400
2019-09-23,9819400
2019-09-25,9662300
2019-09-29,9086700
2019-10-06,9736900
2019-10-12,9385900
2019-10-18,9915900
2019-10-24,9933200
2019-10-25,9929600
2019-10-29,9839700
2019-10-30,9982300
2019-11-05,10013700
2019-11-06,9953500
2019-11-10,8990900
2019-11-11,9913600
2019-11-12,9713800
2019-11-17,10060900
2019-11-22,4576500
2019-11-24,10066200
2019-11-28,9009500
2019-11-29,10068100
2019-12-04,9349200
2019-12-05,10023400
2019-12-06,9845100
2019-12-10,6640200
2019-12-11,10016200
2019-12-17,9618500
2019-12-22,8743600
2019-12-30,9918000
2020-01-03,9609700
2020-01-04,9946700
2020-01-05,10094100
2020-01-09,7668900
2020-01-10,9942800
2020-01-11,10054500
2020-01-15,7544600
2020-01-16,10012300
2020-01-17,8994800
2020-01-21,3713800
2020-01-22,9782000
2020-01-23,6507500
2020-01-27,9567500
2020-01-28,9994200
2020-01-29,10076400
2020-02-02,10048600
2020-02-03,10055000
2020-02-04,8684800
2020-02-08,3799000
2020-02-09,9959700
2020-02-10,9479500
2020-02-14,9509100
2020-02-15,10050400
2020-02-16,8224100
2020-02-20,9770800
2020-02-21,9971300
2020-02-22,10054000
2020-02-26,9339900
2020-02-27,9786500
2020-02-28,10069300
2020-03-03,7643600
2020-03-04,9985100
2020-03-05,9608800
2020-03-10,9999900
2020-03-11,10052900
2020-03-16,10020700
2020-03-17,10049500
2020-03-21,9357800
2020-03-22,10030600
2020-03-23,9817000
2020-03-27,9330400
2020-03-28,9959200
2020-03-29,9711500
2020-04-02,8070300
2020-04-03,9986200
