date,value
2018-02-25,154975624.67460057
2018-03-19,111266356.00835443
2018-04-06,137260787.92569962
2018-04-18,90870546.54766828
2018-04-21,128996257.73282902
2018-05-11,146829729.03632236
2018-06-20,138378752.36803567
2018-06-22,159404530.0577475
2018-07-02,156684907.01967415
2018-07-20,157045752.42733026
2018-08-11,145837786.0871408
2018-08-19,145851176.51986912
2018-08-21,142305301.696394
2018-08-26,140402720.53781906
2018-09-08,145991799.57116637
2018-09-10,148523604.60769507
2018-09-20,145837786.0871408
2018-09-23,147185469.3924755
2018-09-28,143864747.01656437
2018-10-05,144238212.92550984
2018-10-20,135560888.50067374
2018-10-23,135761554.8728494
2018-10-25,134685167.60129526
2018-10-30,54473294.43519988
2019-02-15,153122685.41140383
2019-02-17,142376169.38773862
2019-02-20,141681263.6356452
2019-02-22,154518547.08899558
2019-02-25,152212439.7214163
2019-02-27,154657216.9779821
2019-03-22,155836360.70104107
2019-03-24,157363422.3433158
2019-03-27,158698019.94016466
2019-03-29,156773952.01466864
2019-04-01,157555494.06703597
2019-04-13,157571503.39349502
2019-05-06,161053075.17768127
2019-05-13,161945105.22291073
2019-05-16,162787854.22199264
2019-05-23,164271208.3235841
2019-06-02,164046464.63819918
2019-06-17,163620414.60065442
2019-06-27,164611984.966345
2019-07-22,162630743.93356076
2019-07-25,163444539.85194904
2019-08-04,162141238.06154272
2019-08-09,164178518.70729
2019-08-14,162048930.88858908
2019-09-03,160284465.2697044
2019-09-05,163398266.9819134
2019-09-13,160302861.47049606
2019-09-18,156641531.93000883
2019-10-08,159211746.90929446
2019-10-25,160420152.96924627
2020-02-05,161467778.74109602
2020-02-15,155679129.58327538
2020-02-20,161281120.3359785
2020-02-22,159916681.72612152
2020-03-13,161548454.76360413
2020-03-18,158505507.95545518
2020-03-21,161246561.47001657
2020-03-28,161398638.02493727
2020-04-05,163319612.62787753
2020-04-10,162365152.08514482
2020-05-07,158306198.58675817
2020-05-17,159315014.40644422
2020-06-21,160118929.5591305
2020-06-26,158166500.31731907
2020-07-09,143371709.15763038
2020-07-11,142187951.66904244
2020-07-19,156828756.89871335
2020-07-26,153120418.98666435
2020-07-31,160226981.4525792
2020-08-05,158810352.7725084
2020-08-08,159363213.1627097
2020-08-15,159032800.16461578
2020-08-20,160744570.8375758
2020-08-25,159115383.04925406
2020-09-02,159005275.55425212
2020-09-04,157025190.8813069
2020-09-14,151570417.6766303
2020-09-17,152572256.76082203
