date,value
2018-01-01,61585104.33139632
2018-01-03,118744616.92196013
2018-01-07,101441770.53805591
2018-01-08,125623010.67338677
2018-01-09,120702741.10428283
2018-01-13,125033802.88209172
2018-01-15,129900990.20901431
2018-01-19,138231718.69624597
2018-01-20,142509076.42659858
2018-01-21,141157478.4143121
2018-01-25,143926970.0349885
2018-01-27,147429499.18940902
2018-01-31,155321559.21948412
2018-02-01,155964005.51635104
2018-02-02,154311752.1402153
2018-02-06,154825492.3460419
2018-02-08,154775458.47964227
2018-02-12,155289686.61337027
2018-02-13,156041520.30276543
2018-02-14,154896003.30577394
2018-02-18,153864375.7928573
2018-02-20,152226012.8365685
2018-02-24,153651051.91747937
2018-02-25,152253160.21689305
2018-02-26,148611153.8729097
2018-03-02,148768334.56061342
2018-03-04,148346311.31037128
2018-03-08,147176516.60652897
2018-03-09,147086998.2349109
2018-03-10,143629265.66565305
2018-03-14,144367218.7816751
2018-03-15,145284655.7170784
2018-03-16,146977361.74311867
2018-03-20,144398363.59882227
2018-03-21,142168027.3517863
2018-03-22,143398346.14377838
2018-03-26,135667753.45352212
2018-03-27,134659054.3223184
2018-03-28,138995954.91965824
2018-04-01,133937223.3600771
2018-04-02,136047448.52589127
2018-04-03,138890463.69923684
2018-04-07,132683478.12247372
2018-04-08,130598631.23111954
2018-04-09,138613669.98114058
2018-04-13,132936962.33587134
2018-04-14,138402896.9558021
2018-04-15,143953639.6516448
2018-04-19,143254081.2195325
2018-04-20,143136483.86636415
2018-04-21,144505161.9824607
2018-04-25,142070632.31047323
2018-04-26,141765303.21935588
2018-04-27,142927990.2308437
2018-05-01,141663573.10314113
2018-05-02,142661968.0710485
2018-05-03,144338300.49978468
2018-05-07,143964752.453847
2018-05-08,145915902.4339751
2018-05-09,146963938.64616582
2018-05-13,145715058.60112992
2018-05-14,146820783.11000744
2018-05-15,148575234.24879184
2018-05-19,148113014.83795932
2018-05-20,150845787.6132475
2018-05-21,153056963.4081679
2018-05-25,153344846.5713895
2018-05-26,153941558.57524982
2018-05-27,155740648.81606045
2018-05-31,155203185.69848156
2018-06-01,156260451.42093042
2018-06-02,157507469.1791432
2018-06-06,157331417.60497624
2018-06-07,157025190.8813069
2018-06-08,157930705.04448482
2018-06-12,156338012.83639395
2018-06-13,156233079.71452394
2018-06-14,156760251.74170277
2018-06-18,155319282.53605375
2018-06-19,155897899.6044008
2018-06-20,157077738.74938822
2018-06-24,151042074.00509128
2018-06-25,158161920.7076263
2018-06-26,156696322.14915237
2018-06-30,157319987.84099823
2018-07-01,155706470.51406553
2018-07-02,156739702.04333726
2018-07-06,154586740.4713837
2018-07-07,155150837.2984229
2018-07-08,156144132.15872246
2018-07-12,154971074.53297222
2018-07-13,154559461.97477782
2018-07-18,154584467.20509478
2018-07-19,154545823.2982879
2018-07-20,152726222.90756026
2018-07-24,153079625.1583893
2018-07-25,151660791.30071127
2018-07-26,152726222.90756026
2018-07-30,149280659.2169636
2018-07-31,149847561.40277278
2018-08-01,150841276.23313403
2018-08-05,147678138.1490601
2018-08-06,147700544.57088488
2018-08-07,149024427.1539844
2018-08-11,146054312.4816202
2018-08-12,146959464.3668073
2018-08-13,148658302.5530497
2018-08-17,146157030.66314122
2018-08-18,146885644.98710307
2018-08-19,148483202.76648095
2018-08-23,146760402.62339494
2018-08-24,146975124.53332716
2018-08-25,147994168.11209962
2018-08-30,148860421.97160354
2018-08-31,145463012.12125817
2018-09-04,145715058.60112992
2018-09-05,147433977.99652898
2018-09-06,145717289.7178455
2018-09-10,143609277.59425607
2018-09-11,146047614.26434198
2018-09-12,147534762.5493442
2018-09-16,146170430.37305802
2018-09-17,146349130.34654635
2018-09-18,147483247.71908394
2018-09-22,145795385.6192893
2018-09-23,145721751.9837377
2018-09-28,146387112.9992166
2018-09-29,146717917.36741912
2018-09-30,143493808.2139245
2018-10-04,142236659.27862912
2018-10-05,137961920.1268773
2018-10-06,142101619.34857053
2018-10-10,107377792.20568652
2018-10-11,127383059.13278407
2018-10-12,135608865.38416293
2018-10-16,114480500.28166701
2018-10-18,129022018.09003232
2018-10-22,142269872.04185507
2018-10-23,142941295.45889935
2018-10-24,139759322.59213227
2018-10-28,139079486.79200053
2018-10-29,139211411.58079278
2018-10-30,140627689.62121025
2018-11-03,131461547.16800617
2018-11-04,136165353.25155458
2018-11-05,138192225.55111256
2018-11-09,130760290.82512024
2018-11-10,137517008.15440363
2018-11-11,139462177.79618824
2018-11-15,129275415.02792254
2018-11-16,136665715.94157216
2018-11-17,138266826.71473497
2018-11-21,125380414.58738802
2018-11-22,127770239.35656737
2018-11-23,131586819.32422256
2018-11-27,125710296.45173523
2018-11-28,128537138.42063043
2018-11-29,125906227.09641214
2018-12-03,128162075.98221923
2018-12-04,129256082.59593289
