date,value
2018-04-21,10296983.274742456
2018-04-23,8145663.286958257
2018-04-26,9460831.841884268
2018-05-06,8893197.321313504
2018-05-11,8366243.514583293
2018-05-18,7940376.795857762
2018-05-21,7940376.795857762
2018-06-20,5279016.318483093
2018-06-25,7237707.660821642
2018-06-27,7107756.339592933
2018-06-30,8419010.171821214
2018-07-02,7662917.559605924
2018-07-07,7639624.401353947
2018-07-10,8026553.788570653
2018-07-12,7343605.707255122
2018-07-15,7724464.769643977
2018-07-17,7724464.769643977
2018-07-20,9026406.297368927
2018-07-22,8115276.911338097
2018-07-25,8664805.19557885
2018-07-27,9597415.94827795
2018-07-30,7548845.912826847
2018-08-01,8366243.514583293
2018-08-04,8037352.467028744
2018-08-06,7341523.27267731
2018-08-11,7979109.685601375
2018-08-16,7322792.15772862
2018-08-19,7198415.305092856
2018-08-21,5663333.996222197
2018-08-26,6484309.9432722395
2018-08-31,4712850.3366104085
2018-09-08,4791379.974598912
2018-09-10,5297241.653495184
2018-09-13,5597898.769533975
2018-09-20,4898671.168888956
2018-09-23,4612413.286198799
2018-09-25,3852138.251256796
2018-09-28,4173051.1211471367
2018-09-30,4173051.1211471367
2018-10-03,4020254.9057590873
2018-10-05,3282446.6231750436
2018-10-20,276.2678404915363
2018-10-23,2747552.457733467
2018-10-25,2747552.457733467
2018-10-30,1821911.6197964386
2018-11-04,2140988.835891891
2019-02-15,11609592.404674219
2019-02-17,10653018.927155584
2019-02-20,11617118.369888607
2019-02-22,11317627.337513803
2019-02-25,11848875.254963502
2019-02-27,11836232.018757802
2019-03-22,12159066.265193215
2019-03-24,12469922.79964115
2019-03-27,12092687.126160763
2019-03-29,12387402.929450793
2019-04-01,12138626.196610829
2019-04-08,12389978.306383124
2019-05-01,10876809.948888037
2019-05-06,11564478.222918134
2019-05-11,11564478.222918134
2019-05-13,14125894.196022172
2019-05-16,13731570.319720775
2019-05-23,14025534.046091225
2019-05-31,11031146.52303677
2019-06-02,11235824.975192368
2019-06-12,10835314.992825203
2019-06-17,10052109.910012899
2019-06-27,9964730.838062618
2019-06-30,10287428.985298308
2019-07-02,10287428.985298308
2019-07-05,10246863.454484437
2019-07-07,10246863.454484437
2019-07-10,11574497.430848887
2019-07-12,11798335.21168574
2019-07-15,11220977.720495556
2019-07-17,11320109.958459305
2019-07-22,11454499.669725535
2019-07-25,11235824.975192368
2019-08-01,10265945.007085312
2019-08-04,10265945.007085312
2019-08-09,7582572.463484332
2019-08-11,7582572.463484332
2019-08-14,6056622.727610258
2019-08-16,5905262.327357666
2019-08-21,6122243.367587384
2019-08-24,5233564.667549098
2019-08-26,4380365.097036034
2019-08-29,4719809.396152574
2019-08-31,4719809.396152574
2019-09-03,4052918.7960438514
2019-09-05,4013735.0146716656
2019-09-13,3660228.2980429195
2019-09-15,3301991.2068888894
2019-09-18,2877289.753335196
2019-09-20,3118962.1416281196
2019-10-08,2355993.054989292
2019-10-13,2904385.589789639
2020-02-20,10832876.119439017
2020-02-22,9898812.236011175
2020-03-01,10249247.860005096
2020-03-13,10991866.280855954
2020-03-18,11208611.100036843
2020-03-21,10549069.76798853
2020-03-28,10296983.274742456
2020-03-31,12251219.332132448
2020-04-05,10947744.059213102
2020-04-07,10947744.059213102
2020-04-10,11589532.849666886
2020-04-12,11514435.060132062
2020-04-15,11514435.060132062
2020-05-07,8136976.758972829
2020-05-17,8945030.567200465
2020-05-20,9804951.303721033
2020-05-22,9361788.980030565
2020-05-25,8924733.422842847
2020-05-27,8675944.594559235
2020-05-30,8693779.721305693
2020-06-21,7875992.206479137
2020-06-24,8805586.003006445
2020-06-26,7764897.170066803
2020-07-01,7764897.170066803
2020-07-04,7880277.887336524
2020-07-09,8416808.871354546
2020-07-11,8416808.871354546
2020-07-14,8416808.871354546
2020-07-19,7813956.297423455
2020-07-21,8375028.598896146
2020-07-24,7752119.78215035
2020-07-26,7979109.685601375
2020-07-29,7372784.971875455
2020-07-31,7427099.647855714
2020-08-03,7775551.521160327
2020-08-05,6986924.433450316
2020-08-08,6701575.747019232
2020-08-10,5798913.020415375
2020-08-15,5164784.216525707
2020-08-20,4161469.8492711033
2020-08-23,4161469.8492711033
2020-08-25,3671221.8273573555
2020-09-02,3804186.2305386784
2020-09-04,2914394.255363007
2020-09-07,3080817.168547008
2020-09-12,3080817.168547008
2020-09-14,2945941.0313711674
2020-09-17,2721062.385760013
2020-09-19,2664255.3237160225
